"type","sloc","nom","npm","wmc","dep","i-dep","noa"
"repository.InMemoryRepository",61,9,9,13,8,7,2
"services.LibraryService",42,10,10,10,7,7,2
"library.Paper",42,6,6,10,2,0,2
"library.Publication",38,8,8,9,1,0,4
"library.Author",35,6,6,8,0,0,2
"library.Book",34,5,4,8,2,0,2
"library.Magazine",26,3,3,6,2,0,1
"library.Subject",21,4,4,5,0,0,2
"repository.DataRepository",18,9,9,9,6,6,0
"library.Editor",18,3,3,4,0,0,1
"library.Agent",13,2,2,3,0,0,1
"library.exceptions.InvalidAuthorException",7,0,0,1,0,0,1
"library.exceptions.InvalidEditorException",7,0,0,1,0,0,1
"library.exceptions.InvalidPublicationException",7,0,0,1,0,0,1
