"method","loc","cyclo","calls","nbd","param"
"com.puppycrawl.tools.checkstyle.checks.metrics.npathcomplexity.InputNPathComplexityOverflow.provokeNpathIntegerOverflow()",242,81,0,8,0
"com.puppycrawl.tools.checkstyle.main.InputMainComplexityOverflow.provokeNpathIntegerOverflow()",162,81,0,8,0
"com.puppycrawl.tools.checkstyle.internal.XdocsPagesTest.getModulePropertyExpectedValue(String sectionName, String propertyName, Field field, Class<?> fieldClass, Object instance)",227,53,81,7,5
"com.puppycrawl.tools.checkstyle.internal.XdocsPagesTest.getModulePropertyExpectedTypeName(String sectionName, Class<?> fieldClass, Object instance, String propertyName)",131,48,30,7,4
"com.puppycrawl.tools.checkstyle.checks.coding.defaultcomeslast.InputDefaultComesLast.method(int i)",126,42,0,0,1
"com.google.checkstyle.test.chapter4formatting.rule4842fallthrough.InputFallThrough.methodFallThru(int i, int j, boolean cond)",139,41,2,2,3
"com.puppycrawl.tools.checkstyle.checks.coding.fallthrough.InputFallThrough.methodFallThru(int i, int j, boolean cond)",139,41,2,2,3
"com.puppycrawl.tools.checkstyle.checks.coding.nofinalizer.InputNoFinalizerFallThrough.methodFallThru(int i, int j, boolean cond)",139,41,2,2,3
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableFalsePositives.foo16()",94,40,0,6,0
"com.google.checkstyle.test.chapter4formatting.rule4842fallthrough.InputFallThrough.method(int i, int j, boolean cond)",123,38,2,2,3
"com.puppycrawl.tools.checkstyle.checks.coding.fallthrough.InputFallThrough.method(int i, int j, boolean cond)",123,38,2,2,3
"com.puppycrawl.tools.checkstyle.checks.coding.nofinalizer.InputNoFinalizerFallThrough.method(int i, int j, boolean cond)",123,38,2,2,3
"com.puppycrawl.tools.checkstyle.checks.coding.defaultcomeslast.InputDefaultComesLastSkipIfLastAndSharedWithCase.method(int i)",107,35,0,0,1
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableFalsePositives.foo29()",114,34,0,6,0
"com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationValidIfIndent.populatedIfTest()",133,32,34,1,0
"com.puppycrawl.tools.checkstyle.checks.coding.fallthrough.InputFallThrough2.test()",86,31,6,1,0
"com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationInvalidIfIndent.populatedIfTest()",124,29,29,1,0
"com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheck.getClassFrameWhereViolationIsFound(DetailAST ast)",51,26,26,3,1
"com.puppycrawl.tools.checkstyle.checks.coding.FinalLocalVariableCheck.visitToken(DetailAST ast)",55,25,38,4,1
"com.google.checkstyle.test.chapter4formatting.rule4861blockcommentstyle.InputCommentsIndentationInSwitchBlock.fooSwitch()",75,25,7,2,0
"com.puppycrawl.tools.checkstyle.checks.indentation.commentsindentation.InputCommentsIndentationInSwitchBlock.fooSwitch()",75,25,7,2,0
"com.puppycrawl.tools.checkstyle.CliOptions.validateCli(ParseResult parseResult, List<File> filesToProcess)",63,23,19,5,2
"com.puppycrawl.tools.checkstyle.checks.blocks.LeftCurlyCheck.visitToken(DetailAST ast)",60,23,12,3,1
"com.puppycrawl.tools.checkstyle.checks.coding.ModifiedControlVariableCheck.leaveToken(DetailAST ast)",41,23,9,3,1
"com.puppycrawl.tools.checkstyle.checks.coding.modifiedcontrolvariable.InputModifiedControlVariableBothForLoops.method1()",80,23,1,2,0
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableFalsePositives.foo57()",39,21,0,6,0
"com.puppycrawl.tools.checkstyle.checks.coding.ModifiedControlVariableCheck.visitToken(DetailAST ast)",32,21,3,3,1
"com.puppycrawl.tools.checkstyle.internal.XdocsPagesTest.validateCheckSection(ModuleFactory moduleFactory, String fileName, String sectionName, Node section)",75,19,25,7,4
"com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheck.collectDeclarations(Deque<AbstractFrame> frameStack, DetailAST ast)",68,19,31,3,2
"com.puppycrawl.tools.checkstyle.checks.coding.ParameterAssignmentCheck.visitToken(DetailAST ast)",30,19,5,2,1
"com.puppycrawl.tools.checkstyle.checks.coding.ParameterAssignmentCheck.leaveToken(DetailAST ast)",28,19,3,2,1
"com.google.checkstyle.test.chapter4formatting.rule411bracesareused.EmptyBlocks$InnerEmptyBlocks.foo()",25,19,0,1,0
"com.google.checkstyle.test.chapter4formatting.rule411bracesareused.EmptyBlocks.foo()",25,19,0,1,0
"com.puppycrawl.tools.checkstyle.checks.SuppressWarningsHolder.getAcceptableParent(DetailAST child)",36,18,2,4,1
"com.puppycrawl.tools.checkstyle.checks.metrics.NPathComplexityCheck.visitToken(DetailAST ast)",42,18,10,2,1
"com.google.checkstyle.test.chapter4formatting.rule413emptyblocks.NewClass$NewInner.foo()",65,18,6,1,0
"com.google.checkstyle.test.chapter4formatting.rule413emptyblocks.NewClass.foo()",65,18,6,1,0
"com.puppycrawl.tools.checkstyle.checks.metrics.NPathComplexityCheck.leaveToken(DetailAST ast)",37,17,8,2,1
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableFalsePositives.foo35()",56,16,0,6,0
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableFalsePositives.foo2()",54,16,4,6,0
