"namespace","ca","ce","instability","abstractness","distance"
"edu.umd.cs.findbugs.detect",5,24,0.8275862068965517,0.030612244897959183,0.14180154820548907
"edu.umd.cs.findbugs",393,30,0.07092198581560284,0.2727272727272727,0.6563507414571245
"edu.umd.cs.findbugs.ba",364,25,0.06426735218508997,0.2867647058823529,0.6489679419325571
"edu.umd.cs.findbugs.gui2",4,14,0.7777777777777778,0.0945945945945946,0.12762762762762758
"edu.umd.cs.findbugs.classfile.engine.bcel",1,15,0.9375,0.021739130434782608,0.040760869565217406
"edu.umd.cs.findbugs.classfile",263,5,0.018656716417910446,0.6285714285714286,0.352771855010661
"edu.umd.cs.findbugs.util",135,6,0.0425531914893617,0.14705882352941177,0.8103879849812266
"edu.umd.cs.findbugs.ba.jsr305",14,8,0.36363636363636365,0.21875,0.41761363636363635
"edu.umd.cs.findbugs.ba.npe",21,11,0.34375,0.10714285714285714,0.5491071428571428
"edu.umd.cs.findbugs.filter",27,4,0.12903225806451613,0.10714285714285714,0.7638248847926268
"edu.umd.cs.findbugs.workflow",3,9,0.75,0.037037037037037035,0.21296296296296302
"edu.umd.cs.findbugs.annotations",0,0,0.0,0.0,1.0
"edu.umd.cs.findbugs.ba.bcp",3,3,0.5,0.24,0.26
"edu.umd.cs.findbugs.classfile.impl",3,9,0.75,0.09523809523809523,0.15476190476190477
"edu.umd.cs.findbugs.ba.type",44,8,0.15384615384615385,0.1,0.7461538461538462
"edu.umd.cs.findbugs.graph",16,0,0.0,0.5,0.5
"edu.umd.cs.findbugs.ba.obl",4,7,0.6363636363636364,0.058823529411764705,0.3048128342245989
"edu.umd.cs.findbugs.cloud",30,5,0.14285714285714285,0.35714285714285715,0.5
"edu.umd.cs.findbugs.ba.vna",63,4,0.05970149253731343,0.15384615384615385,0.7864523536165327
"edu.umd.cs.findbugs.ba.ch",49,6,0.10909090909090909,0.25,0.6409090909090909
"edu.umd.cs.findbugs.classfile.engine",4,9,0.6923076923076923,0.3333333333333333,0.02564102564102555
"edu.umd.cs.findbugs.anttask",0,2,1.0,0.09090909090909091,0.09090909090909083
"edu.umd.cs.findbugs.plan",3,3,0.5,0.09090909090909091,0.40909090909090906
"edu.umd.cs.findbugs.visitclass",52,5,0.08771929824561403,0.2727272727272727,0.6395534290271132
"edu.umd.cs.findbugs.xml",54,1,0.01818181818181818,0.5,0.4818181818181818
"edu.umd.cs.findbugs.sourceViewer",2,2,0.5,0.0,0.5
"edu.umd.cs.findbugs.classfile.analysis",33,7,0.175,0.1111111111111111,0.7138888888888889
"edu.umd.cs.findbugs.ba.generic",9,4,0.3076923076923077,0.0,0.6923076923076923
"edu.umd.cs.findbugs.jaif",0,1,1.0,0.125,0.125
"edu.umd.cs.findbugs.model",8,4,0.3333333333333333,0.25,0.41666666666666674
"edu.umd.cs.findbugs.ba.heap",3,1,0.25,0.14285714285714285,0.6071428571428572
"edu.umd.cs.findbugs.config",23,4,0.14814814814814814,0.14285714285714285,0.7089947089947091
"edu.umd.cs.findbugs.ba.constant",4,1,0.2,0.0,0.8
"edu.umd.cs.findbugs.ba.interproc",15,4,0.21052631578947367,0.5,0.2894736842105263
"edu.umd.cs.findbugs.bcel",85,5,0.05555555555555555,0.8333333333333334,0.11111111111111105
"edu.umd.cs.findbugs.cloud.username",6,4,0.4,0.16666666666666666,0.43333333333333335
"edu.umd.cs.findbugs.props",14,4,0.2222222222222222,0.5,0.2777777777777778
"edu.umd.cs.findbugs.tools",0,4,1.0,0.0,0.0
"edu.umd.cs.findbugs.ba.ca",3,1,0.25,0.0,0.75
"edu.umd.cs.findbugs.classfile.engine.asm",10,3,0.23076923076923078,0.0,0.7692307692307692
"edu.umd.cs.findbugs.internalAnnotations",0,0,0.0,0.0,1.0
"edu.umd.cs.findbugs.log",18,3,0.14285714285714285,0.6,0.2571428571428571
"edu.umd.cs.findbugs.asm",7,3,0.3,0.75,0.050000000000000044
"edu.umd.cs.findbugs.ba.deref",10,8,0.4444444444444444,0.0,0.5555555555555556
"edu.umd.cs.findbugs.bcel.generic",3,0,0.0,0.25,0.75
"edu.umd.cs.findbugs.updates",6,3,0.3333333333333333,0.5,0.16666666666666674
"edu.umd.cs.findbugs.tools.html",0,2,1.0,0.25,0.25
"edu.umd.cs.findbugs.bugReporter",1,2,0.6666666666666666,0.3333333333333333,0.0
"edu.umd.cs.findbugs.charsets",34,0,0.0,0.0,1.0
"edu.umd.cs.findbugs.io",9,1,0.1,0.0,0.9
"edu.umd.cs.findbugs.plugins",1,0,0.0,0.0,1.0
"edu.umd.cs.findbugs.gui",2,1,0.3333333333333333,0.0,0.6666666666666667
"edu.umd.cs.findbugs.launchGUI",1,2,0.6666666666666666,0.0,0.33333333333333337
"edu.umd.cs.findbugs.architecture",0,0,0.0,0.0,1.0
"edu.umd.cs.findbugs.ml",0,1,1.0,0.0,0.0
"edu.umd.cs.findbugs.tools.junit",0,0,0.0,0.0,1.0
"edu.umd.cs.findbugs.tools.xml",0,1,1.0,0.0,0.0
