"namespace","noc","nac"
"com.puppycrawl.tools.checkstyle.checks.coding",93,2
"com.puppycrawl.tools.checkstyle.checks.indentation.indentation",80,7
"com.puppycrawl.tools.checkstyle",62,8
"com.puppycrawl.tools.checkstyle.api",53,18
"com.puppycrawl.tools.checkstyle.checks.javadoc",49,2
"com.puppycrawl.tools.checkstyle.grammar.java8",48,11
"com.puppycrawl.tools.checkstyle.grammar",41,6
"com.puppycrawl.tools.checkstyle.checks.imports.importorder",39,0
"com.puppycrawl.tools.checkstyle.checks.indentation",38,1
"com.puppycrawl.tools.checkstyle.checks.naming",37,3
"com.puppycrawl.tools.checkstyle.checks.whitespace",36,1
"org.checkstyle.suppressionxpathfilter",35,1
"com.puppycrawl.tools.checkstyle.checks.imports",33,2
"com.puppycrawl.tools.checkstyle.filters",32,1
"com.puppycrawl.tools.checkstyle.checks",30,0
"com.puppycrawl.tools.checkstyle.utils",21,1
"com.puppycrawl.tools.checkstyle.checks.javadoc.javadocmethod",21,6
"com.puppycrawl.tools.checkstyle.checks.design",19,0
"com.puppycrawl.tools.checkstyle.checks.coding.requirethis",18,4
"com.puppycrawl.tools.checkstyle.checks.regexp",17,1
"com.puppycrawl.tools.checkstyle.checks.sizes",17,0
"com.puppycrawl.tools.checkstyle.checks.design.visibilitymodifier",17,2
"com.puppycrawl.tools.checkstyle.checks.javadoc.missingjavadocmethod",17,5
"com.puppycrawl.tools.checkstyle.checks.whitespace.whitespacearound",17,4
"com.puppycrawl.tools.checkstyle.checks.blocks",16,0
"com.puppycrawl.tools.checkstyle.gui",16,0
"com.puppycrawl.tools.checkstyle.checks.blocks.rightcurly",16,3
"com.puppycrawl.tools.checkstyle.checks.modifier.redundantmodifier",16,9
"com.puppycrawl.tools.checkstyle.checks.annotation",15,0
"com.puppycrawl.tools.checkstyle.internal.powermock",15,0
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable",15,2
"com.puppycrawl.tools.checkstyle.checks.javadoc.abstractjavadoc",15,2
"com.puppycrawl.tools.checkstyle.checks.whitespace.emptylineseparator",15,4
"com.puppycrawl.tools.checkstyle.checks.metrics",14,1
"com.google.checkstyle.test.chapter4formatting.rule462horizontalwhitespace",13,4
"com.puppycrawl.tools.checkstyle.checks.annotation.annotationlocation",13,3
"com.puppycrawl.tools.checkstyle.checks.blocks.leftcurly",13,5
"com.puppycrawl.tools.checkstyle.checks.coding.illegaltype",13,5
"com.puppycrawl.tools.checkstyle.checks.imports.customimportorder",13,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.javadoctype",13,5
"com.puppycrawl.tools.checkstyle.checks.whitespace.whitespaceafter",13,2
"com.puppycrawl.tools.checkstyle.checks.modifier.interfacememberimpliedmodifier",12,11
"com.puppycrawl.tools.checkstyle.checks.whitespace.parenpad",12,1
"com.puppycrawl.tools.checkstyle.xpath",11,1
"com.puppycrawl.tools.checkstyle.checks.design.hideutilityclassconstructor",11,3
"com.puppycrawl.tools.checkstyle.checks.imports.unusedimports",11,1
"com.google.checkstyle.test.chapter4formatting.rule412nonemptyblocks",10,0
"com.google.checkstyle.test.chapter4formatting.rule451wheretobreak",10,0
"com.puppycrawl.tools.checkstyle.checks.header.regexpheader",10,0
"com.puppycrawl.tools.checkstyle.checks.metrics.classfanoutcomplexity",10,4
"com.puppycrawl.tools.checkstyle.checks.outertypefilename",10,1
"com.google.checkstyle.test.chapter4formatting.rule4841indentation",9,1
"org.checkstyle.suppressionxpathfilter.genericwhitespace",9,0
"com.puppycrawl.tools.checkstyle.checks.modifier",9,0
"com.puppycrawl.tools.checkstyle.internal.utils",9,0
"com.puppycrawl.tools.checkstyle.checks.annotation.suppresswarnings",9,0
"com.puppycrawl.tools.checkstyle.checks.design.onetoplevelclass",9,2
"com.puppycrawl.tools.checkstyle.checks.javadoc.missingjavadoctype",9,4
"com.puppycrawl.tools.checkstyle.checks.whitespace.nowhitespaceafter",9,1
"com.puppycrawl.tools.checkstyle.utils.blockcommentposition",9,1
"com.google.checkstyle.test.chapter4formatting.rule413emptyblocks",8,1
"com.google.checkstyle.test.chapter7javadoc.rule713atclauses",8,3
"com.google.checkstyle.test.chapter4formatting.rule42blockindentation",8,1
"com.google.checkstyle.test.chapter4formatting.rule452indentcontinuationlines",8,1
"com.puppycrawl.tools.checkstyle.asttreestringprinter",8,0
"com.puppycrawl.tools.checkstyle.checks.annotation.annotationusestyle",8,0
"com.puppycrawl.tools.checkstyle.checks.indentation.commentsindentation",8,1
"com.puppycrawl.tools.checkstyle.checks.whitespace.genericwhitespace",8,2
"com.puppycrawl.tools.checkstyle.main",8,0
"com.puppycrawl.tools.checkstyle.grammar.comments",7,0
"com.puppycrawl.tools.checkstyle.internal.testmodules",7,0
"com.puppycrawl.tools.checkstyle.checks.annotation.missingdeprecated",7,3
"com.puppycrawl.tools.checkstyle.checks.annotation.missingoverride",7,4
"com.puppycrawl.tools.checkstyle.checks.blocks.needbraces",7,1
"com.puppycrawl.tools.checkstyle.checks.descendanttoken",7,0
"com.puppycrawl.tools.checkstyle.checks.naming.parametername",7,1
"com.puppycrawl.tools.checkstyle.checks.sizes.methodcount",7,1
"com.puppycrawl.tools.checkstyle.checks.suppresswarningsholder",7,1
"com.puppycrawl.tools.checkstyle.javadocpropertiesgenerator",7,1
"com.google.checkstyle.test.chapter3filestructure.rule333orderingandspacing",6,0
"com.google.checkstyle.test.chapter5naming.rule528typevariablenames",6,1
"com.puppycrawl.tools.checkstyle.checks.header",6,1
"com.puppycrawl.tools.checkstyle.checks.javadoc.utils",6,0
"com.puppycrawl.tools.checkstyle.checks.design.designforextension",6,2
"com.puppycrawl.tools.checkstyle.checks.javadoc.summaryjavadoc",6,0
"com.puppycrawl.tools.checkstyle.checks.whitespace.nowhitespacebefore",6,3
"com.puppycrawl.tools.checkstyle.checks.whitespace.separatorwrap",6,3
"com.puppycrawl.tools.checkstyle.checks.whitespace.singlespaceseparator",6,0
"com.google.checkstyle.test.chapter3filestructure.rule341onetoplevel",5,1
"com.google.checkstyle.test.chapter4formatting.rule4861blockcommentstyle",5,0
"com.puppycrawl.tools.checkstyle.internal",5,0
"com.puppycrawl.tools.checkstyle.checks.blocks.emptyblock",5,0
"com.puppycrawl.tools.checkstyle.checks.coding.hiddenfield",5,3
"com.puppycrawl.tools.checkstyle.checks.coding.onestatementperline",5,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.javadocvariable",5,2
"com.puppycrawl.tools.checkstyle.checks.modifier.classmemberimpliedmodifier",5,5
"com.puppycrawl.tools.checkstyle.checks.naming.constantname",5,3
"com.puppycrawl.tools.checkstyle.checks.uncommentedmain",5,1
"com.puppycrawl.tools.checkstyle.xpath.xpathmapper",5,1
"com.google.checkstyle.test.chapter2filebasic.rule21filename",4,2
"com.google.checkstyle.test.chapter3filestructure.rule332nolinewrap",4,1
"com.google.checkstyle.test.chapter5naming.rule526parameternames",4,0
"com.google.checkstyle.test.chapter7javadoc.rule711generalform",4,0
"com.google.checkstyle.test.chapter7javadoc.rule731selfexplanatory",4,0
"org.checkstyle.suppressionxpathfilter.importcontrol",4,0
"org.checkstyle.suppressionxpathfilter.parenpad",4,0
"org.checkstyle.suppressionxpathfilter.rightcurly",4,0
"org.checkstyle.suppressionxpathfilter.typecastparenpad",4,0
"com.puppycrawl.tools.checkstyle.checks.coding.declarationorder",4,0
"com.puppycrawl.tools.checkstyle.checks.coding.equalsavoidnull",4,0
"com.puppycrawl.tools.checkstyle.checks.coding.equalshashcode",4,1
"com.puppycrawl.tools.checkstyle.checks.header.header",4,0
"com.puppycrawl.tools.checkstyle.checks.imports.importcontrol",4,1
"com.puppycrawl.tools.checkstyle.checks.imports.redundantimport",4,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.javadocstyle",4,2
"com.puppycrawl.tools.checkstyle.checks.metrics.classdataabstractioncoupling",4,0
"com.puppycrawl.tools.checkstyle.checks.metrics.npathcomplexity",4,0
