"type","dep","i-dep","fan-in","fan-out"
"com.puppycrawl.tools.checkstyle.checks.avoidescapedunicodecharacters.InputAvoidEscapedUnicodeCharactersAllEscapedUnicodeCharacters",0,0,0,0
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableFalsePositives",2,0,0,6
"com.puppycrawl.tools.checkstyle.checks.indentation.IndentationCheckTest",27,7,0,16
"com.puppycrawl.tools.checkstyle.internal.XdocsPagesTest",64,14,0,33
"com.puppycrawl.tools.checkstyle.CheckerTest",66,25,4,47
"com.puppycrawl.tools.checkstyle.MainTest",35,6,0,15
"com.puppycrawl.tools.checkstyle.checks.annotation.SuppressWarningsCheckTest",5,3,0,4
"com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheck",18,6,4,16
"com.puppycrawl.tools.checkstyle.checks.coding.variabledeclarationusagedistance.InputVariableDeclarationUsageDistance",1,0,1,27
"com.puppycrawl.tools.checkstyle.checks.imports.ImportOrderCheckTest",16,8,0,12
"com.puppycrawl.tools.checkstyle.xpath.XpathMapperTest",17,4,0,7
"com.puppycrawl.tools.checkstyle.checks.imports.CustomImportOrderCheckTest",18,7,0,9
"com.google.checkstyle.test.chapter4formatting.rule4822variabledistance.InputVariableDeclarationUsageDistanceCheck",1,0,1,26
"com.puppycrawl.tools.checkstyle.PackageObjectFactory",14,3,33,16
"com.puppycrawl.tools.checkstyle.ant.CheckstyleAntTaskTest",31,7,0,19
"com.puppycrawl.tools.checkstyle.checks.javadoc.AbstractJavadocCheckTest",24,7,0,14
"com.puppycrawl.tools.checkstyle.checks.TranslationCheckTest",37,12,0,19
"com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest",19,2,4,12
"com.puppycrawl.tools.checkstyle.checks.indentation.CommentsIndentationCheck",8,4,4,8
"com.puppycrawl.tools.checkstyle.filters.SuppressWithNearbyCommentFilterTest",25,13,0,20
"com.puppycrawl.tools.checkstyle.TreeWalkerTest",40,20,1,30
"com.puppycrawl.tools.checkstyle.internal.XdocsJavaDocsTest",35,15,0,30
"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck",20,9,7,18
"com.puppycrawl.tools.checkstyle.filters.SuppressionCommentFilterTest",27,13,0,23
"com.puppycrawl.tools.checkstyle.Main",33,8,1,22
"com.puppycrawl.tools.checkstyle.filters.SuppressWithPlainTextCommentFilterTest",26,10,0,17
"com.puppycrawl.tools.checkstyle.checks.design.VisibilityModifierCheckTest",17,7,0,9
"com.puppycrawl.tools.checkstyle.checks.coding.MagicNumberCheckTest",4,2,0,3
"com.puppycrawl.tools.checkstyle.checks.whitespace.ParenPadCheckTest",17,7,0,8
"com.puppycrawl.tools.checkstyle.checks.coding.FinalLocalVariableCheck",13,5,2,12
"com.puppycrawl.tools.checkstyle.checks.whitespace.WhitespaceAroundCheckTest",8,4,0,5
"com.puppycrawl.tools.checkstyle.checks.blocks.RightCurlyCheckTest",10,4,0,5
"com.puppycrawl.tools.checkstyle.DetailAstImplTest",27,4,0,9
"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheckTest",14,4,0,5
"com.puppycrawl.tools.checkstyle.ant.CheckstyleAntTask",38,14,14,31
"com.puppycrawl.tools.checkstyle.internal.AllChecksTest",34,14,0,30
"com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheck",11,4,2,7
"com.puppycrawl.tools.checkstyle.checks.javadoc.MissingJavadocMethodCheckTest",8,4,0,5
"com.puppycrawl.tools.checkstyle.checks.coding.HiddenFieldCheckTest",14,7,0,10
"com.puppycrawl.tools.checkstyle.xpath.XpathQueryGeneratorTest",17,8,0,11
"com.puppycrawl.tools.checkstyle.utils.CommonUtilTest",25,3,1,9
"com.puppycrawl.tools.checkstyle.checks.blocks.LeftCurlyCheckTest",12,5,0,6
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariable",0,0,2,3
"com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheckTest",10,5,0,7
"com.puppycrawl.tools.checkstyle.Checker",36,18,56,30
"com.puppycrawl.tools.checkstyle.checks.design.VisibilityModifierCheck",15,6,6,15
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableAssignedMultipleTimes",2,0,0,4
"com.puppycrawl.tools.checkstyle.checks.AvoidEscapedUnicodeCharactersCheckTest",16,4,0,6
"com.puppycrawl.tools.checkstyle.JavadocDetailNodeParser",28,5,5,14
"com.puppycrawl.tools.checkstyle.checks.coding.requirethis.InputRequireThisValidateOnlyOverlappingFalse",1,0,0,3
"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocStyleCheckTest",14,4,0,5
"com.puppycrawl.tools.checkstyle.ConfigurationLoader",22,3,10,14
"com.puppycrawl.tools.checkstyle.utils.CommonUtil",22,4,266,13
"com.puppycrawl.tools.checkstyle.checks.coding.requirethis.InputRequireThisValidateOnlyOverlappingTrue",1,0,0,2
"com.google.checkstyle.test.chapter4formatting.rule4842fallthrough.InputFallThrough",0,0,0,1
"com.puppycrawl.tools.checkstyle.checks.imports.ImportControlCheckTest",18,6,0,9
"com.puppycrawl.tools.checkstyle.api.AbstractCheckTest",17,4,0,12
"com.puppycrawl.tools.checkstyle.PackageObjectFactoryTest",30,6,0,18
"com.puppycrawl.tools.checkstyle.checks.coding.EqualsAvoidNullCheck",8,4,1,9
"com.puppycrawl.tools.checkstyle.checks.indentation.commentsindentation.InputCommentsIndentationCommentIsAtTheEndOfBlock",0,0,0,6
"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocTypeCheckTest",11,4,0,5
