"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa","lcom3"
"com.puppycrawl.tools.checkstyle.checks.avoidescapedunicodecharacters.InputAvoidEscapedUnicodeCharactersAllEscapedUnicodeCharacters",65541,0,0,1,0,0,0,0,1,0.0
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableFalsePositives",2201,98,0,620,2,0,0,6,0,0.0
"com.puppycrawl.tools.checkstyle.checks.indentation.IndentationCheckTest",1912,106,99,119,27,7,0,16,11,0.9558441558441558
"com.puppycrawl.tools.checkstyle.internal.XdocsPagesTest",1351,33,6,253,64,14,0,33,13,0.84375
"com.puppycrawl.tools.checkstyle.CheckerTest",1310,90,83,91,66,25,4,47,13,0.993085566119274
"com.puppycrawl.tools.checkstyle.MainTest",1293,82,79,81,35,6,0,15,15,0.9679012345679013
"com.puppycrawl.tools.checkstyle.checks.annotation.SuppressWarningsCheckTest",875,39,38,39,5,3,0,4,0,0.0
"com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheck",868,78,21,242,18,6,4,16,19,0.9138755980861244
"com.puppycrawl.tools.checkstyle.checks.coding.variabledeclarationusagedistance.InputVariableDeclarationUsageDistance",853,96,90,134,1,0,1,27,2,0.9947368421052631
"com.puppycrawl.tools.checkstyle.checks.imports.ImportOrderCheckTest",777,60,58,60,16,8,0,12,0,0.0
"com.puppycrawl.tools.checkstyle.xpath.XpathMapperTest",730,59,55,62,17,4,0,7,0,0.0
"com.puppycrawl.tools.checkstyle.checks.imports.CustomImportOrderCheckTest",645,36,35,36,18,7,0,9,5,0.9428571428571428
"com.google.checkstyle.test.chapter4formatting.rule4822variabledistance.InputVariableDeclarationUsageDistanceCheck",623,81,78,127,1,0,1,26,1,1.0
"com.puppycrawl.tools.checkstyle.PackageObjectFactory",612,31,5,51,14,3,33,16,14,0.8333333333333334
"com.puppycrawl.tools.checkstyle.ant.CheckstyleAntTaskTest",611,43,40,46,31,7,0,19,8,0.9166666666666666
"com.puppycrawl.tools.checkstyle.checks.javadoc.AbstractJavadocCheckTest",528,51,50,51,24,7,0,14,7,0.98
"com.puppycrawl.tools.checkstyle.checks.TranslationCheckTest",523,28,27,28,37,12,0,19,2,1.0
"com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest",509,36,30,39,19,2,4,12,0,0.0
"com.puppycrawl.tools.checkstyle.checks.indentation.CommentsIndentationCheck",505,44,5,126,8,4,4,8,2,0.9883720930232558
"com.puppycrawl.tools.checkstyle.filters.SuppressWithNearbyCommentFilterTest",505,25,20,26,25,13,0,20,1,1.0416666666666667
"com.puppycrawl.tools.checkstyle.TreeWalkerTest",498,43,42,43,40,20,1,30,3,0.992063492063492
"com.puppycrawl.tools.checkstyle.internal.XdocsJavaDocsTest",487,26,7,87,35,15,0,30,7,0.9257142857142857
"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck",471,38,16,102,20,9,7,18,26,0.6621621621621622
"com.puppycrawl.tools.checkstyle.filters.SuppressionCommentFilterTest",458,27,21,30,27,13,0,23,1,1.0384615384615385
"com.puppycrawl.tools.checkstyle.Main",454,19,4,47,33,8,1,22,31,0.23476702508960579
"com.puppycrawl.tools.checkstyle.filters.SuppressWithPlainTextCommentFilterTest",451,20,17,20,26,10,0,17,1,1.0
"com.puppycrawl.tools.checkstyle.checks.design.VisibilityModifierCheckTest",449,29,28,29,17,7,0,9,0,0.0
"com.puppycrawl.tools.checkstyle.checks.coding.MagicNumberCheckTest",449,10,9,10,4,2,0,3,0,0.0
"com.puppycrawl.tools.checkstyle.checks.whitespace.ParenPadCheckTest",440,18,17,19,17,7,0,8,0,0.0
"com.puppycrawl.tools.checkstyle.checks.coding.FinalLocalVariableCheck",438,36,8,108,13,5,2,12,13,0.9142857142857143
"com.puppycrawl.tools.checkstyle.checks.whitespace.WhitespaceAroundCheckTest",438,26,25,26,8,4,0,5,0,0.0
"com.puppycrawl.tools.checkstyle.checks.blocks.RightCurlyCheckTest",434,27,26,27,10,4,0,5,0,0.0
"com.puppycrawl.tools.checkstyle.DetailAstImplTest",431,27,21,42,27,4,0,9,1,1.0384615384615385
"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheckTest",428,36,35,36,14,4,0,5,0,0.0
"com.puppycrawl.tools.checkstyle.ant.CheckstyleAntTask",427,40,28,71,38,14,14,31,23,0.7201783723522854
"com.puppycrawl.tools.checkstyle.internal.AllChecksTest",427,16,12,50,34,14,0,30,3,1.0666666666666667
"com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheck",426,21,8,102,11,4,2,7,7,0.85
"com.puppycrawl.tools.checkstyle.checks.javadoc.MissingJavadocMethodCheckTest",409,30,29,30,8,4,0,5,0,0.0
"com.puppycrawl.tools.checkstyle.checks.coding.HiddenFieldCheckTest",407,14,13,18,14,7,0,10,0,0.0
"com.puppycrawl.tools.checkstyle.xpath.XpathQueryGeneratorTest",405,28,27,28,17,8,0,11,3,0.9629629629629629
"com.puppycrawl.tools.checkstyle.utils.CommonUtilTest",402,50,49,50,25,3,1,9,2,0.9897959183673469
"com.puppycrawl.tools.checkstyle.checks.blocks.LeftCurlyCheckTest",389,26,25,26,12,5,0,6,0,0.0
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariable",388,37,34,6,0,0,2,3,6,0.9305555555555556
"com.puppycrawl.tools.checkstyle.checks.modifier.InterfaceMemberImpliedModifierCheckTest",379,25,24,25,10,5,0,7,0,0.0
"com.puppycrawl.tools.checkstyle.Checker",376,34,26,69,36,18,56,30,20,0.7121212121212122
"com.puppycrawl.tools.checkstyle.checks.design.VisibilityModifierCheck",375,37,12,75,15,6,6,15,19,0.7675438596491229
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableAssignedMultipleTimes",373,13,12,55,2,0,0,4,0,0.0
"com.puppycrawl.tools.checkstyle.checks.AvoidEscapedUnicodeCharactersCheckTest",373,12,10,18,16,4,0,6,3,0.9090909090909091
"com.puppycrawl.tools.checkstyle.JavadocDetailNodeParser",372,31,14,65,28,5,5,14,15,0.7666666666666667
"com.puppycrawl.tools.checkstyle.checks.coding.requirethis.InputRequireThisValidateOnlyOverlappingFalse",371,74,60,86,1,0,0,3,11,0.941469489414695
"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocStyleCheckTest",369,21,20,21,14,4,0,5,0,0.0
"com.puppycrawl.tools.checkstyle.ConfigurationLoader",365,20,14,42,22,3,10,14,31,0.568760611205433
