"method","loc","cyclo","calls","nbd","param"
"utils.SourceCodeLineCounter.isSourceCodeLine(String line)",42,10,13,4,1
"utils.SourceCodeLineCounter.getNumberOfLines(BufferedReader bReader)",28,8,10,4,1
"structures.results.TypeMetricResult.cleanListOf(Set<String> typesWithCyclos)",18,6,5,3,1
"structures.results.TypeMetricResult.getInternalImportsBy(String namespace)",15,6,8,3,1
"structures.results.TypeMetricResult.getTotalOfAbstractTypesIn(String namespace)",15,6,6,3,1
"structures.results.MethodMetricResult.getTotalCycloBy(String type)",14,6,8,2,1
"main.Bootstrapper.verifyTopOption(int number, String ranking, String argument)",10,6,7,2,3
"utils.SourceCodeLineCounter.commentBegan(String line)",25,5,9,4,1
"main.Bootstrapper.verifySaveOption()",10,5,8,2,0
"main.Bootstrapper.verifyOutput()",6,5,6,2,0
"utils.SourceCodeLineCounter.commentEnded(String line)",22,4,5,4,1
"structures.results.TypeMetricResult.getTotalOfVariablesUsedInMethods(TypeMetric type)",15,4,4,3,1
"structures.results.TypeMetricResult.getAfferentCoupling(String namespace)",13,4,7,3,1
"structures.results.TypeMetricResult.getEfferentCoupling(String namespace)",13,4,7,3,1
"structures.results.TypeMetricResult.computeLCOM3(int variables, int methods, int variablesUsedInMethods)",5,4,0,3,3
"output.MetricResultConsole.showInternalDependencies()",23,4,15,2,0
"output.MetricResultConsole.showDependencies()",15,4,12,2,0
"main.Bootstrapper.getOutputFormat(long startTime)",15,4,6,2,1
"main.Bootstrapper.verifyInvalidOptions()",15,4,4,2,0
"output.MetricResultJSON.generateLinksBetweenNamespaces()",12,4,6,2,0
"parser.java.visitors.TypeVisitor.isAbstractType(TypeDeclaration node)",11,4,6,2,1
"main.Bootstrapper.verifyOptions()",11,4,3,2,0
"parser.java.visitors.TypeVisitor.visit(MethodDeclaration node)",9,4,6,2,1
"parser.java.visitors.TypeVisitor.getSuperTypes(TypeDeclaration node)",7,4,9,2,1
"main.Bootstrapper.verifyNumberOfArguments(String[] args)",5,4,2,2,1
"output.MetricResultDOT.defineLinks()",7,4,3,1,0
"structures.results.TypeMetricResult.getCyclicDependencies()",18,3,7,3,0
"structures.results.TypeMetricResult.getInternalDependenciesByType(Set<String> dependencies, Set<String> otherDependencies)",7,3,3,3,2
"structures.results.TypeMetricResult.defineFanIn()",6,3,6,3,0
"structures.results.TypeMetricResult.identifyAfferentCoupling(String namespace, HashSet<String> afferents, TypeMetric type)",6,3,5,3,3
"structures.results.TypeMetricResult.identifyEfferentCoupling(String namespace, HashSet<String> efferents, TypeMetric type)",6,3,4,3,3
"structures.results.TypeMetricResult.hasCyclicDependency(TypeMetric type, TypeMetric otherType, boolean isCyclic)",5,3,3,3,3
"structures.results.TypeMetricResult.getFanInOf(String typeName)",4,3,2,3,1
"parser.java.visitors.TypeVisitor.visit(TypeDeclaration node)",16,3,11,2,1
"output.MetricResultJSON.generateMethods()",15,3,18,2,0
"parser.java.visitors.MethodVisitor.defineParameters()",15,3,11,2,0
"parser.java.visitors.TypeVisitor.update(TypeMetricResult result)",14,3,12,2,1
"output.MetricResultJSON.generateDependencies()",14,3,12,2,0
"output.MetricResultJSON.generateInternalDependencies()",14,3,12,2,0
"output.MetricResultConsole.showCyclicDependencies()",14,3,7,2,0
"parser.java.visitors.MethodVisitor.visit(MethodDeclaration node)",13,3,5,2,1
"output.MetricResultJSON.generateCyclicDependencies()",12,3,9,2,0
"parser.java.visitors.MethodVisitor.defineMethodSignature(MethodDeclaration node)",11,3,8,2,1
"parser.java.visitors.TypeVisitor.visit(MethodInvocation node)",10,3,4,2,1
"parser.java.visitors.TypeVisitor.visit(SuperMethodInvocation node)",10,3,4,2,1
"parser.java.visitors.TypeVisitor.getImplementedInterfaces(TypeDeclaration node)",7,3,7,2,1
"parser.java.visitors.MethodVisitor.visit(SwitchCase node)",7,3,3,2,1
