"namespace","ca","ce","instability","abstractness","distance"
"output",23,6,0.20689655172413793,0.2857142857142857,0.5073891625615764
"selection.options.dependencies",1,2,0.6666666666666666,0.0,0.33333333333333337
"selection.options.statistics",1,2,0.6666666666666666,0.0,0.33333333333333337
"structures.metrics",13,2,0.13333333333333333,0.0,0.8666666666666667
"selection.options.general",1,2,0.6666666666666666,0.0,0.33333333333333337
"structures.results",16,3,0.15789473684210525,0.0,0.8421052631578947
"structures.statistics",3,3,0.5,0.25,0.25
"utils.files",7,0,0.0,0.0,1.0
"parser.java.visitors",1,3,0.75,0.0,0.25
"selection.options.strutures",1,2,0.6666666666666666,0.0,0.33333333333333337
"output.utils",6,1,0.14285714285714285,0.0,0.8571428571428572
"selection.options",20,5,0.2,0.5,0.30000000000000004
"structures",6,0,0.0,1.0,0.0
"main",0,3,1.0,0.0,0.0
"parser.java",1,3,0.75,0.0,0.25
"parser",2,0,0.0,1.0,0.0
"selection",1,7,0.875,0.0,0.125
"utils.calc",4,0,0.0,0.0,1.0
