"metric","1stQ","3rdQ","avg","median","min","max","max-min","stddev","u-fence","threshold"
"SLOC",10.0,89.5,66.84210526315789,28.0,4.0,372.0,368.0,85.01285547238056,208.75,500.0
"NOM",1.0,15.0,9.456140350877194,4.0,1.0,45.0,44.0,11.29364077457814,36.0,14.0
"NPM",1.0,13.5,8.12280701754386,3.0,1.0,40.0,39.0,10.278695690753212,32.25,40.0
"WMC",1.0,19.0,14.052631578947368,6.0,1.0,99.0,98.0,19.126926966453745,46.0,100.0
"DEP",2.0,6.5,5.157894736842105,2.0,0.0,25.0,25.0,6.304522113264331,13.25,20.0
"I-DEP",0.0,3.0,3.0,2.0,0.0,19.0,19.0,4.08248290463863,7.5,15.0
"FAN-IN",1.0,3.5,3.6491228070175437,1.0,0.0,29.0,29.0,5.667671411658625,7.25,10.0
"FAN-OUT",3.0,5.0,4.87719298245614,3.0,0.0,22.0,22.0,5.061274284585889,8.0,15.0
"NOA",0.0,3.0,2.5964912280701755,1.0,0.0,21.0,21.0,4.307723170839756,7.5,8.0
"LCOM3",0.0,0.930952380952381,0.4431354396234427,0.5,0.0,1.0,1.0,0.44521300904391337,2.3273809523809526,1.0
