"type","dep","i-dep","fan-in","fan-out"
"output.MetricResultJSON",25,16,2,22
"structures.results.TypeMetricResult",12,3,10,9
"output.MetricResultCSV",17,15,2,22
"output.MetricResultConsole",17,15,2,19
"output.MetricResultFile",5,5,1,7
"parser.java.visitors.TypeVisitor",21,3,1,9
"parser.java.visitors.MethodVisitor",23,3,1,9
"main.Bootstrapper",8,7,0,11
"structures.metrics.TypeMetric",9,2,6,5
"structures.statistics.StatisticOfType",6,4,3,6
"output.utils.InfoConsole",0,0,5,3
"utils.files.SourceCodeLineCounter",3,0,1,2
"structures.results.MethodMetricResult",9,2,11,6
"structures.results.NamespaceMetricResult",9,2,10,5
"structures.statistics.StatisticOfMethod",5,3,3,5
"parser.java.JavaParser",16,7,1,11
"structures.metrics.MethodMetric",1,0,6,2
"selection.ProjectInfo",11,9,1,10
"utils.calc.StatisticalAnalysis",1,0,4,5
"structures.results.StatisticMetricResult",0,0,7,0
"structures.metrics.MetricThreshold",2,0,4,1
"structures.statistics.StatisticalOperations",6,4,3,5
"selection.options.Options",21,19,1,19
"output.MetricResultDOT",3,2,1,4
"utils.files.SystemUtils",7,0,2,4
"structures.metrics.NamespaceMetric",0,0,6,2
"structures.statistics.StatisticOfNamespace",5,3,3,5
"structures.metrics.MetricDefinition",0,0,29,0
"utils.files.JSONBuilder",2,0,1,0
"output.MetricOutput",3,3,27,3
"parser.java.visitors.NamespaceVisitor",5,3,1,5
"output.utils.Gauge",2,2,1,3
"utils.files.StringFormat",0,0,4,1
"output.MetricFile",0,0,2,0
"selection.options.dependencies.TypeCouplingOption",2,2,1,3
"selection.options.general.AllMetricsOption",2,2,1,3
"selection.options.general.MetricVisualizationOption",2,2,1,3
"selection.options.statistics.StatisticAndTypeOption",2,2,1,3
"selection.options.statistics.StatisticTypeOption",2,2,1,3
"selection.options.strutures.TypeOption",2,2,1,3
"selection.options.dependencies.AllCouplingOption",2,2,1,3
"selection.options.dependencies.CyclicDependencyOption",2,2,1,3
"selection.options.dependencies.InternalDependencyOption",2,2,1,3
"selection.options.dependencies.NamespaceCouplingOption",2,2,1,3
"selection.options.statistics.StatisticAndNamespaceOption",2,2,1,3
"selection.options.statistics.StatisticNamespaceOption",2,2,1,3
"selection.options.strutures.NamespaceOption",2,2,1,3
"selection.options.dependencies.DependencyOption",2,2,1,3
"selection.options.general.SummaryOption",2,2,1,3
"selection.options.general.ThresholdsOption",2,2,1,3
"selection.options.statistics.StatisticAndMethodOption",2,2,1,3
"selection.options.statistics.StatisticMethodOption",2,2,1,3
"selection.options.strutures.MethodOption",2,2,1,3
"structures.MetricResultNotifier",1,0,3,0
"selection.options.OptionDefinition",1,1,19,1
"structures.MetricActivator",0,0,3,0
"parser.TypeParser",0,0,2,0
