"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa","lcom3"
"structures.results.TypeMetricResult",354,49,32,104,13,3,9,14,8,0.9401041666666666
"output.MetricResultJSON",296,30,26,50,18,10,2,16,4,0.9482758620689655
"output.MetricResultCSV",191,22,22,32,10,9,2,16,3,0.9523809523809523
"parser.java.visitors.TypeVisitor",189,19,12,42,21,3,1,9,16,0.5833333333333334
"parser.java.visitors.MethodVisitor",188,22,16,39,23,3,1,9,11,0.7619047619047619
"output.MetricResultConsole",185,14,14,28,10,9,1,13,3,0.9230769230769231
"output.MetricResultFile",156,30,30,42,4,4,1,6,18,0.7068965517241379
"main.Bootstrapper",155,16,1,47,8,7,0,11,6,0.8333333333333334
"structures.metrics.TypeMetric",151,36,36,36,9,2,5,5,15,0.8
"structures.results.MethodMetricResult",119,19,15,31,10,2,9,10,3,0.9444444444444444
"structures.results.NamespaceMetricResult",118,21,17,31,10,2,9,9,3,0.95
"utils.SourceCodeLineCounter",99,6,2,29,3,0,1,2,0,0.0
"output.InfoConsole",93,11,7,13,0,0,1,3,1,1.0
"parser.java.JavaParser",74,6,2,7,16,7,1,11,6,0.5
"structures.metrics.MethodMetric",73,18,18,19,1,0,5,2,8,0.7941176470588235
"general.ProjectInfo",69,11,9,12,11,9,1,10,6,0.75
"structures.metrics.MetricThreshold",55,2,2,2,2,0,3,0,1,1.0
"output.MetricResultDOT",45,7,2,11,3,2,1,4,3,0.8333333333333334
"utils.SystemUtils",39,3,2,3,7,0,2,4,0,0.0
"structures.metrics.NamespaceMetric",38,9,9,11,0,0,5,2,3,0.875
"structures.metrics.MetricDefinition",33,7,7,7,0,0,28,0,5,0.6666666666666666
"utils.JSONBuilder",28,6,6,6,2,0,1,0,1,1.0
"general.options.Options",25,2,2,2,2,0,1,0,1,1.0
"parser.java.visitors.NamespaceVisitor",24,3,3,6,5,3,1,5,1,1.0
"output.Gauge",21,3,3,7,0,0,1,1,1,1.0
"output.MetricOutput",20,14,14,14,3,3,20,3,0,0.0
"utils.StringFormat",20,4,4,9,0,0,4,1,0,0.0
"output.MetricFile",11,8,8,8,0,0,2,0,0,0.0
"general.options.AllMetricsOption",10,1,1,1,1,1,1,2,0,0.0
"general.options.MetricVisualizationOption",10,1,1,1,1,1,1,2,0,0.0
"general.options.TypeCouplingOption",10,1,1,1,1,1,1,2,0,0.0
"general.options.TypeOption",10,1,1,1,1,1,1,2,0,0.0
"general.options.AllCouplingOption",9,1,1,1,1,1,1,2,0,0.0
"general.options.CyclicDependencyOption",9,1,1,1,1,1,1,2,0,0.0
"general.options.InternalDependencyOption",9,1,1,1,1,1,1,2,0,0.0
"general.options.NamespaceCouplingOption",9,1,1,1,1,1,1,2,0,0.0
"general.options.NamespaceOption",9,1,1,1,1,1,1,2,0,0.0
"general.options.DependencyOption",8,1,1,1,1,1,1,2,0,0.0
"general.options.MethodOption",8,1,1,1,1,1,1,2,0,0.0
"general.options.SummaryOption",8,1,1,1,1,1,1,2,0,0.0
"general.options.ThresholdsOption",8,1,1,1,1,1,1,2,0,0.0
"structures.MetricResultNotifier",7,3,3,3,1,0,3,0,0,0.0
"general.options.OptionDefinition",5,1,1,1,1,1,13,1,0,0.0
"structures.MetricActivator",5,1,1,1,0,0,3,0,0,0.0
"parser.TypeParser",4,1,1,1,0,0,2,0,0,0.0
