"from","to","number"
"edu.umd.cs.findbugs.AbstractBugReporter","edu.umd.cs.findbugs.ba.AnalysisContext",1
"edu.umd.cs.findbugs.BugCollection","edu.umd.cs.findbugs.cloud.Cloud",1
"edu.umd.cs.findbugs.BugInstance","edu.umd.cs.findbugs.cloud.Cloud",1
"edu.umd.cs.findbugs.DetectorFactoryCollection","edu.umd.cs.findbugs.updates.UpdateChecker",1
"edu.umd.cs.findbugs.FieldAnnotation","edu.umd.cs.findbugs.ba.XFactory",1
"edu.umd.cs.findbugs.FieldAnnotation","edu.umd.cs.findbugs.classfile.DescriptorFactory",1
"edu.umd.cs.findbugs.FindBugs","edu.umd.cs.findbugs.updates.UpdateChecker",1
"edu.umd.cs.findbugs.FindBugs2","edu.umd.cs.findbugs.log.Profiler",1
"edu.umd.cs.findbugs.FindBugs2","edu.umd.cs.findbugs.plan.ExecutionPlan",1
"edu.umd.cs.findbugs.IFindBugsEngine","edu.umd.cs.findbugs.config.UserPreferences",1
"edu.umd.cs.findbugs.IGuiCallback","edu.umd.cs.findbugs.cloud.Cloud",1
"edu.umd.cs.findbugs.MethodAnnotation","edu.umd.cs.findbugs.ba.XFactory",1
"edu.umd.cs.findbugs.MethodAnnotation","edu.umd.cs.findbugs.classfile.DescriptorFactory",1
"edu.umd.cs.findbugs.OpcodeStack","edu.umd.cs.findbugs.ba.FieldSummary",1
"edu.umd.cs.findbugs.OpcodeStack","edu.umd.cs.findbugs.bcel.OpcodeStackDetector",1
"edu.umd.cs.findbugs.Project","edu.umd.cs.findbugs.ba.SourceFinder",1
"edu.umd.cs.findbugs.Project","edu.umd.cs.findbugs.cloud.CloudFactory",1
"edu.umd.cs.findbugs.SAXBugCollectionHandler","edu.umd.cs.findbugs.filter.Filter",1
"edu.umd.cs.findbugs.SourceLineAnnotation","edu.umd.cs.findbugs.ba.AnalysisContext",1
"edu.umd.cs.findbugs.SourceLineAnnotation","edu.umd.cs.findbugs.ba.SourceFinder",1
"edu.umd.cs.findbugs.SystemProperties","edu.umd.cs.findbugs.ba.AnalysisContext",1
"edu.umd.cs.findbugs.Version","edu.umd.cs.findbugs.updates.UpdateChecker",1
"edu.umd.cs.findbugs.ba.AnalysisContext","edu.umd.cs.findbugs.ba.ch.Subtypes2",1
"edu.umd.cs.findbugs.ba.AnalysisContext","edu.umd.cs.findbugs.ba.interproc.PropertyDatabase",1
"edu.umd.cs.findbugs.ba.AnalysisContext","edu.umd.cs.findbugs.ba.npe.TypeQualifierNullnessAnnotationDatabase",1
"edu.umd.cs.findbugs.ba.AnalysisContext","edu.umd.cs.findbugs.classfile.analysis.ClassInfo",1
"edu.umd.cs.findbugs.ba.AnalysisContext","edu.umd.cs.findbugs.classfile.analysis.MethodInfo",1
"edu.umd.cs.findbugs.ba.AnalysisContext","edu.umd.cs.findbugs.detect.UnreadFields",1
"edu.umd.cs.findbugs.ba.XFactory","edu.umd.cs.findbugs.classfile.analysis.FieldInfo",1
"edu.umd.cs.findbugs.ba.XFactory","edu.umd.cs.findbugs.classfile.analysis.MethodInfo",1
"edu.umd.cs.findbugs.classfile.ClassDescriptor","edu.umd.cs.findbugs.ba.XClass",1
"edu.umd.cs.findbugs.classfile.DescriptorFactory","edu.umd.cs.findbugs.classfile.analysis.MethodInfo",1
"edu.umd.cs.findbugs.classfile.DescriptorFactory","edu.umd.cs.findbugs.util.ClassName",1
"edu.umd.cs.findbugs.cloud.CloudPlugin","edu.umd.cs.findbugs.cloud.username.NameLookup",1
"edu.umd.cs.findbugs.gui2.MainFrame","edu.umd.cs.findbugs.sourceViewer.NavigableTextPane",1
