"namespace","ca","ce","instability","abstractness","distance"
"edu.umd.cs.findbugs.detect",3,13,0.8125,0.030612244897959183,0.15688775510204078
"edu.umd.cs.findbugs",152,15,0.08982035928143713,0.2727272727272727,0.6374523679912902
"edu.umd.cs.findbugs.ba",186,25,0.11848341232227488,0.2867647058823529,0.5947518817953722
"edu.umd.cs.findbugs.gui2",3,14,0.8235294117647058,0.0945945945945946,0.08187599364069953
"edu.umd.cs.findbugs.classfile.engine.bcel",1,15,0.9375,0.021739130434782608,0.040760869565217406
"edu.umd.cs.findbugs.classfile",172,5,0.02824858757062147,0.6285714285714286,0.34317998385795
"edu.umd.cs.findbugs.util",73,0,0.0,0.14705882352941177,0.8529411764705882
"edu.umd.cs.findbugs.ba.jsr305",9,8,0.47058823529411764,0.21875,0.31066176470588236
"edu.umd.cs.findbugs.ba.npe",13,11,0.4583333333333333,0.10714285714285714,0.43452380952380953
"edu.umd.cs.findbugs.filter",15,0,0.0,0.10714285714285714,0.8928571428571429
"edu.umd.cs.findbugs.workflow",2,0,0.0,0.037037037037037035,0.962962962962963
"edu.umd.cs.findbugs.annotations",0,0,0.0,0.0,1.0
"edu.umd.cs.findbugs.ba.bcp",2,3,0.6,0.24,0.16000000000000003
"edu.umd.cs.findbugs.classfile.impl",1,9,0.9,0.09523809523809523,0.004761904761904745
"edu.umd.cs.findbugs.ba.type",24,8,0.25,0.1,0.65
"edu.umd.cs.findbugs.graph",12,0,0.0,0.5,0.5
"edu.umd.cs.findbugs.ba.obl",3,7,0.7,0.058823529411764705,0.24117647058823533
"edu.umd.cs.findbugs.cloud",17,5,0.22727272727272727,0.35714285714285715,0.4155844155844156
"edu.umd.cs.findbugs.ba.vna",49,4,0.07547169811320754,0.15384615384615385,0.7706821480406386
"edu.umd.cs.findbugs.ba.ch",17,5,0.22727272727272727,0.25,0.5227272727272727
"edu.umd.cs.findbugs.classfile.engine",3,9,0.75,0.3333333333333333,0.08333333333333326
"edu.umd.cs.findbugs.anttask",0,2,1.0,0.09090909090909091,0.09090909090909083
"edu.umd.cs.findbugs.plan",0,0,0.0,0.09090909090909091,0.9090909090909091
"edu.umd.cs.findbugs.visitclass",10,0,0.0,0.2727272727272727,0.7272727272727273
"edu.umd.cs.findbugs.xml",12,0,0.0,0.5,0.5
"edu.umd.cs.findbugs.sourceViewer",2,2,0.5,0.0,0.5
"edu.umd.cs.findbugs.classfile.analysis",25,7,0.21875,0.1111111111111111,0.6701388888888888
"edu.umd.cs.findbugs.ba.generic",5,4,0.4444444444444444,0.0,0.5555555555555556
"edu.umd.cs.findbugs.jaif",0,0,0.0,0.125,0.875
"edu.umd.cs.findbugs.model",1,0,0.0,0.25,0.75
"edu.umd.cs.findbugs.ba.heap",3,1,0.25,0.14285714285714285,0.6071428571428572
"edu.umd.cs.findbugs.config",3,4,0.5714285714285714,0.14285714285714285,0.2857142857142858
"edu.umd.cs.findbugs.ba.constant",2,1,0.3333333333333333,0.0,0.6666666666666667
"edu.umd.cs.findbugs.ba.interproc",10,4,0.2857142857142857,0.5,0.2142857142857143
"edu.umd.cs.findbugs.bcel",11,5,0.3125,0.8333333333333334,0.14583333333333348
"edu.umd.cs.findbugs.cloud.username",4,4,0.5,0.16666666666666666,0.33333333333333337
"edu.umd.cs.findbugs.props",0,0,0.0,0.5,0.5
"edu.umd.cs.findbugs.tools",0,0,0.0,0.0,1.0
"edu.umd.cs.findbugs.ba.ca",2,1,0.3333333333333333,0.0,0.6666666666666667
"edu.umd.cs.findbugs.classfile.engine.asm",9,3,0.25,0.0,0.75
"edu.umd.cs.findbugs.internalAnnotations",0,0,0.0,0.0,1.0
"edu.umd.cs.findbugs.log",10,0,0.0,0.6,0.4
"edu.umd.cs.findbugs.asm",4,3,0.42857142857142855,0.75,0.1785714285714286
"edu.umd.cs.findbugs.ba.deref",8,8,0.5,0.0,0.5
"edu.umd.cs.findbugs.bcel.generic",2,0,0.0,0.25,0.75
"edu.umd.cs.findbugs.updates",2,0,0.0,0.5,0.5
"edu.umd.cs.findbugs.tools.html",0,0,0.0,0.25,0.75
"edu.umd.cs.findbugs.bugReporter",0,2,1.0,0.3333333333333333,0.33333333333333326
"edu.umd.cs.findbugs.charsets",10,0,0.0,0.0,1.0
"edu.umd.cs.findbugs.io",6,0,0.0,0.0,1.0
"edu.umd.cs.findbugs.plugins",0,0,0.0,0.0,1.0
"edu.umd.cs.findbugs.gui",2,1,0.3333333333333333,0.0,0.6666666666666667
"edu.umd.cs.findbugs.launchGUI",0,0,0.0,0.0,1.0
"edu.umd.cs.findbugs.architecture",0,0,0.0,0.0,1.0
"edu.umd.cs.findbugs.ml",0,0,0.0,0.0,1.0
"edu.umd.cs.findbugs.tools.junit",0,0,0.0,0.0,1.0
"edu.umd.cs.findbugs.tools.xml",0,0,0.0,0.0,1.0
