"namespace","noc","nac"
"edu.umd.cs.findbugs.detect",196,6
"edu.umd.cs.findbugs",154,42
"edu.umd.cs.findbugs.ba",136,39
"edu.umd.cs.findbugs.gui2",74,7
"edu.umd.cs.findbugs.classfile.engine.bcel",46,1
"edu.umd.cs.findbugs.classfile",35,22
"edu.umd.cs.findbugs.util",34,5
"edu.umd.cs.findbugs.ba.jsr305",32,7
"edu.umd.cs.findbugs.ba.npe",28,3
"edu.umd.cs.findbugs.filter",28,3
"edu.umd.cs.findbugs.workflow",27,1
"edu.umd.cs.findbugs.annotations",25,0
"edu.umd.cs.findbugs.ba.bcp",25,6
"edu.umd.cs.findbugs.classfile.impl",21,2
"edu.umd.cs.findbugs.ba.type",20,2
"edu.umd.cs.findbugs.graph",20,10
"edu.umd.cs.findbugs.ba.obl",17,1
"edu.umd.cs.findbugs.cloud",14,5
"edu.umd.cs.findbugs.ba.vna",13,2
"edu.umd.cs.findbugs.ba.ch",12,3
"edu.umd.cs.findbugs.classfile.engine",12,4
"edu.umd.cs.findbugs.anttask",11,1
"edu.umd.cs.findbugs.plan",11,1
"edu.umd.cs.findbugs.visitclass",11,3
"edu.umd.cs.findbugs.xml",10,5
"edu.umd.cs.findbugs.sourceViewer",9,0
"edu.umd.cs.findbugs.classfile.analysis",9,1
"edu.umd.cs.findbugs.ba.generic",8,0
"edu.umd.cs.findbugs.jaif",8,1
"edu.umd.cs.findbugs.model",8,2
"edu.umd.cs.findbugs.ba.heap",7,1
"edu.umd.cs.findbugs.config",7,1
"edu.umd.cs.findbugs.ba.constant",6,0
"edu.umd.cs.findbugs.ba.interproc",6,3
"edu.umd.cs.findbugs.bcel",6,5
"edu.umd.cs.findbugs.cloud.username",6,1
"edu.umd.cs.findbugs.props",6,3
"edu.umd.cs.findbugs.tools",6,0
"edu.umd.cs.findbugs.ba.ca",5,0
"edu.umd.cs.findbugs.classfile.engine.asm",5,0
"edu.umd.cs.findbugs.internalAnnotations",5,0
"edu.umd.cs.findbugs.log",5,3
"edu.umd.cs.findbugs.asm",4,3
"edu.umd.cs.findbugs.ba.deref",4,0
"edu.umd.cs.findbugs.bcel.generic",4,1
"edu.umd.cs.findbugs.updates",4,2
"edu.umd.cs.findbugs.tools.html",4,1
"edu.umd.cs.findbugs.bugReporter",3,1
"edu.umd.cs.findbugs.charsets",3,0
"edu.umd.cs.findbugs.io",3,0
"edu.umd.cs.findbugs.plugins",2,0
"edu.umd.cs.findbugs.gui",1,0
"edu.umd.cs.findbugs.launchGUI",1,0
"edu.umd.cs.findbugs.architecture",1,0
"edu.umd.cs.findbugs.ml",1,0
"edu.umd.cs.findbugs.tools.junit",1,0
"edu.umd.cs.findbugs.tools.xml",1,0
