"metric","1stQ","3rdQ","avg","median","min","max","max-min","stddev","u-fence","threshold"
"SLOC",21.0,129.0,118.29764065335753,56.0,3.0,3001.0,2998.0,194.99830697265344,291.0,500.0
"NOM",3.0,11.0,10.127949183303086,5.0,0.0,202.0,202.0,16.384805474039066,23.0,14.0
"NPM",2.0,9.0,8.642468239564428,4.0,0.0,198.0,198.0,14.713017943069758,19.5,40.0
"WMC",4.0,27.0,25.754990925589837,11.0,1.0,629.0,628.0,46.229403591192685,61.5,100.0
"DEP",2.0,13.0,9.748638838475499,5.0,0.0,103.0,103.0,12.38058653011379,29.5,20.0
"I-DEP",0.0,6.0,4.479128856624319,2.0,0.0,69.0,69.0,6.781996823266772,15.0,15.0
"FAN-IN",0.0,4.0,5.6225045372050815,1.0,0.0,218.0,218.0,16.510046490140596,10.0,10.0
"FAN-OUT",2.0,10.0,7.847549909255898,5.0,0.0,75.0,75.0,8.850563589299544,22.0,15.0
"NOA",0.0,6.0,4.676950998185118,2.0,0.0,76.0,76.0,7.409649038284947,15.0,8.0
"LCOM3",0.0,0.9210526315789473,0.560552152379605,0.7486842105263158,0.0,2.0,2.0,0.43752778128106223,2.302631578947368,1.0
