"type","dep","i-dep","fan-in","fan-out"
"edu.umd.cs.findbugs.OpcodeStack",58,22,45,46
"edu.umd.cs.findbugs.BugInstance",67,28,218,48
"edu.umd.cs.findbugs.detect.FindNullDeref",103,69,0,75
"edu.umd.cs.findbugs.detect.DumbMethods",49,29,0,42
"edu.umd.cs.findbugs.PluginLoader",62,21,3,36
"edu.umd.cs.findbugs.ba.type.TypeFrameModelingVisitor",38,24,4,31
"edu.umd.cs.findbugs.SortedBugCollection",58,13,49,27
"edu.umd.cs.findbugs.detect.UnreadFields",57,34,1,43
"edu.umd.cs.findbugs.detect.FindRefComparison",86,50,1,71
"edu.umd.cs.findbugs.gui2.CloudCommentsPane",59,8,1,23
"edu.umd.cs.findbugs.visitclass.DismantleBytecode",35,12,11,19
"edu.umd.cs.findbugs.gui2.MainFrame",53,21,3,42
"edu.umd.cs.findbugs.detect.FindNoSideEffectMethods",34,17,0,27
"edu.umd.cs.findbugs.ba.AbstractFrameModelingVisitor",4,2,5,4
"edu.umd.cs.findbugs.classfile.engine.bcel.ValueRangeAnalysisFactory",58,16,1,39
"edu.umd.cs.findbugs.FindBugs2",53,35,6,50
"edu.umd.cs.findbugs.ba.ch.Subtypes2",28,9,46,15
"edu.umd.cs.findbugs.cloud.AbstractCloud",34,15,2,27
"edu.umd.cs.findbugs.ba.BetterCFGBuilder2",59,11,2,28
"edu.umd.cs.findbugs.detect.FindInconsistentSync2",66,39,0,48
"edu.umd.cs.findbugs.workflow.Filter",44,24,0,37
"edu.umd.cs.findbugs.gui2.PreferencesFrame",64,8,1,25
"edu.umd.cs.findbugs.ba.deref.UnconditionalValueDerefAnalysis",53,33,5,41
"edu.umd.cs.findbugs.SAXBugCollectionHandler",39,22,4,32
"edu.umd.cs.findbugs.detect.FindUnrelatedTypesInGenericContainer",77,44,0,50
"edu.umd.cs.findbugs.Project",44,13,31,33
"edu.umd.cs.findbugs.ba.npe.IsNullValueAnalysis",38,25,1,30
"edu.umd.cs.findbugs.detect.FindUselessObjects",48,21,0,31
"edu.umd.cs.findbugs.ba.npe.NullDerefAndRedundantComparisonFinder",45,28,2,31
"edu.umd.cs.findbugs.ba.jsr305.TypeQualifierApplications",25,14,9,18
"edu.umd.cs.findbugs.detect.SerializableIdiom",36,19,0,26
"edu.umd.cs.findbugs.ba.AnalysisContext",47,28,137,36
"edu.umd.cs.findbugs.gui2.MainFrameMenu",36,12,1,22
"edu.umd.cs.findbugs.detect.FindPuzzlers",33,22,0,29
"edu.umd.cs.findbugs.TextUICommandLine",23,4,2,14
"edu.umd.cs.findbugs.SourceLineAnnotation",29,16,76,24
"edu.umd.cs.findbugs.gui2.MainFrameTree",51,4,1,17
"edu.umd.cs.findbugs.ba.ClassContext",50,27,114,34
"edu.umd.cs.findbugs.visitclass.PreorderVisitor",51,17,32,26
"edu.umd.cs.findbugs.workflow.RejarClassesForAnalysis",34,5,1,28
"edu.umd.cs.findbugs.ba.vna.ValueNumberFrameModelingVisitor",39,12,1,20
"edu.umd.cs.findbugs.gui2.BugTreeModel",19,2,2,10
"edu.umd.cs.findbugs.detect.FindHEmismatch",34,21,0,26
"edu.umd.cs.findbugs.detect.FindBadCast2",57,33,0,35
"edu.umd.cs.findbugs.ba.vna.ValueNumberFrame",18,5,43,14
"edu.umd.cs.findbugs.ba.type.TypeAnalysis",44,23,3,34
"edu.umd.cs.findbugs.classfile.engine.ClassParserUsingASM",27,12,2,18
"edu.umd.cs.findbugs.detect.Naming",37,21,0,29
"edu.umd.cs.findbugs.gui2.NewProjectWizard",42,7,2,21
"edu.umd.cs.findbugs.detect.FindDeadLocalStores",65,27,0,33
"edu.umd.cs.findbugs.gui2.MainFrameLoadSaveHelper",21,9,1,15
"edu.umd.cs.findbugs.util.Util",41,2,50,26
"edu.umd.cs.findbugs.classfile.impl.ClassPathBuilder",40,23,1,38
"edu.umd.cs.findbugs.classfile.analysis.MethodInfo",27,15,7,22
"edu.umd.cs.findbugs.detect.CheckTypeQualifiers",59,45,0,51
"edu.umd.cs.findbugs.workflow.Update",28,15,2,26
"edu.umd.cs.findbugs.detect.FindUnsatisfiedObligation",50,33,0,41
"edu.umd.cs.findbugs.updates.UpdateChecker",41,9,6,28
"edu.umd.cs.findbugs.ba.XFactory",40,20,59,26
"edu.umd.cs.findbugs.gui2.MainFrameComponentFactory",57,9,1,20
"edu.umd.cs.findbugs.ba.Hierarchy",28,8,35,12
"edu.umd.cs.findbugs.detect.FindSqlInjection",45,23,0,29
"edu.umd.cs.findbugs.anttask.FindBugsTask",11,2,0,9
"edu.umd.cs.findbugs.ba.DefaultNullnessAnnotations",1,1,1,2
"edu.umd.cs.findbugs.Plugin",24,5,17,16
"edu.umd.cs.findbugs.ProjectStats",35,5,13,18
"edu.umd.cs.findbugs.detect.DroppedException",27,16,0,22
"edu.umd.cs.findbugs.DetectorFactoryCollection",27,6,37,15
"edu.umd.cs.findbugs.detect.InfiniteLoop",16,7,0,20
"edu.umd.cs.findbugs.detect.OverridingEqualsNotSymmetrical",26,19,0,23
"edu.umd.cs.findbugs.config.UserPreferences",26,6,9,22
"edu.umd.cs.findbugs.cloud.AbstractCloudTest",26,9,0,16
"edu.umd.cs.findbugs.ba.SourceFinder",28,5,8,18
"edu.umd.cs.findbugs.gui2.GUISaveState",21,3,4,9
