"from","to","number"
"org.hibernate.Criteria","org.hibernate.criterion.Criterion",1
"org.hibernate.Criteria","org.hibernate.criterion.Order",1
"org.hibernate.Criteria","org.hibernate.criterion.Projection",1
"org.hibernate.SQLQuery","org.hibernate.query.NativeQuery",1
"org.hibernate.Session","org.hibernate.jpa.HibernateEntityManager",1
"org.hibernate.boot.Metadata","org.hibernate.mapping.Table",1
"org.hibernate.boot.MetadataSources","org.hibernate.boot.internal.MetadataBuilderImpl",1
"org.hibernate.boot.MetadataSources","org.hibernate.boot.spi.MetadataBuilderFactory",1
"org.hibernate.boot.model.naming.ObjectNameNormalizer","org.hibernate.boot.spi.MetadataBuildingContext",1
"org.hibernate.boot.model.relational.AuxiliaryDatabaseObject","org.hibernate.dialect.Dialect",1
"org.hibernate.boot.model.relational.Namespace","org.hibernate.mapping.DenormalizedTable",1
"org.hibernate.boot.model.relational.Namespace","org.hibernate.mapping.Table",1
"org.hibernate.boot.model.source.internal.hbm.CommaSeparatedStringHelper","org.hibernate.internal.util.StringHelper",1
"org.hibernate.boot.registry.StandardServiceRegistryBuilder","org.hibernate.service.spi.ServiceContributor",1
"org.hibernate.boot.spi.MetadataImplementor","org.hibernate.internal.SessionFactoryImpl",1
"org.hibernate.boot.spi.SessionFactoryOptions","org.hibernate.engine.spi.SessionFactoryImplementor",1
"org.hibernate.boot.spi.SessionFactoryOptions","org.hibernate.hql.spi.id.MultiTableBulkIdStrategy",1
"org.hibernate.bytecode.enhance.spi.interceptor.EnhancementAsProxyLazinessInterceptor","org.hibernate.persister.entity.EntityPersister",1
"org.hibernate.bytecode.enhance.spi.interceptor.EnhancementHelper","org.hibernate.mapping.Property",1
"org.hibernate.cache.cfg.spi.DomainDataRegionBuildingContext","org.hibernate.cache.spi.RegionFactory",1
"org.hibernate.cache.spi.CacheImplementor","org.hibernate.engine.spi.SessionFactoryImplementor",1
"org.hibernate.cache.spi.access.CollectionDataAccess","org.hibernate.persister.collection.CollectionPersister",1
"org.hibernate.cache.spi.access.EntityDataAccess","org.hibernate.persister.entity.EntityPersister",1
"org.hibernate.cache.spi.access.NaturalIdDataAccess","org.hibernate.persister.entity.EntityPersister",1
"org.hibernate.cfg.AnnotationBinder","org.hibernate.cfg.annotations.CollectionBinder",1
"org.hibernate.cfg.AnnotationBinder","org.hibernate.cfg.annotations.EntityBinder",1
"org.hibernate.cfg.AnnotationBinder","org.hibernate.cfg.annotations.PropertyBinder",1
"org.hibernate.cfg.BinderHelper","org.hibernate.cfg.annotations.EntityBinder",1
"org.hibernate.cfg.BinderHelper","org.hibernate.cfg.annotations.TableBinder",1
"org.hibernate.cfg.Environment","org.hibernate.internal.util.ConfigHelper",1
"org.hibernate.cfg.InheritanceState","org.hibernate.cfg.annotations.EntityBinder",1
"org.hibernate.cfg.SetSimpleValueTypeSecondPass","org.hibernate.cfg.annotations.SimpleValueBinder",1
"org.hibernate.collection.internal.AbstractPersistentCollection","org.hibernate.engine.spi.CollectionEntry",1
"org.hibernate.collection.spi.PersistentCollection","org.hibernate.engine.spi.SharedSessionContractImplementor",1
"org.hibernate.collection.spi.PersistentCollection","org.hibernate.persister.collection.CollectionPersister",1
"org.hibernate.dialect.Dialect","org.hibernate.dialect.function.StandardAnsiSqlAggregationFunctions",1
"org.hibernate.dialect.Dialect","org.hibernate.dialect.identity.IdentityColumnSupport",1
"org.hibernate.dialect.Dialect","org.hibernate.dialect.identity.IdentityColumnSupportImpl",1
"org.hibernate.dialect.Dialect","org.hibernate.dialect.pagination.LegacyLimitHandler",1
"org.hibernate.dialect.Dialect","org.hibernate.dialect.unique.DefaultUniqueDelegate",1
"org.hibernate.dialect.Dialect","org.hibernate.engine.jdbc.env.internal.DefaultSchemaNameResolver",1
"org.hibernate.dialect.Dialect","org.hibernate.engine.jdbc.env.spi.SchemaNameResolver",1
"org.hibernate.dialect.Dialect","org.hibernate.engine.jdbc.spi.JdbcServices",1
"org.hibernate.dialect.Dialect","org.hibernate.id.IdentityGenerator",1
"org.hibernate.dialect.Dialect","org.hibernate.id.enhanced.SequenceStyleGenerator",1
"org.hibernate.dialect.Dialect","org.hibernate.internal.CoreMessageLogger",1
"org.hibernate.dialect.Dialect","org.hibernate.internal.util.StringHelper",1
"org.hibernate.dialect.Dialect","org.hibernate.mapping.Column",1
"org.hibernate.dialect.Dialect","org.hibernate.mapping.Constraint",1
"org.hibernate.dialect.Dialect","org.hibernate.mapping.ForeignKey",1
"org.hibernate.dialect.Dialect","org.hibernate.mapping.Index",1
"org.hibernate.dialect.Dialect","org.hibernate.mapping.Table",1
"org.hibernate.dialect.Dialect","org.hibernate.procedure.internal.StandardCallableStatementSupport",1
"org.hibernate.dialect.Dialect","org.hibernate.sql.ForUpdateFragment",1
"org.hibernate.dialect.Dialect","org.hibernate.tool.schema.internal.StandardAuxiliaryDatabaseObjectExporter",1
"org.hibernate.dialect.Dialect","org.hibernate.tool.schema.internal.StandardForeignKeyExporter",1
"org.hibernate.dialect.Dialect","org.hibernate.tool.schema.internal.StandardIndexExporter",1
"org.hibernate.dialect.Dialect","org.hibernate.tool.schema.internal.StandardSequenceExporter",1
"org.hibernate.dialect.Dialect","org.hibernate.tool.schema.internal.StandardTableExporter",1
"org.hibernate.dialect.Dialect","org.hibernate.tool.schema.internal.StandardUniqueKeyExporter",1
"org.hibernate.engine.internal.ForeignKeys","org.hibernate.type.EntityType",1
"org.hibernate.engine.loading.internal.CollectionLoadContext","org.hibernate.internal.CoreMessageLogger",1
"org.hibernate.engine.loading.internal.EntityLoadContext","org.hibernate.internal.CoreMessageLogger",1
"org.hibernate.engine.loading.internal.LoadContexts","org.hibernate.engine.spi.PersistenceContext",1
"org.hibernate.engine.query.ParameterRecognitionException","org.hibernate.engine.query.spi.ParamLocationRecognizer",1
"org.hibernate.engine.query.spi.HQLQueryPlan","org.hibernate.engine.spi.QueryParameters",1
"org.hibernate.engine.query.spi.QueryPlanCache","org.hibernate.engine.spi.SessionFactoryImplementor",1
"org.hibernate.engine.spi.EntityEntryFactory","org.hibernate.persister.entity.EntityPersister",1
"org.hibernate.engine.spi.Mapping","org.hibernate.type.Type",1
"org.hibernate.engine.spi.SessionFactoryImplementor","org.hibernate.metamodel.spi.MetamodelImplementor",1
"org.hibernate.engine.spi.SessionFactoryImplementor","org.hibernate.persister.collection.CollectionPersister",1
"org.hibernate.engine.spi.SessionFactoryImplementor","org.hibernate.persister.entity.EntityPersister",1
"org.hibernate.engine.spi.SessionFactoryImplementor","org.hibernate.type.Type",1
"org.hibernate.engine.spi.SessionImplementor","org.hibernate.jpa.spi.HibernateEntityManagerImplementor",1
"org.hibernate.engine.spi.SharedSessionContractImplementor","org.hibernate.persister.entity.EntityPersister",1
