"method","loc","cyclo","calls","nbd","param"
"org.hibernate.cfg.AnnotationBinder.processElementAnnotations(PropertyHolder propertyHolder, Nullability nullability, PropertyData inferredData, HashMap<String,IdentifierGeneratorDefinition> classGenerators, EntityBinder entityBinder, boolean isIdentifierMapper, boolean isComponentEmbedded, boolean inSecondPass, MetadataBuildingContext context, Map<XClass,InheritanceState> inheritanceStatePerClass)",762,99,362,8,10
"org.hibernate.hql.internal.ast.SqlASTFactory.getASTNodeType(int tokenType)",122,66,0,2,1
"org.hibernate.cfg.annotations.SimpleValueBinder.setType(XProperty property, XClass returnedClass, String declaringClassName, ConverterDescriptor attributeConverterDescriptor)",175,55,95,4,4
"org.hibernate.cfg.annotations.CollectionBinder.bindManyToManySecondPass(Collection collValue, Map persistentClasses, Ejb3JoinColumn[] joinColumns, Ejb3JoinColumn[] inverseJoinColumns, Ejb3Column[] elementColumns, boolean isEmbedded, XClass collType, boolean ignoreNotFound, boolean unique, boolean cascadeDeleteEnabled, TableBinder associationTableBinder, XProperty property, PropertyHolder parentPropertyHolder, MetadataBuildingContext buildingContext)",372,53,185,7,14
"org.hibernate.hql.internal.classic.FromParser.token(String token, QueryTranslatorImpl q)",244,52,44,4,2
"org.hibernate.sql.Template.renderWhereStringTemplate(String sqlWhereString, String placeholder, Dialect dialect, SQLFunctionRegistry functionRegistry)",209,47,93,5,4
"org.hibernate.cfg.AnnotationBinder.bindClass(XClass clazzToProcess, Map<XClass,InheritanceState> inheritanceStatePerClass, MetadataBuildingContext context)",320,44,151,8,3
"org.hibernate.tuple.entity.EntityMetamodel.EntityMetamodel(PersistentClass persistentClass, EntityPersister persister, final PersisterCreationContext creationContext)",312,42,132,5,3
"org.hibernate.hql.internal.classic.SelectParser.token(String token, QueryTranslatorImpl q)",152,40,67,4,2
"org.hibernate.tool.schema.internal.SchemaCreatorImpl.createFromMetadata(Metadata metadata, ExecutionOptions options, Dialect dialect, Formatter formatter, GenerationTarget... targets)",203,37,81,4,5
"org.hibernate.persister.entity.JoinedSubclassEntityPersister.JoinedSubclassEntityPersister(final PersistentClass persistentClass, final EntityDataAccess cacheAccessStrategy, final NaturalIdDataAccess naturalIdRegionAccessStrategy, final PersisterCreationContext creationContext)",450,36,253,6,4
"org.hibernate.engine.query.spi.ParameterParser.parse(String sqlString, Recognizer recognizer)",143,36,43,5,2
"org.hibernate.persister.collection.AbstractCollectionPersister.AbstractCollectionPersister(Collection collectionBinding, CollectionDataAccess cacheAccessStrategy, PersisterCreationContext creationContext)",378,35,176,6,3
"org.hibernate.cfg.annotations.EntityBinder.bindEntity()",186,31,140,4,0
"org.hibernate.dialect.TeradataDialect.getSelectClauseNullString(int sqlType)",44,31,0,0,1
"org.hibernate.cfg.annotations.CollectionBinder.bind()",167,30,106,7,0
"org.hibernate.test.legacy.FooBarTest.testQuery()",441,30,522,2,0
"org.hibernate.spatial.dialect.hana.HANASpatialDialect.supports(SpatialFunction function)",61,29,0,1,1
"org.hibernate.query.procedure.internal.ProcedureParameterImpl.prepare(CallableStatement statement, int startIndex)",130,28,56,5,2
"org.hibernate.persister.entity.SingleTableEntityPersister.SingleTableEntityPersister(final PersistentClass persistentClass, final EntityDataAccess cacheAccessStrategy, final NaturalIdDataAccess naturalIdRegionAccessStrategy, final PersisterCreationContext creationContext)",318,28,182,4,4
"org.hibernate.persister.entity.AbstractEntityPersister.AbstractEntityPersister(final PersistentClass persistentClass, final EntityDataAccess cacheAccessStrategy, final NaturalIdDataAccess naturalIdRegionAccessStrategy, final PersisterCreationContext creationContext)",371,27,209,8,4
"org.hibernate.cfg.annotations.MapBinder.bindKeyFromAssociationTable(XClass collType, Map persistentClasses, String mapKeyPropertyName, XProperty property, boolean isEmbedded, MetadataBuildingContext buildingContext, Ejb3Column[] mapKeyColumns, Ejb3JoinColumn[] mapKeyManyToManyColumns, String targetPropertyName)",215,27,85,4,9
"org.hibernate.cfg.annotations.EntityBinder.applyCaching(XClass clazzToProcess, SharedCacheMode sharedCacheMode, MetadataBuildingContext context)",124,27,30,4,3
"org.hibernate.tool.hbm2ddl.SchemaExport$CommandLineArgs.parseCommandLineArgs(String[] args)",96,27,37,3,1
"org.hibernate.engine.internal.StatefulPersistenceContext.deserialize(ObjectInputStream ois, SessionImplementor session)",124,26,60,5,2
"org.hibernate.engine.internal.TwoPhaseLoad.doInitializeEntity(final Object entity, final EntityEntry entityEntry, final boolean readOnly, final SharedSessionContractImplementor session, final PreLoadEvent preLoadEvent, final Iterable<PreLoadEventListener> preLoadEventListeners)",188,26,82,4,6
"org.hibernate.engine.internal.JoinSequence.toJoinFragment(Map enabledFilters, boolean includeAllSubclassJoins, boolean renderSubclassJoins, String withClauseFragment)",173,26,71,4,4
"org.hibernate.boot.model.source.internal.hbm.ModelBinder.bindCollectionMetadata(MappingDocument mappingDocument, PluralAttributeSource source, Collection binding)",150,26,118,4,3
"org.hibernate.tool.schema.internal.SchemaDropperImpl.dropFromMetadata(Metadata metadata, ExecutionOptions options, Dialect dialect, Formatter formatter, GenerationTarget... targets)",123,26,51,4,5
"org.hibernate.cfg.annotations.TableBinder.bindFk(PersistentClass referencedEntity, PersistentClass destinationEntity, Ejb3JoinColumn[] columns, SimpleValue value, boolean unique, MetadataBuildingContext buildingContext)",174,25,74,7,6
"org.hibernate.hql.internal.ast.tree.SelectClause.initializeExplicitSelectClause(FromClause fromClause)",148,25,59,6,1
"org.hibernate.engine.jdbc.connections.internal.ConnectionProviderInitiator.initiateService(Map configurationValues, ServiceRegistryImplementor registry)",132,25,33,4,2
"org.hibernate.context.internal.ThreadLocalSessionContext$TransactionProtectionWrapper.invoke(Object proxy, Method method, Object[] args)",70,25,41,4,3
"org.hibernate.engine.jdbc.internal.BasicFormatterImpl$FormatProcess.perform()",97,25,45,3,0
"org.hibernate.engine.jdbc.ClobProxy.invoke(Object proxy, Method method, Object[] args)",72,25,25,3,3
"org.hibernate.cfg.annotations.CollectionBinder.buildCollectionKey(Collection collValue, Ejb3JoinColumn[] joinColumns, boolean cascadeDeleteEnabled, XProperty property, PropertyHolder propertyHolder, MetadataBuildingContext buildingContext)",116,24,103,7,6
"org.hibernate.query.internal.AbstractProducedQuery.setHint(String hintName, Object value)",96,24,63,4,2
"org.hibernate.cfg.AnnotationBinder.bindDefaults(MetadataBuildingContext context)",106,23,33,8,1
"org.hibernate.jpa.event.internal.CallbackBuilderLegacyImpl.resolveEntityCallbacks(XClass beanClass, CallbackType callbackType, ReflectionManager reflectionManager)",128,23,57,7,3
"org.hibernate.tool.schema.internal.AbstractSchemaMigrator.performMigration(Metadata metadata, DatabaseInformation existingDatabase, ExecutionOptions options, Dialect dialect, GenerationTarget... targets)",114,23,42,6,5
"org.hibernate.event.internal.DefaultRefreshEventListener.onRefresh(RefreshEvent event, Map refreshedAlready)",182,23,83,3,2
"org.hibernate.persister.entity.AbstractEntityPersister.generateUpdateString(final boolean[] includeProperty, final int j, final Object[] oldFields, final boolean useRowId)",95,22,40,8,4
"org.hibernate.boot.model.source.internal.hbm.ResultSetMappingBinder.extractPropertyResults(String alias, NativeQueryNonScalarRootReturn rtnSource, PersistentClass pc, HbmLocalMetadataBuildingContext context)",172,22,64,6,4
"org.hibernate.hql.internal.classic.QueryTranslatorImpl.renderSQL()",115,22,63,6,0
