"namespace","ca","ce","instability","abstractness","distance"
"org.hibernate.test.legacy",2,41,0.9534883720930233,0.07142857142857142,0.024916943521594792
"org.hibernate.annotations",7,1,0.125,0.0,0.875
"org.hibernate.type",681,29,0.04084507042253521,0.17272727272727273,0.786427656850192
"org.hibernate.dialect",731,51,0.06521739130434782,0.058823529411764705,0.8759590792838875
"org.hibernate.test.hql",3,38,0.926829268292683,0.054945054945054944,0.018225676762262055
"org.hibernate.boot.model.source.spi",87,8,0.08421052631578947,0.8764044943820225,0.039384979302187983
"org.hibernate.boot.model.source.internal.hbm",7,31,0.8157894736842105,0.18604651162790697,0.001835985312117483
"org.hibernate",2047,27,0.013018322082931534,0.32941176470588235,0.6575699132111861
"org.hibernate.hql.internal.ast.tree",29,26,0.4727272727272727,0.3333333333333333,0.19393939393939397
"org.hibernate.event.spi",139,7,0.04794520547945205,0.5633802816901409,0.3886745128304071
"org.hibernate.engine.spi",1099,64,0.055030094582975066,0.5238095238095238,0.42116038160750113
"org.hibernate.cfg",851,41,0.04596412556053812,0.1864406779661017,0.7675951964733602
"org.hibernate.mapping",294,40,0.11976047904191617,0.3157894736842105,0.5644500472738734
"org.hibernate.type.descriptor.java",165,13,0.07303370786516854,0.11320754716981132,0.8137587449650201
"org.hibernate.criterion",103,12,0.10434782608695652,0.19607843137254902,0.6995737425404944
"org.hibernate.test.annotations.entity",0,12,1.0,0.045454545454545456,0.045454545454545414
"org.hibernate.userguide.mapping.basic",1,12,0.9230769230769231,0.023255813953488372,0.05366726296958846
"org.hibernate.event.internal",11,35,0.7608695652173914,0.16279069767441862,0.07633973710818998
"org.hibernate.id",73,33,0.3113207547169811,0.32558139534883723,0.3630978499341817
"org.hibernate.test.schemaupdate",1,34,0.9714285714285714,0.046511627906976744,0.017940199335548135
"org.hibernate.test.annotations.onetomany",0,13,1.0,0.0,0.0
"org.hibernate.test.bytecode.enhancement.lazy.proxy",0,16,1.0,0.125,0.125
"org.hibernate.test.criteria",0,17,1.0,0.07692307692307693,0.07692307692307687
"org.hibernate.internal",374,97,0.2059447983014862,0.24324324324324326,0.5508119584552705
"org.hibernate.jpa.test.metamodel",18,4,0.18181818181818182,0.10810810810810811,0.71007371007371
"org.hibernate.type.descriptor.sql",128,6,0.04477611940298507,0.16666666666666666,0.7885572139303483
"org.hibernate.boot.model.naming",146,9,0.05806451612903226,0.6571428571428571,0.28479262672811057
"org.hibernate.test.ops",0,10,1.0,0.02857142857142857,0.02857142857142847
"org.hibernate.cache.spi.support",16,10,0.38461538461538464,0.34375,0.2716346153846154
"org.hibernate.sql",74,13,0.14942528735632185,0.12903225806451613,0.721542454579162
"org.hibernate.test.annotations",8,17,0.68,0.06451612903225806,0.25548387096774183
"org.hibernate.test.annotations.lob",0,10,1.0,0.06451612903225806,0.06451612903225801
"org.hibernate.test.annotations.embedded",0,7,1.0,0.0,0.0
"org.hibernate.envers.test.integration.modifiedflags",0,24,1.0,0.06666666666666667,0.06666666666666665
"org.hibernate.userguide.mapping.identifier",0,6,1.0,0.0,0.0
"org.hibernate.test.annotations.indexcoll",2,4,0.6666666666666666,0.0,0.33333333333333337
"org.hibernate.test.annotations.manytomany",0,4,1.0,0.0,0.0
"org.hibernate.test.annotations.onetoone",0,15,1.0,0.0,0.0
"org.hibernate.boot.spi",291,39,0.11818181818181818,0.8928571428571429,0.011038961038961181
"org.hibernate.engine.transaction.jta.platform.internal",10,13,0.5652173913043478,0.14285714285714285,0.2919254658385093
