"namespace","noc","nac"
"org.hibernate.test.legacy",126,9
"org.hibernate.annotations",110,0
"org.hibernate.type",110,19
"org.hibernate.dialect",102,6
"org.hibernate.test.hql",91,5
"org.hibernate.boot.model.source.spi",89,78
"org.hibernate.boot.model.source.internal.hbm",86,16
"org.hibernate",85,28
"org.hibernate.hql.internal.ast.tree",72,24
"org.hibernate.event.spi",71,40
"org.hibernate.engine.spi",63,33
"org.hibernate.cfg",59,11
"org.hibernate.mapping",57,18
"org.hibernate.type.descriptor.java",53,6
"org.hibernate.criterion",51,10
"org.hibernate.test.annotations.entity",44,2
"org.hibernate.userguide.mapping.basic",43,1
"org.hibernate.event.internal",43,7
"org.hibernate.id",43,14
"org.hibernate.test.schemaupdate",43,2
"org.hibernate.test.annotations.onetomany",40,0
"org.hibernate.test.bytecode.enhancement.lazy.proxy",40,5
"org.hibernate.test.criteria",39,3
"org.hibernate.internal",37,9
"org.hibernate.jpa.test.metamodel",37,4
"org.hibernate.type.descriptor.sql",36,6
"org.hibernate.boot.model.naming",35,23
"org.hibernate.test.ops",35,1
"org.hibernate.cache.spi.support",32,11
"org.hibernate.sql",31,4
"org.hibernate.test.annotations",31,2
"org.hibernate.test.annotations.lob",31,2
"org.hibernate.test.annotations.embedded",30,0
"org.hibernate.envers.test.integration.modifiedflags",30,2
"org.hibernate.userguide.mapping.identifier",29,0
"org.hibernate.test.annotations.indexcoll",29,0
"org.hibernate.test.annotations.manytomany",29,0
"org.hibernate.test.annotations.onetoone",29,0
"org.hibernate.boot.spi",28,25
"org.hibernate.engine.transaction.jta.platform.internal",28,4
"org.hibernate.loader.plan.spi",28,26
"org.hibernate.jpa.test.metadata",28,0
"org.hibernate.test.annotations.access.jpa",28,0
"org.hibernate.query.criteria.internal",27,17
"org.hibernate.tool.hbm2ddl",27,3
"org.hibernate.jpa.test.callbacks",27,0
"org.hibernate.test.insertordering",27,1
"org.hibernate.userguide.collections",26,1
"org.hibernate.cache.spi",26,18
"org.hibernate.engine.internal",26,4
"org.hibernate.engine.jdbc",26,11
"org.hibernate.loader.plan.build.internal.returns",26,7
"org.hibernate.jpa.test.emops",26,0
"org.hibernate.test.annotations.id.entities",26,0
