"type","dep","i-dep","fan-in","fan-out"
"org.hibernate.persister.entity.AbstractEntityPersister",138,110,17,134
"org.hibernate.test.legacy.FooBarTest",79,44,0,54
"org.hibernate.boot.model.source.internal.hbm.ModelBinder",144,125,2,142
"org.hibernate.test.hql.ASTParserLoadingTest",82,50,0,67
"org.hibernate.cfg.AnnotationBinder",160,37,11,43
"org.hibernate.internal.SessionImpl",170,121,18,156
"org.hibernate.cfg.annotations.reflection.JPAOverriddenAnnotationReader",124,7,3,21
"org.hibernate.test.querycache.AbstractQueryCacheResultTransformerTest",35,21,2,34
"org.hibernate.loader.Loader",86,69,15,79
"org.hibernate.userguide.hql.HQLTest",46,17,0,18
"org.hibernate.boot.internal.InFlightMetadataCollectorImpl",99,79,2,93
"org.hibernate.persister.collection.AbstractCollectionPersister",90,78,8,88
"org.hibernate.test.criteria.CriteriaQueryTest",54,29,0,33
"org.hibernate.engine.internal.StatefulPersistenceContext",64,42,5,51
"org.hibernate.cfg.annotations.CollectionBinder",105,41,6,46
"org.hibernate.test.readonly.ReadOnlyProxyTest",19,9,0,12
"org.hibernate.internal.CoreMessageLogger",41,15,284,16
"org.hibernate.internal.util.collections.BoundedConcurrentHashMap",20,0,3,30
"org.hibernate.query.internal.AbstractProducedQuery",94,40,6,53
"org.hibernate.jpa.test.query.QueryTest",39,13,0,18
"org.hibernate.test.immutable.ImmutableTest",23,13,0,17
"org.hibernate.dialect.AbstractHANADialect",98,65,59,81
"org.hibernate.test.hql.BulkManipulationTest",34,14,0,22
"org.hibernate.test.hql.HQLTest",62,40,0,45
"org.hibernate.test.readonly.ReadOnlySessionLazyNonLazyTest",18,5,0,7
"org.hibernate.internal.SessionFactoryImpl",126,94,11,112
"org.hibernate.dialect.Dialect",111,85,312,92
"org.hibernate.test.bytecode.enhancement.lazy.proxy.DeepInheritanceWithNonEntitiesProxyTest",24,9,0,17
"org.hibernate.test.readonly.ReadOnlyCriteriaQueryTest",25,16,0,18
"org.hibernate.cfg.annotations.EntityBinder",87,31,12,40
"org.hibernate.test.legacy.ParentChildTest",43,20,0,24
"org.hibernate.hql.internal.ast.HqlSqlWalker",88,66,39,79
"org.hibernate.boot.internal.SessionFactoryOptionsBuilder",122,37,2,43
"org.hibernate.test.readonly.ReadOnlySessionTest",17,6,0,8
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl",75,45,69,54
"org.hibernate.hql.internal.classic.QueryTranslatorImpl",61,41,3,49
"org.hibernate.internal.util.collections.ConcurrentReferenceHashMap",17,0,2,34
"org.hibernate.collection.internal.AbstractPersistentCollection",41,29,19,41
"org.hibernate.test.immutable.entitywithmutablecollection.AbstractEntityWithOneToManyTest",21,12,11,16
"org.hibernate.test.legacy.MasterDetailTest",28,18,0,26
"org.hibernate.query.hhh12076.AnnotationMappingJoinClassTest",32,1,0,17
"org.hibernate.jpa.test.lock.LockTest",42,16,0,20
"org.hibernate.internal.AbstractSharedSessionContract",81,62,4,67
"org.hibernate.engine.spi.SessionDelegatorBaseImpl",61,37,2,38
"org.hibernate.test.hql.HqlParserTest",15,4,0,7
"org.hibernate.engine.spi.ActionQueue",47,31,10,47
"org.hibernate.test.immutable.entitywithmutablecollection.AbstractEntityWithManyToManyTest",21,11,5,14
"org.hibernate.test.ops.MergeMultipleEntityCopiesAllowedTest",18,7,1,9
"org.hibernate.spatial.dialect.hana.TestHANASpatialFunctions",15,4,0,8
"org.hibernate.persister.entity.JoinedSubclassEntityPersister",43,33,4,42
"org.hibernate.tuple.entity.EntityMetamodel",40,27,19,39
"org.hibernate.cfg.BinderHelper",55,27,10,35
"org.hibernate.envers.configuration.internal.metadata.CollectionMetadataGenerator",79,64,1,68
"org.hibernate.cfg.Ejb3JoinColumn",32,22,14,28
"org.hibernate.loader.JoinWalker",34,23,9,27
"org.hibernate.test.notfound.OptionalEagerRefNonPKNotFoundTest",26,3,0,8
"org.hibernate.test.legacy.FumTest",49,22,0,28
"org.hibernate.tool.schema.extract.internal.InformationExtractorJdbcDatabaseMetaDataImpl",34,22,2,27
"org.hibernate.boot.internal.MetadataBuilderImpl",69,56,8,66
"org.hibernate.stat.internal.StatisticsImpl",18,14,3,20
"org.hibernate.test.event.collection.AbstractCollectionEventTest",17,8,2,10
"org.hibernate.jpa.boot.internal.EntityManagerFactoryBuilderImpl",97,54,14,71
"org.hibernate.test.sql.hand.query.NativeSQLQueriesTest",53,33,0,42
"org.hibernate.metamodel.internal.AttributeFactory",41,28,1,41
"org.hibernate.mapping.PersistentClass",21,10,148,20
"org.hibernate.query.criteria.internal.compile.CriteriaQueryTypeQueryAdapter",37,12,1,16
"org.hibernate.test.notfound.OptionalEagerInEmbeddableNotFoundTest",27,3,0,20
"org.hibernate.procedure.internal.ProcedureCallImpl",52,31,5,41
"org.hibernate.mapping.Table",25,16,89,25
"org.hibernate.test.filter.DynamicFilterTest",33,17,0,21
"org.hibernate.test.bytecode.enhancement.lazy.proxy.FetchGraphTest",41,12,0,14
"org.hibernate.type.ComponentType",25,15,14,24
"org.hibernate.query.internal.NativeQueryImpl",47,24,1,31
"org.hibernate.test.cfg.persister.GoofyPersisterClassProvider",48,38,3,41
"org.hibernate.cfg.annotations.TableBinder",36,30,5,36
"org.hibernate.test.annotations.embedded.EmbeddedTest",27,10,0,13
"org.hibernate.persister.entity.SingleTableEntityPersister",36,27,7,40
"org.hibernate.test.annotations.manytomany.ManyToManyTest",20,6,1,7
"org.hibernate.jpa.test.query.TupleNativeQueryTest",17,3,0,4
"org.hibernate.test.annotations.entity.BasicHibernateAnnotationsTest",31,12,0,16
"org.hibernate.test.ops.MergeTest",22,8,0,12
"org.hibernate.test.annotations.indexcoll.IndexedCollectionTest",25,9,0,13
"org.hibernate.cfg.Ejb3Column",25,17,12,20
"org.hibernate.metamodel.internal.MetamodelImpl",68,46,4,58
"org.hibernate.spatial.integration.TestSpatialFunctions",19,9,1,16
"org.hibernate.test.dialect.functional.cache.SQLFunctionsInterSystemsTest",32,15,0,25
"org.hibernate.test.legacy.SQLLoaderTest",28,14,0,20
"org.hibernate.userguide.sql.SQLTest",35,18,0,19
"org.hibernate.test.legacy.MultiTableTest",26,9,0,10
"org.hibernate.test.annotations.xml.ejb3.Ejb3XmlElementCollectionTest",31,0,0,1
"org.hibernate.spatial.testing.dialects.hana.HANAExpectationsFactory",12,4,2,6
"org.hibernate.bytecode.enhance.internal.javassist.PersistentAttributesEnhancer",33,7,4,13
"org.hibernate.internal.CriteriaImpl",23,11,14,21
"org.hibernate.internal.util.StringHelper",11,3,234,12
"org.hibernate.envers.configuration.internal.metadata.AuditMetadataGenerator",41,34,1,36
"org.hibernate.envers.configuration.internal.metadata.reader.AuditedPropertiesReader",41,12,4,22
"org.hibernate.mapping.SimpleValue",52,40,34,50
"org.hibernate.internal.StatelessSessionImpl",41,30,1,35
"org.hibernate.test.notfound.OptionalLazyNotFoundTest",30,5,0,10
"org.hibernate.loader.plan.build.internal.AbstractLoadPlanBuildingAssociationVisitationStrategy",47,40,3,46
"org.hibernate.test.annotations.query.QueryAndSQLTest",34,21,0,24
"org.hibernate.test.legacy.SQLFunctionsTest",32,19,0,28
"org.hibernate.dialect.Oracle8iDialect",42,34,65,40
"org.hibernate.jpa.test.EntityManagerClosedTest",15,0,0,1
"org.hibernate.type.CollectionType",39,25,60,33
"org.hibernate.test.querycache.QueryCacheTest",33,17,0,25
"org.hibernate.test.cascade.circle.MultiPathCircleCascadeTest",17,8,3,13
"org.hibernate.tuple.entity.AbstractEntityTuplizer",34,29,2,37
"org.hibernate.loader.criteria.CriteriaQueryTranslator",42,27,3,34
"org.hibernate.test.readonly.ReadOnlyVersionedNodesTest",7,1,0,3
"org.hibernate.id.IdentifierGeneratorHelper",14,7,8,14
"org.hibernate.boot.model.source.internal.hbm.AttributesHelper",32,9,0,13
"org.hibernate.loader.plan.exec.internal.LoadQueryJoinAndFetchProcessor",42,35,1,40
"org.hibernate.mapping.Collection",20,11,64,19
"org.hibernate.test.legacy.CustomPersister",48,38,0,43
"org.hibernate.event.internal.DefaultFlushEntityEventListener",31,28,2,37
"org.hibernate.hql.internal.ast.tree.FromElement",26,18,20,28
"org.hibernate.dialect.HSQLDialect",47,37,24,48
"org.hibernate.hql.internal.ast.tree.DotNode",22,18,6,26
"org.hibernate.test.annotations.onetomany.OneToManyTest",49,18,0,20
"org.hibernate.test.collection.multisession.MultipleSessionCollectionTest",25,8,0,12
"org.hibernate.test.hql.ASTParserLoadingOrderByTest",15,7,0,11
"org.hibernate.engine.spi.QueryParameters",23,14,81,19
"org.hibernate.jpa.test.ejb3configuration.PersisterClassProviderTest",49,36,0,40
"org.hibernate.dialect.SQLServer2005DialectTestCase",10,3,0,6
"org.hibernate.hql.internal.ast.tree.FromElementType",30,24,2,32
"org.hibernate.tool.schema.internal.SchemaCreatorImpl",53,40,25,48
"org.hibernate.dialect.PostgreSQL81Dialect",38,29,58,35
"org.hibernate.test.constraint.ForeignKeyConstraintTest",46,3,0,11
"org.hibernate.jpamodelgen.xml.XmlMetaEntity",36,9,3,19
"org.hibernate.test.notfound.OptionalEagerNotFoundTest",26,3,0,8
"org.hibernate.test.converter.AttributeConverterTest",44,27,0,35
"org.hibernate.test.bytecode.enhancement.lazy.proxy.DeepInheritanceProxyTest",23,8,0,12
"org.hibernate.persister.collection.OneToManyPersister",28,23,4,26
"org.hibernate.tool.schema.internal.AbstractSchemaMigrator",47,34,3,40
"org.hibernate.collection.internal.PersistentMap",16,6,3,14
"org.hibernate.test.annotations.xml.ejb3.Ejb3XmlOneToManyTest",26,0,0,1
"org.hibernate.test.readonly.ReadOnlyTest",13,4,0,6
"org.hibernate.collection.internal.PersistentList",14,6,5,12
"org.hibernate.collection.internal.PersistentBag",16,6,3,16
"org.hibernate.hql.internal.ast.QueryTranslatorImpl",53,36,8,44
"org.hibernate.loader.custom.sql.SQLQueryReturnProcessor",43,35,3,44
"org.hibernate.tool.schema.internal.SchemaDropperImpl",50,39,14,48
"org.hibernate.cfg.annotations.SimpleValueBinder",50,29,7,33
"org.hibernate.cfg.annotations.MapBinder",50,32,2,37
"org.hibernate.dialect.DerbyDialect",26,19,11,27
"org.hibernate.dialect.MySQLDialect",31,22,45,28
"org.hibernate.test.inheritance.discriminator.MultiInheritanceImplicitDowncastTest",35,4,0,15
"org.hibernate.type.EntityType",20,14,55,21
"org.hibernate.test.procedure.OracleStoredProcedureTest",41,10,0,14
"org.hibernate.test.criteria.OuterJoinCriteriaTest",20,6,0,8
"org.hibernate.metamodel.model.domain.internal.AbstractManagedType",27,12,2,21
"org.hibernate.test.procedure.HANAStoredProcedureTest",33,8,0,13
"org.hibernate.loader.hql.QueryLoader",43,32,1,39
