"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa","lcom3"
"org.hibernate.persister.entity.AbstractEntityPersister",4529,398,220,877,138,110,17,134,114,0.8709620398603563
"org.hibernate.test.legacy.FooBarTest",4490,110,109,221,79,44,0,54,0,0.0
"org.hibernate.boot.model.source.internal.hbm.ModelBinder",3602,151,77,421,144,125,2,142,31,0.9395698924731183
"org.hibernate.test.hql.ASTParserLoadingTest",3318,127,118,170,82,50,0,67,4,0.996031746031746
"org.hibernate.cfg.AnnotationBinder",3101,61,13,504,160,37,11,43,2,0.9916666666666667
"org.hibernate.internal.SessionImpl",3031,317,235,535,170,121,18,156,36,0.9699367088607594
"org.hibernate.cfg.annotations.reflection.JPAOverriddenAnnotationReader",2709,117,11,552,124,7,3,21,15,0.9396551724137931
"org.hibernate.test.querycache.AbstractQueryCacheResultTransformerTest",2256,269,178,95,35,21,2,34,7,0.9888059701492538
"org.hibernate.loader.Loader",2136,106,16,287,86,69,15,79,10,0.9571428571428572
"org.hibernate.userguide.hql.HQLTest",1868,147,143,148,46,17,0,18,0,0.0
"org.hibernate.boot.internal.InFlightMetadataCollectorImpl",1861,168,129,376,99,79,2,93,65,0.8967296176877015
"org.hibernate.persister.collection.AbstractCollectionPersister",1855,167,114,287,90,78,8,88,93,0.7228915662650602
"org.hibernate.test.criteria.CriteriaQueryTest",1750,34,32,52,54,29,0,33,1,1.0
"org.hibernate.engine.internal.StatefulPersistenceContext",1708,132,113,324,64,42,5,51,27,0.9007633587786259
"org.hibernate.cfg.annotations.CollectionBinder",1567,66,43,289,105,41,6,46,44,0.675874125874126
"org.hibernate.test.readonly.ReadOnlyProxyTest",1507,44,42,45,19,9,0,12,0,0.0
"org.hibernate.internal.CoreMessageLogger",1421,392,392,392,41,15,284,16,0,0.0
"org.hibernate.internal.util.collections.BoundedConcurrentHashMap",1364,157,118,116,20,0,3,30,58,0.8282493368700264
"org.hibernate.query.internal.AbstractProducedQuery",1357,151,104,255,94,40,6,53,22,0.93
"org.hibernate.jpa.test.query.QueryTest",1356,60,59,115,39,13,0,18,0,0.0
"org.hibernate.test.immutable.ImmutableTest",1353,36,32,39,23,13,0,17,1,1.0
"org.hibernate.dialect.AbstractHANADialect",1316,156,128,168,98,65,59,81,30,0.9288172043010753
"org.hibernate.test.hql.BulkManipulationTest",1301,58,54,67,34,14,0,22,6,0.956140350877193
"org.hibernate.test.hql.HQLTest",1295,188,181,222,62,40,0,45,0,0.0
"org.hibernate.test.readonly.ReadOnlySessionLazyNonLazyTest",1280,19,16,26,18,5,0,7,0,0.0
"org.hibernate.internal.SessionFactoryImpl",1269,145,123,214,126,94,11,112,50,0.8658333333333333
"org.hibernate.dialect.Dialect",1198,216,199,251,111,85,312,92,25,0.9853023255813954
"org.hibernate.test.bytecode.enhancement.lazy.proxy.DeepInheritanceWithNonEntitiesProxyTest",1191,47,37,79,24,9,0,17,9,0.9130434782608695
"org.hibernate.test.readonly.ReadOnlyCriteriaQueryTest",1133,19,18,26,25,16,0,18,0,0.0
"org.hibernate.cfg.annotations.EntityBinder",1131,68,51,207,87,31,12,40,41,0.7459046232253368
"org.hibernate.test.legacy.ParentChildTest",1126,25,25,37,43,20,0,24,0,0.0
"org.hibernate.hql.internal.ast.HqlSqlWalker",1122,93,36,195,88,66,39,79,26,0.8850334448160535
"org.hibernate.boot.internal.SessionFactoryOptionsBuilder",1102,156,150,184,122,37,2,43,80,0.7492741935483871
"org.hibernate.test.readonly.ReadOnlySessionTest",1102,25,25,79,17,6,0,8,0,0.0
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl",1098,171,170,226,75,45,69,54,1,1.0
"org.hibernate.hql.internal.classic.QueryTranslatorImpl",1078,106,73,211,61,41,3,49,55,0.7449350649350649
"org.hibernate.internal.util.collections.ConcurrentReferenceHashMap",1059,110,93,421,17,0,2,34,48,0.8436544342507645
"org.hibernate.collection.internal.AbstractPersistentCollection",1025,138,105,201,41,29,19,41,26,0.9087591240875912
"org.hibernate.test.immutable.entitywithmutablecollection.AbstractEntityWithOneToManyTest",1015,28,21,88,21,12,11,16,4,0.9444444444444444
"org.hibernate.test.legacy.MasterDetailTest",1013,29,28,51,28,18,0,26,0,0.0
"org.hibernate.query.hhh12076.AnnotationMappingJoinClassTest",995,221,216,472,32,1,0,17,106,0.8737564322469983
"org.hibernate.jpa.test.lock.LockTest",993,23,22,30,42,16,0,20,1,1.0
"org.hibernate.internal.AbstractSharedSessionContract",979,98,66,181,81,62,4,67,24,0.8814432989690721
"org.hibernate.engine.spi.SessionDelegatorBaseImpl",973,224,223,227,61,37,2,38,1,1.0
"org.hibernate.test.hql.HqlParserTest",970,53,50,57,15,4,0,7,0,0.0
"org.hibernate.engine.spi.ActionQueue",965,102,78,226,47,31,10,47,28,0.8681046676096181
"org.hibernate.test.immutable.entitywithmutablecollection.AbstractEntityWithManyToManyTest",925,25,20,75,21,11,5,14,4,0.9375
"org.hibernate.test.ops.MergeMultipleEntityCopiesAllowedTest",918,23,22,28,18,7,1,9,0,0.0
"org.hibernate.spatial.dialect.hana.TestHANASpatialFunctions",882,172,168,174,15,4,0,8,2,0.9970760233918129
"org.hibernate.persister.entity.JoinedSubclassEntityPersister",851,62,33,136,43,33,4,42,45,0.6451730418943533
"org.hibernate.tuple.entity.EntityMetamodel",843,90,82,164,40,27,19,39,67,0.6669461680362234
"org.hibernate.cfg.BinderHelper",841,45,37,129,55,27,10,35,4,0.9659090909090909
"org.hibernate.envers.configuration.internal.metadata.CollectionMetadataGenerator",836,31,6,104,79,64,1,68,12,0.8166666666666667
"org.hibernate.cfg.Ejb3JoinColumn",827,51,46,89,32,22,14,28,17,0.8717647058823529
"org.hibernate.loader.JoinWalker",815,64,26,144,34,23,9,27,18,0.8703703703703705
"org.hibernate.test.notfound.OptionalEagerRefNonPKNotFoundTest",812,107,101,392,26,3,0,8,43,0.9539271610355419
"org.hibernate.test.legacy.FumTest",792,24,21,38,49,22,0,28,3,0.9565217391304348
"org.hibernate.tool.schema.extract.internal.InformationExtractorJdbcDatabaseMetaDataImpl",778,29,13,103,34,22,2,27,6,0.9107142857142857
"org.hibernate.boot.internal.MetadataBuilderImpl",775,103,100,113,69,56,8,66,26,0.8872549019607843
"org.hibernate.stat.internal.StatisticsImpl",770,99,97,122,18,14,3,20,54,0.9219576719576719
"org.hibernate.test.event.collection.AbstractCollectionEventTest",762,30,22,99,17,8,2,10,0,0.0
"org.hibernate.jpa.boot.internal.EntityManagerFactoryBuilderImpl",756,44,21,132,97,54,14,71,20,0.813953488372093
"org.hibernate.test.sql.hand.query.NativeSQLQueriesTest",750,30,18,39,53,33,0,42,0,0.0
"org.hibernate.metamodel.internal.AttributeFactory",748,63,53,105,41,28,1,41,21,0.8387096774193549
"org.hibernate.mapping.PersistentClass",728,147,135,206,21,10,148,20,44,0.8532067247820672
"org.hibernate.query.criteria.internal.compile.CriteriaQueryTypeQueryAdapter",725,111,107,137,37,12,1,16,3,0.990909090909091
"org.hibernate.test.notfound.OptionalEagerInEmbeddableNotFoundTest",717,119,113,326,27,3,0,20,39,0.9823989569752282
"org.hibernate.procedure.internal.ProcedureCallImpl",715,78,71,88,52,31,5,41,11,0.935064935064935
"org.hibernate.mapping.Table",704,90,86,181,25,16,89,25,22,0.8820224719101124
"org.hibernate.test.filter.DynamicFilterTest",704,28,25,32,33,17,0,21,8,0.875
"org.hibernate.test.bytecode.enhancement.lazy.proxy.FetchGraphTest",700,59,56,140,41,12,0,14,20,0.8362068965517241
"org.hibernate.type.ComponentType",699,60,57,144,25,15,14,24,13,0.8983050847457628
"org.hibernate.query.internal.NativeQueryImpl",693,102,86,133,47,24,1,31,9,0.966996699669967
"org.hibernate.test.cfg.persister.GoofyPersisterClassProvider",691,171,171,171,48,38,3,41,0,0.0
"org.hibernate.cfg.annotations.TableBinder",682,69,65,72,36,30,5,36,27,0.8643790849673203
"org.hibernate.test.annotations.embedded.EmbeddedTest",678,20,18,21,27,10,0,13,0,0.0
"org.hibernate.persister.entity.SingleTableEntityPersister",674,60,26,125,36,27,7,40,41,0.663083918974783
"org.hibernate.test.annotations.manytomany.ManyToManyTest",673,20,18,21,20,6,1,7,0,0.0
"org.hibernate.jpa.test.query.TupleNativeQueryTest",665,76,69,78,17,3,0,4,2,0.9933333333333333
"org.hibernate.test.annotations.entity.BasicHibernateAnnotationsTest",658,23,20,28,31,12,0,16,0,0.0
"org.hibernate.test.ops.MergeTest",655,21,20,22,22,8,0,12,0,0.0
"org.hibernate.test.annotations.indexcoll.IndexedCollectionTest",653,24,20,28,25,9,0,13,0,0.0
"org.hibernate.cfg.Ejb3Column",650,66,58,127,25,17,12,20,24,0.823076923076923
"org.hibernate.metamodel.internal.MetamodelImpl",646,43,31,123,68,46,4,58,19,0.9899749373433584
"org.hibernate.spatial.integration.TestSpatialFunctions",644,90,85,123,19,9,1,16,1,1.0
"org.hibernate.test.dialect.functional.cache.SQLFunctionsInterSystemsTest",643,16,15,19,32,15,0,25,0,0.0
"org.hibernate.test.legacy.SQLLoaderTest",642,24,21,46,28,14,0,20,2,0.9782608695652174
"org.hibernate.userguide.sql.SQLTest",635,40,39,56,35,18,0,19,0,0.0
"org.hibernate.test.legacy.MultiTableTest",634,19,18,41,26,9,0,10,0,0.0
"org.hibernate.test.annotations.xml.ejb3.Ejb3XmlElementCollectionTest",632,28,28,28,31,0,0,1,0,0.0
"org.hibernate.spatial.testing.dialects.hana.HANAExpectationsFactory",631,148,60,149,12,4,2,6,0,0.0
"org.hibernate.bytecode.enhance.internal.javassist.PersistentAttributesEnhancer",631,15,3,87,33,7,4,13,3,0.9285714285714286
"org.hibernate.internal.CriteriaImpl",627,121,114,136,23,11,14,21,35,0.8938095238095237
"org.hibernate.internal.util.StringHelper",620,63,57,170,11,3,234,12,4,0.9758064516129032
"org.hibernate.envers.configuration.internal.metadata.AuditMetadataGenerator",611,35,20,82,41,34,1,36,16,0.7794117647058824
"org.hibernate.envers.configuration.internal.metadata.reader.AuditedPropertiesReader",607,43,18,116,41,12,4,22,20,0.7857142857142857
"org.hibernate.mapping.SimpleValue",604,73,68,115,52,40,34,50,29,0.8055555555555556
"org.hibernate.internal.StatelessSessionImpl",601,73,66,101,41,30,1,35,5,0.9805555555555555
"org.hibernate.test.notfound.OptionalLazyNotFoundTest",589,79,75,310,30,5,0,10,31,0.9805624483043838
"org.hibernate.loader.plan.build.internal.AbstractLoadPlanBuildingAssociationVisitationStrategy",589,44,25,106,47,40,3,46,10,0.9813953488372094
"org.hibernate.test.annotations.query.QueryAndSQLTest",589,23,17,23,34,21,0,24,0,0.0
"org.hibernate.test.legacy.SQLFunctionsTest",589,15,14,42,32,19,0,28,0,0.0
"org.hibernate.dialect.Oracle8iDialect",578,70,59,80,42,34,65,40,8,0.9655797101449275
"org.hibernate.jpa.test.EntityManagerClosedTest",578,36,35,50,15,0,0,1,4,0.9571428571428572
"org.hibernate.type.CollectionType",577,64,54,121,39,25,60,33,6,0.9788359788359788
"org.hibernate.test.querycache.QueryCacheTest",573,21,15,26,33,17,0,25,5,0.9
"org.hibernate.test.cascade.circle.MultiPathCircleCascadeTest",570,54,36,59,17,8,3,13,3,1.0188679245283019
"org.hibernate.tuple.entity.AbstractEntityTuplizer",570,52,35,109,34,29,2,37,17,0.8811995386389849
