"method","loc","cyclo","calls","nbd","param"
"one.util.huntbugs.detect.BadMethodCalls.check(Expression node, MethodReference mr, NodeChain nc, MethodContext ctx, MethodDefinition curMethod)",137,97,179,5,5
"one.util.huntbugs.util.ExpressionFormatter.format(StringBuilder sb, Expression expr, int outerPrecedence)",199,78,168,3,3
"one.util.huntbugs.detect.FieldAccess.visit(FieldContext fc, FieldDefinition fd, TypeDefinition td, FieldStats fs)",107,76,96,5,4
"one.util.huntbugs.flow.ConstAnnotator$ConstDataflow.makeFact(ContextValues ctx, Expression expr)",175,71,88,4,2
"one.util.huntbugs.detect.DeadLocalStore.visit(Expression expr, NodeChain nc, MethodContext mc, MethodDefinition md, TypeDefinition td)",112,60,109,8,5
"one.util.huntbugs.detect.BadMath.visit(Expression expr, NodeChain nc, MethodContext mc)",98,51,65,6,3
"one.util.huntbugs.detect.NullCheck.visit(Expression expr, NodeChain nc, MethodContext mc)",129,47,88,4,3
"one.util.huntbugs.detect.FieldAccess.visitCode(Expression expr, NodeChain nc, MethodContext mc, MethodDefinition md, TypeDefinition td, Mutability m)",76,42,62,5,6
"one.util.huntbugs.db.FieldStats.visitType(TypeDefinition td)",102,41,86,6,1
"one.util.huntbugs.flow.CFG.buildExpr(BasicBlock entry, Expression expr, JumpContext jc)",150,40,93,6,3
"one.util.huntbugs.detect.EqualsContract.visitClass(TypeDefinition td, ClassContext cc)",70,39,65,5,2
"one.util.huntbugs.db.MethodStats.visitBody(MethodData mdata, MethodBody body)",71,39,16,3,2
"one.util.huntbugs.detect.UnusedParameter.visitBody(Block block, MethodContext mc, MethodDefinition md, TypeDefinition td, Hierarchy h)",74,37,74,6,5
"one.util.huntbugs.flow.SourceAnnotator$SourceDataflow.transferState(Frame target, Expression expr)",93,37,81,5,2
"one.util.huntbugs.detect.FloatingPointComparison.tweakPriority(Expression expr)",36,35,24,2,1
"one.util.huntbugs.detect.NumericPromotion.visit(Expression expr, NodeChain nc, MethodContext mc, MethodDefinition md)",99,34,86,6,4
"one.util.huntbugs.flow.ConstAnnotator$ConstDataflow.processKnownMethods(Expression expr, MethodReference mr)",53,33,81,4,2
"one.util.huntbugs.detect.InfiniteLoop.checkCondition(MethodContext mc, Loop loop, Expression expr, AstCode parent)",57,32,66,2,4
"one.util.huntbugs.flow.PurityAnnotator.getOwnPurity(Expression expr, FrameContext fc)",60,30,21,3,2
"one.util.huntbugs.util.Methods.isSideEffectFree(MethodReference mr)",46,29,45,8,1
"one.util.huntbugs.detect.NumericComparison.visit(Node node, MethodContext mc)",91,29,52,3,2
"one.util.huntbugs.detect.RedundantStreamCalls.visit(Expression expr, MethodContext mc)",67,28,69,5,2
"one.util.huntbugs.detect.UncalledPrivateMethod.visitType(TypeDefinition td, ClassContext cc, NestedAnonymousCalls nac)",59,28,52,4,3
"one.util.huntbugs.flow.CFG.getConditionalBranches(BasicBlock cond)",80,27,11,6,1
"one.util.huntbugs.detect.WaitContract.visit(Expression expr, NodeChain parents, MethodContext mc)",42,27,45,5,3
"one.util.huntbugs.flow.NullAnnotator$NullDataflow.makeFact(ContextNulls state, Expression expr)",54,27,44,4,2
"one.util.huntbugs.detect.NumericComparison.intRange(Expression arg, Set<Expression> visited)",71,27,42,3,2
"one.util.huntbugs.util.Equi.equiBlocks(Block left, Block right, EquiContext ctx)",69,27,46,3,3
"one.util.huntbugs.flow.ETypeAnnotator$ETypeDataflow.makeFact(ContextTypes state, Expression expr)",58,26,62,4,2
"one.util.huntbugs.flow.NullAnnotator$NullDataflow.transferState(ContextNulls src, Expression expr)",51,25,40,4,2
"one.util.huntbugs.util.Equi.equiExpressions(Expression left, Expression right, EquiContext ctx)",57,25,62,3,3
"one.util.huntbugs.flow.CFG.findDeadCode(Expression expr, EdgeType deadEdge)",42,23,23,6,2
"one.util.huntbugs.detect.VolatileIncrement.visitNode(Expression node, MethodContext ctx, NodeChain parents, MethodDefinition md)",36,23,44,5,4
"one.util.huntbugs.HuntBugs.parseCommandLine(String[] args)",79,21,41,4,1
"one.util.huntbugs.detect.CloneContract.visitBody(MethodDefinition md, Block body, TypeDefinition td, MethodContext mc, TypeHierarchy th)",35,21,27,4,5
"one.util.huntbugs.detect.Naming.visitMethod(MethodDefinition md, TypeDefinition td, MethodContext mc)",37,21,37,2,3
"one.util.huntbugs.flow.CFG.inlineBooleans()",84,20,59,6,0
"one.util.huntbugs.detect.SelfAssignment.visit(Expression expr, MethodContext mc, MethodDefinition md, TypeDefinition td)",54,20,46,5,4
"one.util.huntbugs.detect.DuplicateAssignment.visit(Node node, NodeChain nc, MethodDefinition md, MethodContext mc)",44,20,32,5,4
"one.util.huntbugs.detect.MinValueHandling.checkAbs(MethodContext mc, Node body, Node parent, int priority, boolean forget)",38,20,35,5,5
"one.util.huntbugs.flow.ETypeAnnotator$ETypeDataflow.transferConditionalState(ContextTypes src, Expression expr)",50,20,44,4,2
"one.util.huntbugs.flow.etype.EType.and(EType t1, EType t2)",52,20,20,3,2
"one.util.huntbugs.flow.CFG.fixBlocks()",44,19,25,6,0
"one.util.huntbugs.detect.NonShortCircuit.visitNode(Expression node, NodeChain nc, MethodContext ctx)",36,19,53,5,3
"one.util.huntbugs.detect.SerializationIdiom.visitMethod(MethodDefinition md, MethodContext mc, TypeDefinition td)",37,19,31,3,3
"one.util.huntbugs.util.Nodes.isBoxing(Node node)",25,19,37,3,1
"one.util.huntbugs.detect.StaticFieldFromInstanceMethod.visit(Expression expr, NodeChain nc, MethodContext mc, MethodDefinition md, TypeDefinition td)",34,19,28,2,5
