"namespace","ca","ce","instability","abstractness","distance"
"one.util.huntbugs.testdata",1,0,0.0,0.04597701149425287,0.9540229885057472
"one.util.huntbugs.detect",0,6,1.0,0.0,0.0
"one.util.huntbugs.flow",37,5,0.11904761904761904,0.2,0.680952380952381
"one.util.huntbugs.util",106,2,0.018518518518518517,0.0,0.9814814814814815
"one.util.huntbugs.registry",95,9,0.08653846153846154,0.16666666666666666,0.7467948717948718
"one.util.huntbugs.registry.anno",0,0,0.0,0.0,1.0
"one.util.huntbugs",0,7,1.0,0.0,0.0
"one.util.huntbugs.warning",78,2,0.025,0.0,0.975
"one.util.huntbugs.repo",11,1,0.08333333333333333,0.2857142857142857,0.6309523809523809
"one.util.huntbugs.analysis",20,4,0.16666666666666666,0.4,0.43333333333333335
"one.util.huntbugs.db",10,2,0.16666666666666666,0.0,0.8333333333333334
"one.util.huntbugs.flow.etype",3,1,0.25,0.4,0.35
"one.util.huntbugs.output",5,2,0.2857142857142857,0.2,0.5142857142857142
"one.util.huntbugs.warning.rule",3,1,0.25,0.25,0.5
"one.util.huntbugs.sample",0,1,1.0,0.0,0.0
"one.util.huntbugs.assertions",2,1,0.3333333333333333,0.0,0.6666666666666667
"one.util.huntbugs.spi",5,4,0.4444444444444444,1.0,0.4444444444444444
"one.util.huntbugs.filter",1,1,0.5,0.0,0.5
"one.util.huntbugs.input",4,3,0.42857142857142855,0.0,0.5714285714285714
"one.util.huntbugs.asserter",0,0,0.0,0.0,1.0
"one.util.huntbugs.testdata.sub",0,1,1.0,0.0,0.0
"one.util.huntbugs.ant",0,4,1.0,0.0,0.0
"one.util.huntbugs.maven.plugin",0,5,1.0,0.0,0.0
"one.util.huntbugs.sample.detect",0,2,1.0,0.0,0.0
"one.util.huntbugs.sample.testdata",0,0,0.0,0.0,1.0
