"namespace","noc","nac"
"one.util.huntbugs.testdata",87,4
"one.util.huntbugs.detect",86,0
"one.util.huntbugs.flow",20,4
"one.util.huntbugs.util",15,0
"one.util.huntbugs.registry",12,2
"one.util.huntbugs.registry.anno",12,0
"one.util.huntbugs",8,0
"one.util.huntbugs.warning",8,0
"one.util.huntbugs.repo",7,2
"one.util.huntbugs.analysis",5,2
"one.util.huntbugs.db",5,0
"one.util.huntbugs.flow.etype",5,2
"one.util.huntbugs.output",5,1
"one.util.huntbugs.warning.rule",4,1
"one.util.huntbugs.sample",4,0
"one.util.huntbugs.assertions",2,0
"one.util.huntbugs.spi",2,2
"one.util.huntbugs.filter",1,0
"one.util.huntbugs.input",1,0
"one.util.huntbugs.asserter",1,0
"one.util.huntbugs.testdata.sub",1,0
"one.util.huntbugs.ant",1,0
"one.util.huntbugs.maven.plugin",1,0
"one.util.huntbugs.sample.detect",1,0
"one.util.huntbugs.sample.testdata",1,0
