"metric","1stQ","3rdQ","avg","median","min","max","max-min","stddev","u-fence","threshold"
"SLOC",29.0,100.5,90.74285714285715,53.0,5.0,1384.0,1379.0,124.59539497501339,207.75,500.0
"NOM",2.0,9.0,7.6535714285714285,4.0,0.0,101.0,101.0,10.690014771567276,19.5,14.0
"NPM",1.0,7.0,6.328571428571428,3.0,0.0,70.0,70.0,9.42446880438881,16.0,40.0
"WMC",6.0,29.0,25.978571428571428,13.0,1.0,398.0,397.0,41.21944198990549,63.5,100.0
"DEP",3.0,14.0,9.6,7.0,0.0,47.0,47.0,8.312039460926545,30.5,20.0
"I-DEP",0.0,4.0,2.2142857142857144,1.0,0.0,14.0,14.0,2.850528057059189,10.0,15.0
"FAN-IN",0.0,1.0,2.6357142857142857,0.0,0.0,85.0,85.0,9.057917384638634,2.5,10.0
"FAN-OUT",2.0,6.0,4.514285714285714,3.5,0.0,25.0,25.0,4.05671526921846,12.0,15.0
"NOA",0.0,3.0,2.375,1.0,0.0,47.0,47.0,5.112877649342184,7.5,8.0
"LCOM3",0.0,0.928409090909091,0.45005519748020145,0.0,0.0,2.0,2.0,0.4926273595026399,2.3210227272727275,1.0
