"type","dep","i-dep","fan-in","fan-out"
"one.util.huntbugs.flow.CFG",40,3,5,25
"one.util.huntbugs.testdata.TestKnownComparison",5,0,0,10
"one.util.huntbugs.flow.ConstAnnotator",17,3,1,17
"one.util.huntbugs.flow.SourceAnnotator",25,2,1,7
"one.util.huntbugs.util.Nodes",24,3,62,5
"one.util.huntbugs.detect.FieldAccess",39,13,0,19
"one.util.huntbugs.registry.DetectorRegistry",47,13,2,21
"one.util.huntbugs.detect.NumericComparison",26,8,0,13
"one.util.huntbugs.testdata.TestBadMath",2,0,0,2
"one.util.huntbugs.flow.ETypeAnnotator",15,3,1,10
"one.util.huntbugs.flow.NullAnnotator",17,2,1,10
"one.util.huntbugs.testdata.TestDeadLocalStore",7,0,1,12
"one.util.huntbugs.analysis.Context",28,6,19,14
"one.util.huntbugs.output.Reports",32,8,5,13
"one.util.huntbugs.testdata.TestNumericComparison",5,0,0,4
"one.util.huntbugs.detect.EqualsContract",29,7,0,9
"one.util.huntbugs.detect.BadMethodCalls",25,10,0,14
"one.util.huntbugs.util.Equi",22,0,4,3
"one.util.huntbugs.testdata.TestFieldAccess",11,0,2,9
"one.util.huntbugs.testdata.TestUnnecessaryInstanceOf",4,0,0,9
"one.util.huntbugs.testdata.TestNullCheck",10,0,0,8
"one.util.huntbugs.HuntBugs",34,14,1,22
"one.util.huntbugs.testdata.TestBadMethodCalls",15,0,0,13
"one.util.huntbugs.db.FieldStats",21,2,4,9
"one.util.huntbugs.testdata.TestEqualsContract",6,0,0,7
"one.util.huntbugs.util.ExpressionFormatter",9,1,2,3
"one.util.huntbugs.util.Methods",13,0,26,3
"one.util.huntbugs.registry.Detector",26,2,2,13
"one.util.huntbugs.registry.MethodContext",27,10,85,15
"one.util.huntbugs.warning.Formatter",4,0,3,8
"one.util.huntbugs.detect.BadMath",16,7,0,10
"one.util.huntbugs.warning.WarningAnnotation",4,0,20,5
"one.util.huntbugs.util.Types",14,0,51,5
"one.util.huntbugs.flow.Nullness",9,0,3,4
"one.util.huntbugs.detect.NumericPromotion",23,9,0,12
"one.util.huntbugs.testdata.TestWrongMapIterator",9,0,0,11
"one.util.huntbugs.flow.etype.AndType",6,1,4,3
"one.util.huntbugs.db.MethodStats",17,2,4,6
"one.util.huntbugs.testdata.TestSelfAssignment",2,0,9,3
"one.util.huntbugs.input.XmlReportReader",34,9,4,17
"one.util.huntbugs.testdata.TestSameBranches",3,0,0,1
"one.util.huntbugs.detect.NullCheck",18,7,0,7
"one.util.huntbugs.warning.Role",14,4,0,15
"one.util.huntbugs.detect.UncalledPrivateMethod",27,8,0,11
"one.util.huntbugs.detect.Naming",21,6,0,9
"one.util.huntbugs.maven.plugin.HuntBugsMojo",39,10,0,13
"one.util.huntbugs.flow.etype.SingleType",4,1,1,4
"one.util.huntbugs.detect.UnusedParameter",23,7,0,11
"one.util.huntbugs.ant.HuntBugsTask",27,10,0,14
"one.util.huntbugs.flow.etype.OrType",6,1,6,3
"one.util.huntbugs.detect.DeadLocalStore",21,7,0,10
"one.util.huntbugs.detect.RoughConstant",16,5,0,11
"one.util.huntbugs.detect.ExclusiveConditions",15,4,0,5
"one.util.huntbugs.flow.etype.EType",6,0,5,1
"one.util.huntbugs.util.NodeChain",14,0,34,2
"one.util.huntbugs.util.Exprs",14,2,43,4
"one.util.huntbugs.detect.RedundantStreamCalls",16,6,0,7
"one.util.huntbugs.testdata.TestRoughConstants",2,0,0,1
"one.util.huntbugs.flow.PurityAnnotator",8,2,1,3
"one.util.huntbugs.testdata.TestArrayRangeCheck",3,0,0,4
"one.util.huntbugs.testdata.TestInfiniteRecursion",3,0,2,5
"one.util.huntbugs.detect.SameBranches",22,5,0,7
"one.util.huntbugs.registry.MethodData",20,4,1,6
"one.util.huntbugs.flow.ValuesFlow",14,2,23,5
"one.util.huntbugs.testdata.TestNaming",3,0,0,5
"one.util.huntbugs.detect.InfiniteRecursion",21,5,0,6
"one.util.huntbugs.detect.StringConcatInLoop",20,5,0,6
"one.util.huntbugs.detect.ArrayRangeCheck",14,7,0,9
"one.util.huntbugs.detect.SerializationIdiom",15,4,0,4
"one.util.huntbugs.flow.FrameContext",11,2,1,3
"one.util.huntbugs.filter.AnnotationFilters",17,2,1,7
"one.util.huntbugs.warning.Messages",16,1,6,7
"one.util.huntbugs.db.Hierarchy",14,3,2,9
"one.util.huntbugs.detect.UnnecessaryBoxing",20,6,0,7
"one.util.huntbugs.assertions.MemberAsserter",13,1,5,4
"one.util.huntbugs.registry.ClassContext",15,8,7,10
"one.util.huntbugs.detect.UnnecessaryInstanceOf",25,9,0,10
"one.util.huntbugs.testdata.TestNumericPromotion",2,0,0,3
"one.util.huntbugs.testdata.TestConditionChain",2,0,0,1
"one.util.huntbugs.detect.FinalizerContract",14,4,0,5
"one.util.huntbugs.testdata.TestNonShortCircuit",2,0,0,2
"one.util.huntbugs.testdata.TestFinalizer",4,0,0,4
"one.util.huntbugs.detect.RandomUsage",17,7,0,9
"one.util.huntbugs.detect.InfiniteLoop",13,4,0,5
"one.util.huntbugs.testdata.TestInvalidMinMax",2,0,0,2
"one.util.huntbugs.detect.AtomicConcurrent",18,6,0,7
"one.util.huntbugs.detect.CloneContract",19,4,0,5
"one.util.huntbugs.detect.RegexProblems",16,4,0,6
"one.util.huntbugs.detect.Internationalization",13,3,0,4
"one.util.huntbugs.testdata.TestUnusedParameter",2,0,1,3
"one.util.huntbugs.testdata.TestUncalledPrivateMethod",3,0,0,4
"one.util.huntbugs.ReportsTest",17,9,0,9
"one.util.huntbugs.detect.FloatingPointComparison",17,5,0,9
"one.util.huntbugs.analysis.ErrorMessage",5,1,13,4
"one.util.huntbugs.detect.ExposeRepresentation",19,6,0,7
"one.util.huntbugs.repo.Repository",17,1,16,9
"one.util.huntbugs.detect.CovariantArrays",17,6,0,7
"one.util.huntbugs.flow.BackLinkAnnotator",7,0,1,2
"one.util.huntbugs.detect.SelfAssignment",15,4,0,4
"one.util.huntbugs.detect.WrongMapIterator",18,8,0,9
"one.util.huntbugs.testdata.TestSerializationIdiom",7,0,0,2
"one.util.huntbugs.flow.ClassFields",17,4,1,4
"one.util.huntbugs.detect.ConditionChain",13,3,0,4
"one.util.huntbugs.registry.DatabaseRegistry",8,1,1,5
"one.util.huntbugs.detect.InvalidMinMax",10,2,0,4
"one.util.huntbugs.detect.StaticFieldNonThreadSafe",24,7,0,10
"one.util.huntbugs.detect.WaitContract",19,5,0,5
"one.util.huntbugs.testdata.TestRedundantStreamCalls",10,0,0,6
"one.util.huntbugs.warning.Warning",6,0,16,1
"one.util.huntbugs.detect.IteratorContract",18,5,0,5
"one.util.huntbugs.detect.MinValueHandling",11,5,0,10
"one.util.huntbugs.detect.SameIfChain",20,5,0,5
"one.util.huntbugs.detect.StringIndex",10,3,0,5
"one.util.huntbugs.testdata.TestAbandonedStream",5,0,0,4
"one.util.huntbugs.detect.VolatileIncrement",15,4,0,5
"one.util.huntbugs.testdata.TestFloatComparison",2,0,0,1
"one.util.huntbugs.detect.DuplicateAssignment",14,4,0,4
"one.util.huntbugs.testdata.TestInfiniteLoop",2,0,0,2
"one.util.huntbugs.testdata.TestStaticFieldFromInstanceMethod",2,0,0,2
"one.util.huntbugs.testdata.TestExposeRepresentation",3,0,0,3
"one.util.huntbugs.testdata.TestStringConcatInLoop",2,0,0,3
"one.util.huntbugs.testdata.TestWaitContract",2,0,0,1
"one.util.huntbugs.detect.AppendObjectOutputStream",12,4,0,6
"one.util.huntbugs.detect.ReturnNull",14,4,0,5
"one.util.huntbugs.detect.StaticFieldFromInstanceMethod",17,4,0,5
"one.util.huntbugs.flow.Annotators",4,0,1,2
"one.util.huntbugs.repo.DirRepository",9,0,5,2
"one.util.huntbugs.registry.FieldContext",11,6,7,7
"one.util.huntbugs.detect.NonShortCircuit",16,8,0,8
