"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"one.util.huntbugs.flow.CFG",1384,101,70,398,40,3,5,25,45
"one.util.huntbugs.testdata.TestKnownComparison",779,72,69,236,5,0,0,10,8
"one.util.huntbugs.flow.ConstAnnotator",720,44,23,304,17,3,1,17,4
"one.util.huntbugs.flow.SourceAnnotator",457,31,19,143,25,2,1,7,8
"one.util.huntbugs.util.Nodes",405,30,29,172,24,3,62,5,0
"one.util.huntbugs.detect.FieldAccess",371,12,5,179,39,13,0,19,13
"one.util.huntbugs.registry.DetectorRegistry",364,21,14,72,47,13,2,21,13
"one.util.huntbugs.detect.NumericComparison",335,13,7,114,26,8,0,13,8
"one.util.huntbugs.testdata.TestBadMath",311,48,48,81,2,0,0,2,6
"one.util.huntbugs.flow.ETypeAnnotator",310,25,22,107,15,3,1,10,3
"one.util.huntbugs.flow.NullAnnotator",304,23,21,113,17,2,1,10,4
"one.util.huntbugs.testdata.TestDeadLocalStore",300,36,35,65,7,0,1,12,2
"one.util.huntbugs.analysis.Context",297,32,27,66,28,6,19,14,14
"one.util.huntbugs.output.Reports",284,14,9,44,32,8,5,13,0
"one.util.huntbugs.testdata.TestNumericComparison",268,33,33,83,5,0,0,4,0
"one.util.huntbugs.detect.EqualsContract",268,12,3,98,29,7,0,9,4
"one.util.huntbugs.detect.BadMethodCalls",260,6,1,129,25,10,0,14,7
"one.util.huntbugs.util.Equi",258,11,3,94,22,0,4,3,3
"one.util.huntbugs.testdata.TestFieldAccess",252,33,33,47,11,0,2,9,47
"one.util.huntbugs.testdata.TestUnnecessaryInstanceOf",248,30,30,74,4,0,0,9,2
"one.util.huntbugs.testdata.TestNullCheck",247,24,23,59,10,0,0,8,1
"one.util.huntbugs.HuntBugs",247,5,1,40,34,14,1,22,7
"one.util.huntbugs.testdata.TestBadMethodCalls",244,47,48,49,15,0,0,13,4
"one.util.huntbugs.db.FieldStats",240,18,16,83,21,2,4,9,18
"one.util.huntbugs.testdata.TestEqualsContract",238,28,28,29,6,0,0,7,16
"one.util.huntbugs.util.ExpressionFormatter",231,4,1,83,9,1,2,3,1
"one.util.huntbugs.util.Methods",228,16,15,94,13,0,26,3,1
"one.util.huntbugs.registry.Detector",227,14,9,46,26,2,2,13,19
"one.util.huntbugs.registry.MethodContext",218,24,23,52,27,10,85,15,10
"one.util.huntbugs.warning.Formatter",207,15,7,67,4,0,3,8,9
"one.util.huntbugs.detect.BadMath",205,7,2,84,16,7,0,10,3
"one.util.huntbugs.warning.WarningAnnotation",202,32,32,58,4,0,20,5,8
"one.util.huntbugs.util.Types",186,21,21,61,14,0,51,5,4
"one.util.huntbugs.flow.Nullness",186,19,17,86,9,0,3,4,6
"one.util.huntbugs.detect.NumericPromotion",184,6,1,53,23,9,0,12,3
"one.util.huntbugs.testdata.TestWrongMapIterator",182,20,20,43,9,0,0,11,4
"one.util.huntbugs.flow.etype.AndType",181,10,9,64,6,1,4,3,0
"one.util.huntbugs.db.MethodStats",180,10,6,73,17,2,4,6,10
"one.util.huntbugs.testdata.TestSelfAssignment",179,27,25,35,2,0,9,3,6
"one.util.huntbugs.input.XmlReportReader",166,12,6,31,34,9,4,17,0
"one.util.huntbugs.testdata.TestSameBranches",164,11,11,42,3,0,0,1,0
"one.util.huntbugs.detect.NullCheck",164,1,1,47,18,7,0,7,2
"one.util.huntbugs.warning.Role",161,37,37,42,14,4,0,15,4
"one.util.huntbugs.detect.UncalledPrivateMethod",157,7,3,49,27,8,0,11,2
"one.util.huntbugs.detect.Naming",156,8,4,63,21,6,0,9,1
"one.util.huntbugs.maven.plugin.HuntBugsMojo",156,6,1,24,39,10,0,13,11
"one.util.huntbugs.flow.etype.SingleType",142,10,9,55,4,1,1,4,4
"one.util.huntbugs.detect.UnusedParameter",141,4,2,56,23,7,0,11,0
"one.util.huntbugs.ant.HuntBugsTask",137,9,7,29,27,10,0,14,7
"one.util.huntbugs.flow.etype.OrType",134,8,8,45,6,1,6,3,0
"one.util.huntbugs.detect.DeadLocalStore",133,1,1,60,21,7,0,10,0
"one.util.huntbugs.detect.RoughConstant",125,7,5,33,16,5,0,11,5
"one.util.huntbugs.detect.ExclusiveConditions",125,6,2,35,15,4,0,5,3
"one.util.huntbugs.flow.etype.EType",124,13,11,40,6,0,5,1,1
"one.util.huntbugs.util.NodeChain",124,12,12,39,14,0,34,2,2
"one.util.huntbugs.util.Exprs",122,15,11,41,14,2,43,4,0
"one.util.huntbugs.detect.RedundantStreamCalls",117,7,1,36,16,6,0,7,0
"one.util.huntbugs.testdata.TestRoughConstants",116,19,19,19,2,0,0,1,2
"one.util.huntbugs.flow.PurityAnnotator",115,9,7,41,8,2,1,3,1
"one.util.huntbugs.testdata.TestArrayRangeCheck",113,15,15,17,3,0,0,4,2
"one.util.huntbugs.testdata.TestInfiniteRecursion",112,20,17,31,3,0,2,5,2
"one.util.huntbugs.detect.SameBranches",110,5,3,31,22,5,0,7,2
"one.util.huntbugs.registry.MethodData",107,8,5,28,20,4,1,6,8
"one.util.huntbugs.flow.ValuesFlow",105,10,10,31,14,2,23,5,0
"one.util.huntbugs.testdata.TestNaming",103,17,13,21,3,0,0,5,6
"one.util.huntbugs.detect.InfiniteRecursion",103,5,2,47,21,5,0,6,2
"one.util.huntbugs.detect.StringConcatInLoop",103,4,1,32,20,5,0,6,0
"one.util.huntbugs.detect.ArrayRangeCheck",103,3,1,28,14,7,0,9,2
"one.util.huntbugs.detect.SerializationIdiom",102,3,3,34,15,4,0,4,2
"one.util.huntbugs.flow.FrameContext",101,8,6,35,11,2,1,3,3
"one.util.huntbugs.filter.AnnotationFilters",100,5,1,30,17,2,1,7,2
"one.util.huntbugs.warning.Messages",98,10,7,18,16,1,6,7,3
"one.util.huntbugs.db.Hierarchy",97,14,12,26,14,3,2,9,4
"one.util.huntbugs.detect.UnnecessaryBoxing",97,4,1,20,20,6,0,7,2
"one.util.huntbugs.assertions.MemberAsserter",96,7,5,31,13,1,5,4,4
"one.util.huntbugs.registry.ClassContext",94,9,9,18,15,8,7,10,4
"one.util.huntbugs.detect.UnnecessaryInstanceOf",93,2,1,20,25,9,0,10,1
"one.util.huntbugs.testdata.TestNumericPromotion",92,20,20,20,2,0,0,3,0
"one.util.huntbugs.testdata.TestConditionChain",91,8,8,29,2,0,0,1,0
"one.util.huntbugs.detect.FinalizerContract",90,5,2,26,14,4,0,5,0
"one.util.huntbugs.testdata.TestNonShortCircuit",89,10,10,40,2,0,0,2,2
"one.util.huntbugs.testdata.TestFinalizer",88,11,3,12,4,0,0,4,3
"one.util.huntbugs.detect.RandomUsage",87,5,2,24,17,7,0,9,1
"one.util.huntbugs.detect.InfiniteLoop",87,2,1,36,13,4,0,5,1
"one.util.huntbugs.testdata.TestInvalidMinMax",86,17,17,19,2,0,0,2,0
"one.util.huntbugs.detect.AtomicConcurrent",86,2,1,24,18,6,0,7,2
"one.util.huntbugs.detect.CloneContract",85,4,3,29,19,4,0,5,3
"one.util.huntbugs.detect.RegexProblems",85,3,1,34,16,4,0,6,1
"one.util.huntbugs.detect.Internationalization",85,2,1,15,13,3,0,4,1
"one.util.huntbugs.testdata.TestUnusedParameter",84,18,14,27,2,0,1,3,0
"one.util.huntbugs.testdata.TestUncalledPrivateMethod",84,16,7,11,3,0,0,4,1
"one.util.huntbugs.ReportsTest",84,3,3,3,17,9,0,9,0
"one.util.huntbugs.detect.FloatingPointComparison",84,2,1,48,17,5,0,9,0
"one.util.huntbugs.analysis.ErrorMessage",82,13,13,21,5,1,13,4,7
"one.util.huntbugs.detect.ExposeRepresentation",82,5,3,34,19,6,0,7,0
"one.util.huntbugs.repo.Repository",81,8,4,11,17,1,16,9,0
"one.util.huntbugs.detect.CovariantArrays",81,3,1,28,17,6,0,7,0
"one.util.huntbugs.flow.BackLinkAnnotator",78,8,4,23,7,0,1,2,0
"one.util.huntbugs.detect.SelfAssignment",77,1,1,20,15,4,0,4,0
"one.util.huntbugs.detect.WrongMapIterator",76,3,1,27,18,8,0,9,0
"one.util.huntbugs.testdata.TestSerializationIdiom",75,9,4,12,7,0,0,2,8
"one.util.huntbugs.flow.ClassFields",75,7,7,27,17,4,1,4,5
"one.util.huntbugs.detect.ConditionChain",75,3,1,23,13,3,0,4,1
"one.util.huntbugs.registry.DatabaseRegistry",74,7,5,16,8,1,1,5,4
"one.util.huntbugs.detect.InvalidMinMax",73,2,1,20,10,2,0,4,7
"one.util.huntbugs.detect.StaticFieldNonThreadSafe",72,3,2,22,24,7,0,10,1
"one.util.huntbugs.detect.WaitContract",72,2,2,28,19,5,0,5,0
"one.util.huntbugs.testdata.TestRedundantStreamCalls",71,13,13,14,10,0,0,6,0
"one.util.huntbugs.warning.Warning",71,12,12,21,6,0,16,1,6
"one.util.huntbugs.detect.IteratorContract",70,3,3,23,18,5,0,5,0
"one.util.huntbugs.detect.MinValueHandling",69,2,1,26,11,5,0,10,0
"one.util.huntbugs.detect.SameIfChain",68,1,1,16,20,5,0,5,2
"one.util.huntbugs.detect.StringIndex",67,3,1,21,10,3,0,5,1
"one.util.huntbugs.testdata.TestAbandonedStream",66,11,11,14,5,0,0,4,0
"one.util.huntbugs.detect.VolatileIncrement",66,2,1,28,15,4,0,5,0
"one.util.huntbugs.testdata.TestFloatComparison",65,11,11,25,2,0,0,1,0
"one.util.huntbugs.detect.DuplicateAssignment",64,1,1,20,14,4,0,4,1
"one.util.huntbugs.testdata.TestInfiniteLoop",63,8,8,17,2,0,0,2,1
"one.util.huntbugs.testdata.TestStaticFieldFromInstanceMethod",62,10,8,11,2,0,0,2,5
"one.util.huntbugs.testdata.TestExposeRepresentation",61,11,11,13,3,0,0,3,6
"one.util.huntbugs.testdata.TestStringConcatInLoop",61,6,5,15,2,0,0,3,1
"one.util.huntbugs.testdata.TestWaitContract",59,7,7,20,2,0,0,1,3
"one.util.huntbugs.detect.AppendObjectOutputStream",59,3,1,17,12,4,0,6,2
"one.util.huntbugs.detect.ReturnNull",59,2,2,21,14,4,0,5,2
"one.util.huntbugs.detect.StaticFieldFromInstanceMethod",59,2,2,20,17,4,0,5,0
"one.util.huntbugs.flow.Annotators",58,7,1,16,4,0,1,2,2
"one.util.huntbugs.repo.DirRepository",58,7,7,4,9,0,5,2,1
"one.util.huntbugs.registry.FieldContext",58,5,5,9,11,6,7,7,3
"one.util.huntbugs.detect.NonShortCircuit",58,1,1,19,16,8,0,8,0
"one.util.huntbugs.testdata.TestNegativeRemainder",57,11,11,11,5,0,0,3,2
"one.util.huntbugs.analysis.AnalysisOptions",57,4,4,9,5,1,10,5,5
"one.util.huntbugs.detect.IgnoredException",57,3,1,16,13,4,0,5,0
"one.util.huntbugs.testdata.TestDuplicateAssignment",56,10,10,10,2,0,0,1,1
"one.util.huntbugs.testdata.TestExclusiveConditions",56,8,8,28,3,0,0,3,0
"one.util.huntbugs.detect.MutableServletField",55,5,5,12,20,5,0,5,3
"one.util.huntbugs.testdata.TestIgnoredException",55,5,5,6,2,0,0,2,0
"one.util.huntbugs.detect.UnsupportedCall",55,2,2,18,14,3,0,4,0
"one.util.huntbugs.registry.ClassData",54,6,6,12,11,5,1,5,4
"one.util.huntbugs.detect.NumberConstructor",54,1,1,17,14,5,0,7,0
"one.util.huntbugs.testdata.TestUnnecessaryBoxing",53,9,9,11,2,0,0,4,0
"one.util.huntbugs.testdata.TestVolatileIncrement",53,9,9,9,2,0,0,0,6
"one.util.huntbugs.detect.UnsafeGetResource",53,2,2,14,15,5,0,6,0
"one.util.huntbugs.testdata.TestCovariantArrays",52,7,7,13,3,0,0,3,1
"one.util.huntbugs.detect.CompareUsage",52,2,1,16,14,6,0,6,0
"one.util.huntbugs.detect.LockProblems",51,2,1,22,14,4,0,6,1
"one.util.huntbugs.spi.DataTests",50,1,1,4,18,8,2,8,0
"one.util.huntbugs.testdata.TestStringIndex",49,10,10,10,2,0,0,1,1
"one.util.huntbugs.testdata.TestMinValueHandling",49,7,5,8,4,0,0,2,0
"one.util.huntbugs.assertions.AssertionData",49,4,4,14,2,1,2,2,5
