"method","loc","cyclo","calls","nbd","param"
"jdepend.framework.ClassFileParser.parseNextConstant()",44,15,11,3,0
"jdepend.framework.ClassFileParser.addAnnotationElementValueReferences(byte[] data, int index)",41,15,13,3,2
"jdepend.textui.JDepend.instanceMain(String[] args)",46,9,15,4,1
"jdepend.framework.ClassFileParser.toString()",53,8,26,3,0
"jdepend.swingui.JDepend.instanceMain(String[] args)",33,7,10,4,1
"jdepend.framework.ClassFileParser.addAnnotationsReferences()",16,7,4,3,0
"jdepend.framework.ClassFileParser.parseAttributes()",20,6,8,3,0
"jdepend.textui.JDepend.printCycle(JavaPackage jPackage)",31,5,14,4,1
"jdepend.framework.DependencyConstraint.match(Collection expectedPackages)",26,5,6,4,1
"jdepend.framework.DependencyConstraint.equalsAfferents(JavaPackage a, JavaPackage b)",19,5,10,4,2
"jdepend.framework.DependencyConstraint.equalsEfferents(JavaPackage a, JavaPackage b)",19,5,10,4,2
"jdepend.framework.ClassFileParser.descriptorToTypes(String descriptor)",24,5,6,3,1
"jdepend.framework.FileManager.collectFiles(File directory, Collection files)",20,5,7,3,2
"jdepend.framework.ClassFileParser.getPackageName(String s)",17,5,6,3,1
"jdepend.framework.ClassFileParser.addClassConstantReferences()",14,5,9,3,0
"jdepend.framework.JavaPackage.collectAllCycles(List list)",35,5,9,2,1
"jdepend.framework.JavaClassBuilder.buildClasses(File file)",34,4,8,3,1
"jdepend.swingui.DependTreeModel.getChild(Object parent, int index)",27,4,3,3,2
"jdepend.swingui.PackageNode.getChildren()",24,4,9,3,0
"jdepend.framework.ClassFileParser.parseConstantPool()",21,4,4,3,0
"jdepend.framework.ClassFileParser$Constant.toString()",19,4,12,3,0
"jdepend.framework.PropertyConfigurator.getFilteredPackages()",19,4,9,3,0
"jdepend.framework.ClassFileParser.parseMethods()",17,4,10,3,0
"jdepend.framework.PropertyConfigurator.getConfiguredPackages()",15,4,8,3,0
"jdepend.framework.FileManager.acceptClassFileName(String name)",13,4,4,3,1
"jdepend.framework.JDepend.toComponent(String packageName)",10,4,4,3,1
"jdepend.framework.JavaPackage.collectCycle(List list)",28,4,9,2,1
"jdepend.swingui.JDepend.createMenu(String key)",17,3,8,4,1
"jdepend.textui.JDepend.printAfferents(JavaPackage jPackage)",16,3,11,4,1
"jdepend.textui.JDepend.printEfferents(JavaPackage jPackage)",16,3,11,4,1
"jdepend.swingui.JDepend.tokenize(String input)",15,3,5,4,1
"jdepend.textui.JDepend.printAbstractClasses(JavaPackage jPackage)",14,3,9,4,1
"jdepend.textui.JDepend.printConcreteClasses(JavaPackage jPackage)",14,3,9,4,1
"jdepend.swingui.JDepend.createMenubar()",13,3,4,4,0
"jdepend.framework.DependencyConstraint.matchPackage(JavaPackage expectedPackage)",12,3,3,4,1
