"metric","1stQ","3rdQ","avg","median","min","max","max-min","stddev","u-fence","threshold"
"SLOC",38.0,129.0,116.18181818181819,74.5,4.0,572.0,568.0,134.3400151459776,265.5,500.0
"NOM",5.0,20.0,15.454545454545455,9.0,1.0,50.0,49.0,14.770139633510187,42.5,14.0
"NPM",3.0,9.0,8.727272727272727,7.5,1.0,28.0,27.0,7.117084554927211,18.0,40.0
"WMC",8.0,30.0,26.136363636363637,16.5,1.0,137.0,136.0,30.535069933893528,63.0,100.0
"DEP",2.0,4.0,3.3636363636363638,2.0,0.0,13.0,13.0,2.9161845331537166,7.0,20.0
"I-DEP",0.0,0.0,0.5909090909090909,0.0,0.0,5.0,5.0,1.3368582881684312,0.0,15.0
"FAN-IN",1.0,3.0,2.590909090909091,2.0,0.0,9.0,9.0,2.0595474107653073,6.0,10.0
"FAN-OUT",3.0,7.0,7.181818181818182,5.5,0.0,38.0,38.0,7.790649194774018,13.0,15.0
"NOA",0.0,4.0,4.090909090909091,2.0,0.0,40.0,40.0,8.195947396061559,10.0,8.0
"LCOM3",0.0,0.9375,0.6551688479123345,0.8717105263157895,0.0,1.0,1.0,0.4080119916822167,2.34375,1.0
