"type","dep","i-dep","fan-in","fan-out"
"jdepend.framework.ClassFileParser",2,0,5,14
"jdepend.textui.JDepend",7,4,2,16
"jdepend.swingui.JDepend",13,5,1,38
"jdepend.framework.JavaPackage",1,0,91,7
"jdepend.framework.CycleTest",3,0,0,3
"jdepend.xmlui.JDepend",5,2,1,4
"jdepend.framework.CollectAllCyclesTest",2,0,0,2
"jdepend.framework.JDepend",2,0,9,6
"jdepend.framework.ClassFileParserTest",4,0,0,2
"jdepend.framework.MetricTest",2,0,0,2
"jdepend.framework.JarFileParserTest",3,0,0,2
"jdepend.framework.PropertyConfigurator",9,0,5,6
"jdepend.framework.FileManager",2,0,8,6
"jdepend.framework.DependencyConstraint",2,1,4,5
"jdepend.framework.ExampleTest",5,0,0,2
"jdepend.framework.JavaClassBuilder",4,0,8,11
"jdepend.framework.ComponentTest",3,0,0,2
"jdepend.swingui.PackageNode",3,0,2,6
"jdepend.framework.ConstraintTest",1,0,0,1
"jdepend.framework.FileManagerTest",2,0,0,1
"jdepend.swingui.DependTreeModel",3,0,3,3
"jdepend.framework.JavaClass",1,0,9,4
"epayment.request.PaymentRequest",1,1,0,3
"jdepend.swingui.AboutDialog",3,0,1,7
"jdepend.swingui.DependTree",5,1,2,10
"jdepend.framework.FilterTest",4,0,0,3
"jdepend.framework.ExampleConcreteClass",6,0,0,1
"jdepend.framework.PropertyConfiguratorTest",3,0,0,3
"jdepend.framework.JDependTestCase",2,0,10,2
"jdepend.framework.PackageFilter",2,0,15,4
"jdepend.framework.AbstractParser",2,0,1,4
"epayment.processor.PaymentProcessor",4,4,1,7
"epayment.adapters.ABCGatewayAdapter",6,5,0,6
"epayment.adapters.XYZGatewayAdapter",5,5,0,6
"jdepend.swingui.EfferentNode",2,0,2,2
"epayment.response.PaymentResponse",1,1,2,3
"jdepend.framework.PackageComparator",1,0,3,1
"jdepend.framework.AllTests",2,0,0,1
"jdepend.swingui.AfferentNode",2,0,3,2
"jdepend.framework.ExampleAbstractClass",1,0,1,2
"jdepend.swingui.StatusPanel",3,0,1,2
"jdepend.framework.ProfilingHarness",1,0,0,2
"epayment.framework.IGatewayAdapter",0,0,4,0
"epayment.framework.AbstractPaymentCommand",0,0,0,1
"epayment.commands.AuthorizeCommand",1,0,0,1
"epayment.commands.CaptureCommand",1,0,0,1
"epayment.commands.CreditCommand",1,0,0,1
"epayment.commands.SaleCommand",1,0,0,1
"epayment.commands.VoidSaleCommand",1,0,0,1
"epayment.framework.IPaymentRequest",1,0,3,0
"epayment.processor.PaymentProcessorConfigurator",1,1,1,1
"jdepend.framework.ExampleInterface",1,0,1,0
"epayment.framework.IPaymentResponse",1,0,4,0
"epayment.framework.PaymentException",0,0,3,1
"epayment.framework.IPaymentCommand",0,0,2,0
"jdepend.framework.ParserListener",0,0,1,0
