"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa","lcom3"
"jdepend.framework.ClassFileParser",572,50,23,137,2,0,5,14,40,0.6224489795918368
"jdepend.textui.JDepend",359,50,9,77,7,4,2,16,3,0.9795918367346939
"jdepend.swingui.JDepend",346,44,19,59,13,5,1,38,10,0.8953488372093024
"jdepend.framework.JavaPackage",161,28,28,46,1,0,91,7,5,0.9259259259259259
"jdepend.framework.CycleTest",147,9,7,12,3,0,0,3,0,0.0
"jdepend.xmlui.JDepend",135,29,3,30,5,2,1,4,0,0.0
"jdepend.framework.CollectAllCyclesTest",135,8,7,9,2,0,0,2,0,0.0
"jdepend.framework.JDepend",129,20,18,34,2,0,9,6,6,0.868421052631579
"jdepend.framework.ClassFileParserTest",120,11,9,11,4,0,0,2,1,1.0
"jdepend.framework.MetricTest",101,11,3,11,2,0,0,2,2,0.95
"jdepend.framework.JarFileParserTest",89,12,8,12,3,0,0,2,2,0.9545454545454546
"jdepend.framework.PropertyConfigurator",89,8,8,17,9,0,5,6,2,0.9285714285714286
"jdepend.framework.FileManager",86,14,8,26,2,0,8,6,2,0.9615384615384616
"jdepend.framework.DependencyConstraint",85,9,5,25,2,1,4,5,1,1.0
"jdepend.framework.ExampleTest",85,7,7,10,5,0,0,2,2,0.9166666666666666
"jdepend.framework.JavaClassBuilder",84,8,8,13,4,0,8,11,2,0.9285714285714286
"jdepend.framework.ComponentTest",83,9,2,9,3,0,0,2,2,0.9375
"jdepend.swingui.PackageNode",81,11,8,17,3,0,2,6,4,0.85
"jdepend.framework.ConstraintTest",72,5,4,5,1,0,0,1,1,1.0
"jdepend.framework.FileManagerTest",71,13,11,13,2,0,0,1,1,1.0
"jdepend.swingui.DependTreeModel",68,9,9,19,3,0,3,3,2,0.9375
"jdepend.framework.JavaClass",65,14,14,16,1,0,9,4,5,0.8461538461538461
"epayment.request.PaymentRequest",63,14,8,14,1,1,0,3,6,0.8076923076923077
"jdepend.swingui.AboutDialog",59,5,3,3,3,0,1,7,0,0.0
"jdepend.swingui.DependTree",56,9,6,11,5,1,2,10,2,0.9375
"jdepend.framework.FilterTest",52,8,5,8,4,0,0,3,0,0.0
"jdepend.framework.ExampleConcreteClass",49,7,7,8,6,0,0,1,1,1.0
"jdepend.framework.PropertyConfiguratorTest",46,7,4,7,3,0,0,3,0,0.0
"jdepend.framework.JDependTestCase",45,8,6,9,2,0,10,2,6,0.6428571428571429
"jdepend.framework.PackageFilter",45,7,7,12,2,0,15,4,1,1.0
"jdepend.framework.AbstractParser",38,8,4,11,2,0,1,4,3,0.8571428571428571
"epayment.processor.PaymentProcessor",35,5,4,6,4,4,1,7,2,0.875
"epayment.adapters.ABCGatewayAdapter",34,7,7,7,6,5,0,6,0,0.0
"epayment.adapters.XYZGatewayAdapter",33,7,7,7,5,5,0,6,0,0.0
"jdepend.swingui.EfferentNode",29,5,3,8,2,0,2,2,0,0.0
"epayment.response.PaymentResponse",28,6,4,6,1,1,2,3,2,0.9
"jdepend.framework.PackageComparator",28,5,4,6,1,0,3,1,2,0.875
"jdepend.framework.AllTests",23,1,2,2,2,0,0,1,0,0.0
"jdepend.swingui.AfferentNode",21,4,2,5,2,0,3,2,0,0.0
"jdepend.framework.ExampleAbstractClass",17,5,5,5,1,0,1,2,1,1.0
"jdepend.swingui.StatusPanel",16,2,2,2,3,0,1,2,0,0.0
"jdepend.framework.ProfilingHarness",16,0,1,3,1,0,0,2,0,0.0
"epayment.framework.IGatewayAdapter",14,6,6,6,0,0,4,0,0,0.0
"epayment.framework.AbstractPaymentCommand",12,3,2,3,0,0,0,1,1,1.0
"epayment.commands.AuthorizeCommand",11,2,2,2,1,0,0,1,0,0.0
"epayment.commands.CaptureCommand",11,2,2,2,1,0,0,1,0,0.0
"epayment.commands.CreditCommand",11,2,2,2,1,0,0,1,0,0.0
"epayment.commands.SaleCommand",11,2,2,2,1,0,0,1,0,0.0
"epayment.commands.VoidSaleCommand",11,2,2,2,1,0,0,1,0,0.0
"epayment.framework.IPaymentRequest",10,6,6,6,1,0,3,0,0,0.0
"epayment.processor.PaymentProcessorConfigurator",10,2,2,2,1,1,1,1,0,0.0
"jdepend.framework.ExampleInterface",8,4,4,4,1,0,1,0,0,0.0
"epayment.framework.IPaymentResponse",6,2,2,2,1,0,4,0,0,0.0
"epayment.framework.PaymentException",6,1,1,1,0,0,3,1,0,0.0
"epayment.framework.IPaymentCommand",5,1,1,1,0,0,2,0,0,0.0
"jdepend.framework.ParserListener",4,1,1,1,0,0,1,0,0,0.0
