"from","to","number"
"org.jfree.chart.ChartPanel","org.jfree.chart.panel.Overlay",1
"org.jfree.chart.ChartPanel","org.jfree.chart.plot.Pannable",1
"org.jfree.chart.ChartPanel","org.jfree.chart.plot.Zoomable",1
"org.jfree.chart.ChartRenderingInfo","org.jfree.chart.plot.PlotRenderingInfo",1
"org.jfree.chart.JFreeChart","org.jfree.chart.entity.JFreeChartEntity",1
"org.jfree.chart.JFreeChart","org.jfree.chart.event.ChartChangeEvent",1
"org.jfree.chart.JFreeChart","org.jfree.chart.event.ChartProgressEvent",1
"org.jfree.chart.JFreeChart","org.jfree.chart.plot.Plot",1
"org.jfree.chart.annotations.Annotation","org.jfree.chart.event.AnnotationChangeEvent",1
"org.jfree.chart.annotations.Annotation","org.jfree.chart.event.AnnotationChangeListener",1
"org.jfree.chart.annotations.CategoryAnnotation","org.jfree.chart.plot.CategoryPlot",1
"org.jfree.chart.annotations.XYAnnotation","org.jfree.chart.plot.XYPlot",1
"org.jfree.chart.axis.Axis","org.jfree.chart.entity.AxisEntity",1
"org.jfree.chart.axis.Axis","org.jfree.chart.event.AxisChangeEvent",1
"org.jfree.chart.axis.CategoryAxis","org.jfree.chart.entity.CategoryLabelEntity",1
"org.jfree.chart.axis.CategoryAxis","org.jfree.chart.plot.CategoryPlot",1
"org.jfree.chart.entity.PlotEntity","org.jfree.chart.plot.Plot",1
"org.jfree.chart.event.MarkerChangeEvent","org.jfree.chart.plot.Marker",1
"org.jfree.chart.event.MarkerChangeListener","org.jfree.chart.plot.Marker",1
"org.jfree.chart.event.OverlayChangeListener","org.jfree.chart.panel.Overlay",1
"org.jfree.chart.event.PlotChangeEvent","org.jfree.chart.plot.Plot",1
"org.jfree.chart.event.TitleChangeEvent","org.jfree.chart.title.Title",1
"org.jfree.chart.labels.CrosshairLabelGenerator","org.jfree.chart.plot.Crosshair",1
"org.jfree.chart.labels.StandardCrosshairLabelGenerator","org.jfree.chart.plot.Crosshair",1
"org.jfree.chart.panel.CrosshairOverlay","org.jfree.chart.plot.Crosshair",1
"org.jfree.chart.plot.CategoryPlot","org.jfree.chart.renderer.category.CategoryItemRenderer",1
"org.jfree.chart.plot.PolarPlot","org.jfree.chart.renderer.PolarItemRenderer",1
"org.jfree.chart.plot.WaferMapPlot","org.jfree.chart.renderer.WaferMapRenderer",1
"org.jfree.chart.plot.XYPlot","org.jfree.chart.renderer.xy.AbstractXYItemRenderer",1
"org.jfree.chart.plot.XYPlot","org.jfree.chart.renderer.xy.XYItemRenderer",1
"org.jfree.chart.plot.XYPlot","org.jfree.chart.renderer.xy.XYItemRendererState",1
"org.jfree.chart.renderer.PaintScale","org.jfree.chart.renderer.xy.XYBlockRenderer",1
"org.jfree.data.general.SeriesDataset","org.jfree.data.xy.XYDataset",1
