"method","loc","cyclo","calls","nbd","param"
"org.jfree.chart.plot.XYPlot.equals(Object obj)",214,57,40,5,1
"org.jfree.chart.plot.CategoryPlot.equals(Object obj)",191,52,33,6,1
"org.jfree.chart.plot.PiePlot.equals(Object obj)",180,50,28,5,1
"org.jfree.chart.renderer.xy.XYDifferenceRenderer.drawItemPass0(Graphics2D x_graphics, Rectangle2D x_dataArea, PlotRenderingInfo x_info, XYPlot x_plot, ValueAxis x_domainAxis, ValueAxis x_rangeAxis, XYDataset x_dataset, int x_series, int x_item, CrosshairState x_crosshairState)",454,50,90,4,10
"org.jfree.data.jdbc.JDBCXYDataset.executeQuery(Connection con, String query)",195,48,28,6,2
"org.jfree.chart.renderer.xy.CyclicXYItemRenderer.drawItem(Graphics2D g2, XYItemRendererState state, Rectangle2D dataArea, PlotRenderingInfo info, XYPlot plot, ValueAxis domainAxis, ValueAxis rangeAxis, XYDataset dataset, int series, int item, CrosshairState crosshairState, int pass)",196,48,31,3,12
"org.jfree.chart.plot.CategoryPlot.hashCode()",95,47,41,6,0
"org.jfree.chart.plot.XYPlot.draw(Graphics2D g2, Rectangle2D area, Point2D anchor, PlotState parentState, PlotRenderingInfo info)",255,43,142,5,5
"org.jfree.chart.plot.PiePlot3D.drawSide(Graphics2D g2, Rectangle2D plotArea, Arc2D arc, Area front, Area back, Paint paint, Paint outlinePaint, Stroke outlineStroke, boolean drawFront, boolean drawBack)",370,42,248,5,10
"org.jfree.chart.renderer.AbstractRenderer.equals(Object obj)",159,41,31,2,1
"org.jfree.chart.renderer.xy.StandardXYItemRenderer.drawItem(Graphics2D g2, XYItemRendererState state, Rectangle2D dataArea, PlotRenderingInfo info, XYPlot plot, ValueAxis domainAxis, ValueAxis rangeAxis, XYDataset dataset, int series, int item, CrosshairState crosshairState, int pass)",207,40,78,5,12
"org.jfree.chart.renderer.xy.StackedXYAreaRenderer.drawItem(Graphics2D g2, XYItemRendererState state, Rectangle2D dataArea, PlotRenderingInfo info, XYPlot plot, ValueAxis domainAxis, ValueAxis rangeAxis, XYDataset dataset, int series, int item, CrosshairState crosshairState, int pass)",238,37,102,5,12
