"namespace","ca","ce","instability","abstractness","distance"
"org.jfree.data.xy",122,5,0.03937007874015748,0.17647058823529413,0.7841593330245484
"org.jfree.chart.axis",142,12,0.07792207792207792,0.0945945945945946,0.8274833274833275
"org.jfree.chart.plot",160,22,0.12087912087912088,0.0958904109589041,0.7832304681619751
"org.jfree.chart.renderer.xy",25,16,0.3902439024390244,0.047619047619047616,0.562137049941928
"org.jfree.chart.labels",63,10,0.136986301369863,0.19642857142857142,0.6665851272015656
"org.jfree.chart",399,26,0.0611764705882353,0.10204081632653061,0.8367827130852341
"org.jfree.data.time",23,6,0.20689655172413793,0.0425531914893617,0.7505502567865003
"org.jfree.chart.renderer.category",18,17,0.4857142857142857,0.06666666666666667,0.4476190476190476
"org.jfree.data",165,3,0.017857142857142856,0.25,0.7321428571428572
"org.jfree.chart.util",515,2,0.0038684719535783366,0.05405405405405406,0.9420774739923676
"org.jfree.data.general",121,8,0.06201550387596899,0.3888888888888889,0.5490956072351421
"org.jfree.chart.annotations",13,14,0.5185185185185185,0.18181818181818182,0.29966329966329974
"org.jfree.chart.block",13,6,0.3157894736842105,0.15151515151515152,0.532695374800638
"org.jfree.data.statistics",15,6,0.2857142857142857,0.22580645161290322,0.48847926267281105
"org.jfree.chart.plot.dial",0,7,1.0,0.21428571428571427,0.2142857142857142
"org.jfree.chart.ui",113,1,0.008771929824561403,0.08695652173913043,0.9042715484363082
"org.jfree.chart.renderer",22,15,0.40540540540540543,0.13636363636363635,0.4582309582309583
"org.jfree.chart.entity",64,10,0.13513513513513514,0.047619047619047616,0.8172458172458172
"org.jfree.chart.event",130,7,0.051094890510948905,0.45,0.4989051094890511
"org.jfree.chart.needle",1,2,0.6666666666666666,0.05,0.2833333333333333
"org.jfree.chart.urls",32,6,0.15789473684210525,0.2,0.6421052631578947
"org.jfree.chart.title",12,12,0.5,0.05263157894736842,0.44736842105263164
"org.jfree.chart.editor",1,8,0.8888888888888888,0.16666666666666666,0.05555555555555558
"org.jfree.chart.imagemap",2,4,0.6666666666666666,0.16666666666666666,0.16666666666666674
"org.jfree.data.category",91,4,0.042105263157894736,0.2727272727272727,0.6851674641148325
"org.jfree.data.gantt",2,9,0.8181818181818182,0.09090909090909091,0.09090909090909083
"org.jfree.chart.text",36,2,0.05263157894736842,0.1,0.8473684210526315
"org.jfree.data.function",2,2,0.5,0.1111111111111111,0.38888888888888884
"org.jfree.data.xml",0,4,1.0,0.1111111111111111,0.11111111111111116
"org.jfree.data.time.ohlc",0,6,1.0,0.0,0.0
"org.jfree.chart.encoders",1,1,0.5,0.3333333333333333,0.16666666666666674
"org.jfree.data.json.impl",1,0,0.0,0.3333333333333333,0.6666666666666667
"org.jfree.data.resources",0,0,0.0,0.0,1.0
"org.jfree.chart.date",14,0,0.0,0.5,0.5
"org.jfree.chart.panel",4,6,0.6,0.25,0.15000000000000002
"org.jfree.data.jdbc",0,4,1.0,0.0,0.0
"org.jfree.data.json",0,5,1.0,0.0,0.0
"org.jfree.chart.resources",0,0,0.0,0.0,1.0
"org.jfree.data.io",0,1,1.0,0.0,0.0
