"namespace","noc","nac"
"org.jfree.data.xy",85,15
"org.jfree.chart.axis",74,7
"org.jfree.chart.plot",73,7
"org.jfree.chart.renderer.xy",63,3
"org.jfree.chart.labels",56,11
"org.jfree.chart",49,5
"org.jfree.data.time",47,2
"org.jfree.chart.renderer.category",45,3
"org.jfree.data",40,10
"org.jfree.chart.util",37,2
"org.jfree.data.general",36,14
"org.jfree.chart.annotations",33,6
"org.jfree.chart.block",33,5
"org.jfree.data.statistics",31,7
"org.jfree.chart.plot.dial",28,6
"org.jfree.chart.ui",23,2
"org.jfree.chart.renderer",22,3
"org.jfree.chart.entity",21,1
"org.jfree.chart.event",20,9
"org.jfree.chart.needle",20,1
"org.jfree.chart.urls",20,4
"org.jfree.chart.title",19,1
"org.jfree.chart.editor",12,2
"org.jfree.chart.imagemap",12,2
"org.jfree.data.category",11,3
"org.jfree.data.gantt",11,1
"org.jfree.chart.text",10,1
"org.jfree.data.function",9,1
"org.jfree.data.xml",9,1
"org.jfree.data.time.ohlc",8,0
"org.jfree.chart.encoders",6,2
"org.jfree.data.json.impl",6,2
"org.jfree.data.resources",6,0
"org.jfree.chart.date",4,2
"org.jfree.chart.panel",4,1
"org.jfree.data.jdbc",3,0
"org.jfree.data.json",2,0
"org.jfree.chart.resources",1,0
"org.jfree.data.io",1,0
