"metric","1stQ","3rdQ","avg","median","min","max","max-min","stddev","u-fence","threshold"
"SLOC",39.0,162.0,139.67053854276662,82.0,3.0,2755.0,2752.0,212.5667674672938,346.5,500.0
"NOM",4.0,13.0,11.545934530095037,6.0,0.0,231.0,231.0,17.93643451329078,26.5,14.0
"NPM",3.0,11.0,10.538542766631467,6.0,0.0,206.0,206.0,16.207711384724746,23.0,40.0
"WMC",4.0,24.0,22.57444561774023,9.0,1.0,668.0,667.0,44.71110482889022,54.0,100.0
"DEP",3.0,13.0,9.81414994720169,7.0,0.0,87.0,87.0,10.112111278025134,28.0,20.0
"I-DEP",1.0,5.0,4.133051742344245,2.0,0.0,74.0,74.0,5.772640151559114,11.0,15.0
"FAN-IN",0.0,10.0,9.653643083421331,2.0,0.0,289.0,289.0,24.558496314224918,25.0,10.0
"FAN-OUT",2.0,9.0,6.729672650475185,4.0,0.0,76.0,76.0,7.770792267126957,19.5,15.0
"NOA",0.0,3.0,2.9883843717001057,1.0,0.0,78.0,78.0,6.72014672019589,7.5,8.0
"LCOM3",0.0,0.9166666666666666,0.48226525187908664,0.7142857142857143,0.0,2.0,2.0,0.4570540714975722,2.2916666666666665,1.0
