"type","dep","i-dep","fan-in","fan-out"
"org.jfree.chart.plot.XYPlot",70,33,131,51
"org.jfree.chart.plot.CategoryPlot",69,32,106,54
"org.jfree.chart.ChartPanel",73,18,21,32
"org.jfree.chart.plot.PiePlot",62,30,27,41
"org.jfree.data.general.DatasetUtils",30,26,30,32
"org.jfree.chart.renderer.AbstractRenderer",41,18,6,26
"org.jfree.chart.ChartFactory",87,74,16,76
"org.jfree.chart.axis.DateAxis",29,12,21,20
"org.jfree.data.general.DatasetUtilsTest",34,25,0,31
"org.jfree.chart.plot.PolarPlot",54,27,18,40
"org.jfree.chart.plot.XYPlotTest",47,28,0,31
"org.jfree.chart.renderer.xy.AbstractXYItemRenderer",58,33,19,43
"org.jfree.chart.StandardChartTheme",61,50,9,56
"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer",56,33,8,43
"org.jfree.chart.plot.CategoryPlotTest",43,22,0,24
"org.jfree.data.time.TimeSeriesTest",18,7,0,9
"org.jfree.chart.axis.DateAxisTest",25,9,0,15
"org.jfree.chart.axis.Axis",38,14,13,20
"org.jfree.chart.JFreeChart",57,26,104,37
"org.jfree.chart.axis.ValueAxis",27,10,99,19
"org.jfree.chart.plot.SpiderWebPlot",46,20,7,28
"org.jfree.chart.plot.ThermometerPlot",37,14,6,25
"org.jfree.chart.axis.CategoryAxis",35,17,59,25
"org.jfree.chart.renderer.xy.XYDifferenceRenderer",31,16,10,25
"org.jfree.chart.plot.PiePlot3D",28,8,4,16
"org.jfree.chart.renderer.category.BarRenderer",37,20,41,29
"org.jfree.chart.axis.PeriodAxis",38,13,13,23
"org.jfree.chart.plot.Plot",52,27,48,38
"org.jfree.chart.axis.CyclicNumberAxis",24,8,7,15
"org.jfree.data.time.TimeSeries",19,7,82,17
"org.jfree.chart.plot.MeterPlot",39,13,7,21
"org.jfree.chart.renderer.xy.XYBarRenderer",35,21,25,33
"org.jfree.chart.axis.NumberAxis",22,8,62,15
"org.jfree.chart.renderer.category.BoxAndWhiskerRenderer",36,17,21,25
"org.jfree.chart.axis.LogAxis",23,9,17,17
"org.jfree.chart.axis.LogarithmicAxis",10,3,2,9
"org.jfree.data.xy.XYSeriesTest",8,3,0,6
"org.jfree.chart.renderer.AbstractRendererTest",31,12,0,16
"org.jfree.chart.block.BorderArrangementTest",10,3,0,3
"org.jfree.chart.renderer.xy.XYLineAndShapeRenderer",28,15,20,27
"org.jfree.chart.plot.FastScatterPlot",34,14,8,23
"org.jfree.chart.renderer.DefaultPolarItemRenderer",39,21,8,26
"org.jfree.chart.title.TextTitle",33,19,25,27
"org.jfree.chart.plot.PiePlotTest",30,13,0,15
"org.jfree.chart.LegendItem",24,9,83,13
"org.jfree.chart.renderer.xy.StandardXYItemRenderer",32,16,16,29
"org.jfree.chart.plot.CompassPlot",37,20,4,27
"org.jfree.data.gantt.TaskSeriesCollectionTest",8,3,0,4
"org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer",36,17,8,25
"org.jfree.chart.renderer.xy.CandlestickRenderer",30,16,10,24
"org.jfree.data.xy.XYSeries",10,6,121,13
"org.jfree.chart.axis.SymbolAxis",26,8,10,14
"org.jfree.chart.text.TextUtils",13,0,30,4
"org.jfree.chart.plot.dial.StandardDialScale",22,5,24,13
"org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset",9,7,11,15
"org.jfree.data.time.DynamicTimeSeriesCollection",8,6,0,14
"org.jfree.chart.util.SerialUtils",24,0,93,7
"org.jfree.chart.panel.CrosshairOverlay",28,10,5,19
"org.jfree.chart.renderer.category.BoxAndWhiskerRendererTest",27,12,0,14
"org.jfree.chart.title.PaintScaleLegend",27,14,7,21
"org.jfree.chart.plot.CombinedDomainXYPlot",22,15,4,20
"org.jfree.data.category.DefaultIntervalCategoryDataset",10,5,25,10
"org.jfree.chart.renderer.xy.XYAreaRenderer",32,18,21,29
"org.jfree.chart.renderer.category.LineAndShapeRenderer",19,11,19,18
"org.jfree.chart.plot.dial.DialPlot",19,10,11,18
"org.jfree.chart.block.BorderArrangement",7,3,10,6
"org.jfree.chart.editor.DefaultPlotEditor",33,15,2,20
"org.jfree.data.statistics.DefaultStatisticalCategoryDataset",9,7,15,15
"org.jfree.chart.plot.CombinedRangeXYPlot",20,13,3,18
"org.jfree.chart.plot.CombinedDomainCategoryPlot",20,12,3,17
"org.jfree.data.xy.XYSeriesCollection",18,11,57,22
"org.jfree.chart.date.SerialDate",5,0,5,6
"org.jfree.chart.plot.MultiplePiePlot",36,17,10,21
"org.jfree.chart.renderer.category.GanttRenderer",22,11,8,16
"org.jfree.chart.title.LegendTitle",37,25,10,31
"org.jfree.chart.renderer.category.StatisticalBarRenderer",28,14,14,22
"org.jfree.data.xy.XYSeriesCollectionTest",13,5,0,7
"org.jfree.chart.plot.RingPlot",33,13,6,24
"org.jfree.data.time.TimeSeriesCollection",22,11,19,22
"org.jfree.chart.renderer.xy.StackedXYAreaRenderer",33,18,9,26
"org.jfree.chart.plot.dial.DialValueIndicator",28,9,6,19
"org.jfree.data.time.WeekTest",12,1,0,1
"org.jfree.chart.renderer.xy.StackedXYAreaRenderer2",20,12,10,21
"org.jfree.data.gantt.TaskSeriesCollection",11,6,23,14
"org.jfree.chart.title.LegendGraphic",24,12,8,18
"org.jfree.data.DefaultKeyedValuesTest",9,2,0,4
"org.jfree.chart.JFreeChartTest",31,15,0,18
"org.jfree.data.time.TimeSeriesCollectionTest",17,4,0,6
"org.jfree.data.category.DefaultIntervalCategoryDatasetTest",8,3,0,3
"org.jfree.chart.util.ShapeUtils",13,0,29,5
"org.jfree.chart.plot.CombinedRangeCategoryPlot",22,13,3,18
"org.jfree.chart.plot.Crosshair",20,8,11,11
"org.jfree.data.xy.DefaultTableXYDataset",13,9,28,18
"org.jfree.data.statistics.StatisticsTest",7,0,0,3
"org.jfree.chart.renderer.xy.XYStepAreaRenderer",19,11,9,19
"org.jfree.chart.renderer.category.StackedAreaRenderer",17,10,9,20
"org.jfree.data.gantt.SlidingGanttCategoryDataset",6,4,5,9
"org.jfree.data.time.Week",6,1,43,6
"org.jfree.chart.plot.dial.DialPointer",19,5,2,14
"org.jfree.chart.annotations.XYTextAnnotation",26,11,19,19
"org.jfree.chart.plot.DefaultDrawingSupplier",17,4,22,9
"org.jfree.chart.renderer.xy.XYShapeRenderer",31,17,6,25
"org.jfree.chart.renderer.category.ScatterRenderer",24,12,8,18
"org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer",26,14,11,20
"org.jfree.chart.renderer.category.MinMaxCategoryRenderer",27,9,9,14
"org.jfree.chart.renderer.category.LayeredBarRenderer",16,8,8,14
"org.jfree.data.time.QuarterTest",12,1,0,1
"org.jfree.data.KeyedObjects2DTest",7,2,0,2
"org.jfree.data.jdbc.JDBCXYDataset",15,6,0,14
"org.jfree.chart.plot.PolarPlotTest",23,12,0,12
"org.jfree.chart.block.AbstractBlock",15,8,6,13
