"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa","lcom3"
"org.jfree.chart.plot.XYPlot",2755,231,206,668,70,33,131,51,63,0.8681159420289855
"org.jfree.chart.plot.CategoryPlot",2422,220,198,606,69,32,106,54,60,0.8687214611872146
"org.jfree.chart.ChartPanel",1634,110,97,293,73,18,21,32,78,0.6467889908256881
"org.jfree.chart.plot.PiePlot",1577,131,110,297,62,30,27,41,63,0.7680097680097681
"org.jfree.data.general.DatasetUtils",1459,58,57,344,30,26,30,32,0,0.0
"org.jfree.chart.renderer.AbstractRenderer",1229,158,149,310,41,18,6,26,57,0.8255671024695496
"org.jfree.chart.ChartFactory",1070,54,54,111,87,74,16,76,1,1.0188679245283019
"org.jfree.chart.axis.DateAxis",1065,59,47,170,29,12,21,20,11,0.9310344827586207
"org.jfree.data.general.DatasetUtilsTest",1045,65,61,65,34,25,0,31,1,1.0
"org.jfree.chart.plot.PolarPlot",1025,93,82,231,54,27,18,40,30,0.842391304347826
"org.jfree.chart.plot.XYPlotTest",997,47,45,47,47,28,0,31,0,0.0
"org.jfree.chart.renderer.xy.AbstractXYItemRenderer",979,53,41,160,58,33,19,43,12,0.8942307692307693
"org.jfree.chart.StandardChartTheme",947,94,71,199,61,50,9,56,32,0.8333333333333334
"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer",934,59,47,165,56,33,8,43,13,0.896551724137931
"org.jfree.chart.plot.CategoryPlotTest",909,37,37,37,43,22,0,24,0,0.0
"org.jfree.data.time.TimeSeriesTest",847,46,46,46,18,7,0,9,5,0.9555555555555556
"org.jfree.chart.axis.DateAxisTest",842,27,26,27,25,9,0,15,1,1.0
"org.jfree.chart.axis.Axis",787,77,63,159,38,14,13,20,42,0.7302631578947368
"org.jfree.chart.JFreeChart",778,73,67,159,57,26,104,37,24,0.8472222222222222
"org.jfree.chart.axis.ValueAxis",777,72,60,177,27,10,99,19,28,0.8153923541247484
"org.jfree.chart.plot.SpiderWebPlot",766,68,60,141,46,20,7,28,39,0.7401454267125909
"org.jfree.chart.plot.ThermometerPlot",762,72,65,165,37,14,6,25,50,0.6549295774647887
"org.jfree.chart.axis.CategoryAxis",754,54,43,147,35,17,59,25,14,0.8773584905660378
"org.jfree.chart.renderer.xy.XYDifferenceRenderer",711,25,18,114,31,16,10,25,6,0.8958333333333334
"org.jfree.chart.plot.PiePlot3D",693,12,9,86,28,8,4,16,3,0.9090909090909091
"org.jfree.chart.renderer.category.BarRenderer",686,49,40,143,37,20,41,29,21,0.7936507936507936
"org.jfree.chart.axis.PeriodAxis",664,46,38,114,38,13,13,23,15,0.8444444444444444
"org.jfree.chart.plot.Plot",663,70,59,159,52,27,48,38,31,0.782608695652174
"org.jfree.chart.axis.CyclicNumberAxis",654,35,27,138,24,8,7,15,12,0.8382352941176471
"org.jfree.data.time.TimeSeries",648,58,53,149,19,7,82,17,11,0.9122807017543859
"org.jfree.chart.plot.MeterPlot",638,55,46,125,39,13,7,21,28,0.75
"org.jfree.chart.renderer.xy.XYBarRenderer",626,47,42,136,35,21,25,33,17,0.8363171355498721
"org.jfree.chart.axis.NumberAxis",596,38,27,112,22,8,62,15,11,0.8648648648648649
"org.jfree.chart.renderer.category.BoxAndWhiskerRenderer",574,30,24,105,36,17,21,25,9,0.8620689655172413
"org.jfree.chart.axis.LogAxis",564,40,30,97,23,9,17,17,7,0.9230769230769231
"org.jfree.chart.axis.LogarithmicAxis",561,28,19,140,10,3,2,9,10,0.8333333333333334
"org.jfree.data.xy.XYSeriesTest",542,37,37,37,8,3,0,6,1,1.0
"org.jfree.chart.renderer.AbstractRendererTest",534,17,17,17,31,12,0,16,2,0.96875
"org.jfree.chart.block.BorderArrangementTest",525,6,6,6,10,3,0,3,1,1.0
"org.jfree.chart.renderer.xy.XYLineAndShapeRenderer",515,48,40,121,28,15,20,27,14,0.8617021276595744
"org.jfree.chart.plot.FastScatterPlot",507,49,43,99,34,14,8,23,18,0.8425925925925926
"org.jfree.chart.renderer.DefaultPolarItemRenderer",505,38,35,76,39,21,8,26,13,0.8378378378378378
"org.jfree.chart.title.TextTitle",475,36,28,96,33,19,25,27,13,0.8285714285714286
"org.jfree.chart.plot.PiePlotTest",472,18,18,18,30,13,0,15,1,1.0
"org.jfree.chart.LegendItem",469,58,55,87,24,9,83,13,26,0.7807017543859649
"org.jfree.chart.renderer.xy.StandardXYItemRenderer",466,39,35,116,32,16,16,29,20,0.75
"org.jfree.chart.plot.CompassPlot",442,34,31,91,37,20,4,27,20,0.7121212121212122
"org.jfree.data.gantt.TaskSeriesCollectionTest",435,27,24,27,8,3,0,4,0,0.0
"org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer",434,23,16,69,36,17,8,25,5,0.9090909090909091
