"from","to","number"
"net.sourceforge.pmd.PMD","net.sourceforge.pmd.benchmark.TextTimingReportRenderer",1
"net.sourceforge.pmd.PMD","net.sourceforge.pmd.cli.PMDCommandLineInterface",1
"net.sourceforge.pmd.Report","net.sourceforge.pmd.renderers.AbstractAccumulatingRenderer",1
"net.sourceforge.pmd.RuleSetWriter","net.sourceforge.pmd.properties.PropertyDescriptor",1
"net.sourceforge.pmd.ant.PMDTask","net.sourceforge.pmd.ant.internal.PMDTaskImpl",1
"net.sourceforge.pmd.lang.LanguageVersionHandler","net.sourceforge.pmd.lang.metrics.LanguageMetricsProvider",1
"net.sourceforge.pmd.lang.apex.ast.ASTMethod","net.sourceforge.pmd.lang.apex.metrics.signature.ApexOperationSignature",1
"net.sourceforge.pmd.lang.apex.metrics.impl.CycloMetric","net.sourceforge.pmd.lang.apex.metrics.impl.visitors.StandardCycloVisitor",1
"net.sourceforge.pmd.lang.ast.Node","net.sourceforge.pmd.lang.ast.xpath.Attribute",1
"net.sourceforge.pmd.lang.ast.Node","net.sourceforge.pmd.lang.dfa.DataFlowNode",1
"net.sourceforge.pmd.lang.ast.SignedNode","net.sourceforge.pmd.lang.metrics.Signature",1
"net.sourceforge.pmd.lang.java.ast.ASTCompilationUnit","net.sourceforge.pmd.lang.java.typeresolution.ClassTypeResolver",1
"net.sourceforge.pmd.lang.java.ast.ASTFieldDeclaration","net.sourceforge.pmd.lang.java.multifile.signature.JavaFieldSignature",1
"net.sourceforge.pmd.lang.java.ast.ASTMethodOrConstructorDeclaration","net.sourceforge.pmd.lang.java.multifile.signature.JavaOperationSignature",1
"net.sourceforge.pmd.lang.java.ast.ASTVariableDeclaratorId","net.sourceforge.pmd.lang.java.symboltable.VariableNameDeclaration",1
"net.sourceforge.pmd.lang.java.ast.JavaQualifiedName","net.sourceforge.pmd.lang.java.qname.JavaOperationQualifiedName",1
"net.sourceforge.pmd.lang.java.ast.JavaQualifiedName","net.sourceforge.pmd.lang.java.qname.JavaTypeQualifiedName",1
"net.sourceforge.pmd.lang.java.ast.JavaQualifiedName","net.sourceforge.pmd.lang.java.qname.QualifiedNameFactory",1
"net.sourceforge.pmd.lang.java.metrics.impl.CycloMetric","net.sourceforge.pmd.lang.java.metrics.impl.internal.CycloVisitor",1
"net.sourceforge.pmd.lang.java.typeresolution.MethodTypeResolution","net.sourceforge.pmd.lang.java.typeresolution.typeinference.TypeInferenceResolver",1
"net.sourceforge.pmd.lang.rule.stat.StatisticalRule","net.sourceforge.pmd.stat.DataPoint",1
"net.sourceforge.pmd.lang.rule.stat.StatisticalRule","net.sourceforge.pmd.stat.Metric",1
"net.sourceforge.pmd.properties.PropertyBuilder","net.sourceforge.pmd.properties.builders.PropertyDescriptorBuilder",1
