"method","loc","cyclo","calls","nbd","param"
"com.concurrent_ruby.ext.jsr166e.ConcurrentHashMapV8$TreeBin.deleteTreeNode(TreeNode p)",168,60,6,8,1
"com.concurrent_ruby.ext.jsr166e.nounsafe.ConcurrentHashMapV8$TreeBin.deleteTreeNode(TreeNode p)",168,60,6,8,1
"net.sourceforge.pmd.lang.java.ast.DumpFacade.dump(JavaNode node, String prefix)",176,59,88,3,2
"net.sourceforge.pmd.lang.ecmascript.ast.DumpFacade.dump(EcmascriptNode<?> node, String prefix)",161,56,76,2,2
"net.sourceforge.pmd.cpd.CsTokenizer$Tokenizer.getNextToken()",204,55,49,6,0
"com.concurrent_ruby.ext.jsr166e.nounsafe.ConcurrentHashMapV8.internalComputeIfAbsent(K k, Fun<? super K,?> mf)",126,52,32,8,2
"com.concurrent_ruby.ext.jsr166e.ConcurrentHashMapV8.internalComputeIfAbsent(K k, Fun<? super K,?> mf)",126,52,30,8,2
"net.sourceforge.pmd.lang.java.symboltable.SimpleTypedNameDeclaration.internalEquals(Object obj)",65,47,37,4,1
"com.concurrent_ruby.ext.jsr166e.nounsafe.ConcurrentHashMapV8.internalPutIfAbsent(Object k, Object v)",99,45,25,8,2
"com.concurrent_ruby.ext.jsr166e.ConcurrentHashMapV8.internalPutIfAbsent(Object k, Object v)",99,45,23,8,2
"com.concurrent_ruby.ext.jsr166e.nounsafe.ConcurrentHashMapV8.internalCompute(K k, boolean onlyIfPresent, BiFun<? super K,? super V,? extends V> mf)",129,43,31,8,3
"com.concurrent_ruby.ext.jsr166e.ConcurrentHashMapV8.internalCompute(K k, boolean onlyIfPresent, BiFun<? super K,? super V,? extends V> mf)",129,43,29,8,3
"net.sourceforge.pmd.lang.vf.rule.security.VfUnescapeElRule.startsWithSafeResource(final ASTElExpression el)",69,43,7,6,1
"net.sourceforge.pmd.lang.java.rule.errorprone.CloseResourceRule.ensureClosed(ASTLocalVariableDeclaration var, ASTVariableDeclaratorId id, Object data)",160,39,53,9,3
"com.concurrent_ruby.ext.jsr166e.nounsafe.ConcurrentHashMapV8.internalReplace(Object k, Object v, Object cv)",95,39,21,8,3
"com.concurrent_ruby.ext.jsr166e.ConcurrentHashMapV8.internalReplace(Object k, Object v, Object cv)",95,39,20,8,3
"com.concurrent_ruby.ext.jsr166e.nounsafe.ConcurrentHashMapV8.internalMerge(K k, V v, BiFun<? super V,? super V,? extends V> mf)",106,35,26,8,3
"com.concurrent_ruby.ext.jsr166e.ConcurrentHashMapV8.internalMerge(K k, V v, BiFun<? super V,? super V,? extends V> mf)",106,35,24,8,3
"com.concurrent_ruby.ext.jsr166e.nounsafe.ConcurrentHashMapV8.internalPutAll(Map<?,?> m)",101,34,28,8,1
"com.concurrent_ruby.ext.jsr166e.ConcurrentHashMapV8.internalPutAll(Map<?,?> m)",101,34,27,8,1
"com.concurrent_ruby.ext.jsr166e.ConcurrentHashMapV8$TreeBin.putTreeNode(int h, RubyObject k, Object v)",101,34,13,8,3
"com.concurrent_ruby.ext.jsr166e.nounsafe.ConcurrentHashMapV8$TreeBin.putTreeNode(int h, RubyObject k, Object v)",101,34,13,8,3
"net.sourceforge.pmd.lang.java.rule.codestyle.UnnecessaryFullyQualifiedNameRule.isAvoidingConflict(final AbstractJavaTypeNode node, final String name, final ASTImportDeclaration firstMatch)",92,34,51,7,3
"net.sourceforge.pmd.lang.java.symboltable.ClassScope.determineArgumentTypes(JavaNameOccurrence occurrence, List<TypedNameDeclaration> parameterTypes)",121,33,67,6,2
"net.sourceforge.pmd.lang.java.rule.design.UselessOverridingMethodRule.visit(ASTMethodDeclaration node, Object data)",126,33,81,5,2
"com.concurrent_ruby.ext.jsr166e.nounsafe.ConcurrentHashMapV8.rebuild(AtomicReferenceArray<Node> tab)",97,32,24,8,1
"com.concurrent_ruby.ext.jsr166e.ConcurrentHashMapV8.rebuild(Node[] tab)",97,32,23,8,1
"com.concurrent_ruby.ext.jsr166e.nounsafe.ConcurrentHashMapV8.internalPut(Object k, Object v)",84,31,21,8,2
"com.concurrent_ruby.ext.jsr166e.ConcurrentHashMapV8.internalPut(Object k, Object v)",84,31,19,8,2
"net.sourceforge.pmd.lang.java.rule.design.SingularFieldRule.visit(ASTFieldDeclaration node, Object data)",110,29,36,8,2
"com.concurrent_ruby.ext.jsr166e.Striped64.retryUpdate(long x, HashCode hc, boolean wasUncontended)",85,29,7,7,3
"com.concurrent_ruby.ext.jsr166e.nounsafe.Striped64.retryUpdate(long x, HashCode hc, boolean wasUncontended)",85,29,7,7,3
"net.sourceforge.pmd.lang.java.rule.errorprone.ConstructorCallsOverridableMethodRule$MethodInvocation.getMethod(ASTPrimaryExpression node)",204,28,39,8,1
"net.sourceforge.pmd.lang.dfa.Linker.computePaths()",178,28,91,4,0
"net.sourceforge.pmd.lang.java.rule.performance.InefficientStringBufferingRule.visit(ASTAdditiveExpression node, Object data)",68,26,28,3,2
"net.sourceforge.pmd.util.database.DBMSMetadata.getSourceObjectList(List<String> languages, List<String> schemas, List<String> sourceCodeTypes, List<String> sourceCodeNames)",110,24,23,7,4
"net.sourceforge.pmd.lang.java.rule.performance.RedundantFieldInitializerRule.visit(ASTFieldDeclaration fieldDeclaration, Object data)",74,24,41,7,2
