"namespace","noc","nac"
"net.sourceforge.pmd.lang.java.ast",190,24
"net.sourceforge.pmd.lang.java.rule.errorprone",134,1
"net.sourceforge.pmd.lang.apex.ast",121,9
"net.sourceforge.pmd.cpd",113,9
"net.sourceforge.pmd.lang.java.rule.codestyle",88,1
"net.sourceforge.pmd.lang.java.rule.design",79,1
"net.sourceforge.pmd.lang.java.rule.bestpractices",71,1
"net.sourceforge.pmd",64,5
"net.sourceforge.pmd.lang.ecmascript.ast",64,6
"net.sourceforge.pmd.properties",60,20
"net.sourceforge.pmd.lang.plsql.ast",59,5
"net.sourceforge.pmd.typeresolution.testdata",53,6
"net.sourceforge.pmd.lang.java.rule.performance",48,0
"net.sourceforge.pmd.renderers",39,7
"net.sourceforge.pmd.lang.jsp.ast",36,3
"net.sourceforge.pmd.lang.java.symboltable",33,4
"net.sourceforge.pmd.lang.vf.ast",29,3
"net.sourceforge.pmd.lang.plsql.rule.design",26,1
"net.sourceforge.pmd.lang.java.metrics.impl",24,3
"net.sourceforge.pmd.lang.java.rule.bestpractices.missingoverride",24,7
"net.sourceforge.pmd.typeresolution.testdata.dummytypes",24,2
"net.sourceforge.pmd.lang.apex.rule.design",23,1
"net.sourceforge.pmd.lang.apex.rule.security",23,0
"net.sourceforge.pmd.lang.apex.rule.codestyle",20,1
"net.sourceforge.pmd.lang",20,10
"net.sourceforge.pmd.util",19,1
"net.sourceforge.pmd.lang.java.rule",19,7
"net.sourceforge.pmd.lang.metrics",18,13
"net.sourceforge.pmd.lang.vm.ast",18,2
"net.sourceforge.pmd.lang.ast",15,8
"net.sourceforge.pmd.lang.java.rule.multithreading",15,0
"net.sourceforge.pmd.lang.vm.directive",15,3
"net.sourceforge.pmd.lang.dfa",14,4
"net.sourceforge.pmd.lang.plsql.symboltable",14,1
"net.sourceforge.pmd.benchmark",13,3
"net.sourceforge.pmd.document",13,4
"net.sourceforge.pmd.lang.rule",13,7
"net.sourceforge.pmd.docs",13,1
"net.sourceforge.pmd.lang.java.rule.documentation",13,1
"net.sourceforge.pmd.lang.apex.rule.bestpractices",12,0
"net.sourceforge.pmd.lang.apex.rule.errorprone",12,0
"net.sourceforge.pmd.dcd.graph",12,3
"net.sourceforge.pmd.lang.java.dfa",12,0
"net.sourceforge.pmd.ant",11,1
"net.sourceforge.pmd.util.database",11,0
"net.sourceforge.pmd.util.filter",11,3
"net.sourceforge.pmd.lang.java",11,2
"net.sourceforge.pmd.lang.java.metrics",11,1
"net.sourceforge.pmd.lang.apex",10,0
"net.sourceforge.pmd.cache",9,3
"net.sourceforge.pmd.cli",9,2
"net.sourceforge.pmd.lang.ast.xpath",9,3
"net.sourceforge.pmd.lang.symboltable",9,6
"net.sourceforge.pmd.properties.builders",9,9
"net.sourceforge.pmd.lang.java.multifile",9,2
"net.sourceforge.pmd.lang.ecmascript.rule.codestyle",9,0
"net.sourceforge.pmd.lang.vm.rule.design",9,0
"net.sourceforge.pmd.lang.apex.metrics",8,2
"net.sourceforge.pmd.lang.apex.metrics.impl",8,3
"net.sourceforge.pmd.lang.dfa.report",8,2
"net.sourceforge.pmd.lang.java.metrics.impl.visitors",8,0
"net.sourceforge.pmd.lang.plsql",8,1
"net.sourceforge.pmd.lang.plsql.rule.codestyle",8,0
"net.sourceforge.pmd.testframework",8,3
"net.sourceforge.pmd.lang.apex.rule",7,3
"net.sourceforge.pmd.util.viewer.gui",7,0
"net.sourceforge.pmd.typeresolution",7,1
"net.sourceforge.pmd.lang.vf",7,0
"net.sourceforge.pmd.lang.xml.rule",7,0
"net.sourceforge.pmd.lang.apex.rule.performance",6,0
"net.sourceforge.pmd.lang.ast.xpath.saxon",6,0
"net.sourceforge.pmd.processor",6,1
"net.sourceforge.pmd.stat",6,0
"net.sourceforge.pmd.util.designer",6,1
"net.sourceforge.pmd.util.viewer.model",6,1
"net.sourceforge.pmd.lang.cpp",6,0
"net.sourceforge.pmd.it",6,0
"net.sourceforge.pmd.lang.java.multifile.signature",6,2
"net.sourceforge.pmd.lang.java.typeresolution",6,0
"net.sourceforge.pmd.lang.java.typeresolution.typedefinition",6,2
"net.sourceforge.pmd.lang.java.typeresolution.typeinference",6,1
"net.sourceforge.pmd.lang.java.xpath",6,0
"net.sourceforge.pmd.lang.ecmascript.rule.bestpractices",6,0
"net.sourceforge.pmd.lang.plsql.dfa",6,0
"net.sourceforge.pmd.lang.xml.ast",6,2
"net.sourceforge.pmd.lang.xml",6,0
"com.concurrent_ruby.ext",6,0
"net.sourceforge.pmd.lang.apex.multifile",5,0
"net.sourceforge.pmd.properties.modules",5,1
"net.sourceforge.pmd.util.datasource",5,1
"net.sourceforge.pmd.jaxen",5,0
"net.sourceforge.pmd.lang.java.qname",5,1
"net.sourceforge.pmd.lang.ecmascript",5,0
"net.sourceforge.pmd.lang.jsp",5,0
"net.sourceforge.pmd.lang.jsp.rule.design",5,0
"net.sourceforge.pmd.lang.vm",5,0
"net.sourceforge.pmd.lang.apex.metrics.api",4,2
"net.sourceforge.pmd.cpd.token",4,1
"net.sourceforge.pmd.dcd",4,0
"net.sourceforge.pmd.lang.dfa.pathfinder",4,1
"net.sourceforge.pmd.lang.rule.xpath",4,2
"net.sourceforge.pmd.properties.constraints",4,2
"net.sourceforge.pmd.util.log",4,0
"net.sourceforge.pmd.util.viewer.gui.menu",4,0
"net.sourceforge.pmd.lang.java.metrics.api",4,2
"net.sourceforge.pmd.lang.java.rule.security",4,0
"net.sourceforge.pmd.lang.java.rule.bestpractices.unusedimports",4,0
"net.sourceforge.pmd.lang.ecmascript.rule",4,1
"net.sourceforge.pmd.lang.jsp.rule.bestpractices",4,0
"net.sourceforge.pmd.lang.matlab",4,0
"net.sourceforge.pmd.lang.objectivec",4,0
"net.sourceforge.pmd.lang.plsql.rule",4,2
"net.sourceforge.pmd.lang.python",4,0
"net.sourceforge.pmd.lang.vf.rule.security",4,0
"net.sourceforge.pmd.lang.vm.rule",4,2
"net.sourceforge.pmd.lang.vm.rule.bestpractices",4,0
"net.sourceforge.pmd.lang.vm.rule.errorprone",4,0
"com.concurrent_ruby.ext.jsr166e",4,3
"net.sourceforge.pmd.lang.apex.metrics.signature",3,1
"net.sourceforge.pmd.annotation",3,0
"net.sourceforge.pmd.lang.metrics.internal",3,1
"net.sourceforge.pmd.lang.xpath",3,0
"net.sourceforge.pmd.lang.java.ast.testdata",3,2
"net.sourceforge.pmd.lang.java.metrics.testdata",3,0
"net.sourceforge.pmd.lang.java.multifile.testdata",3,1
"net.sourceforge.pmd.lang.java.rule.bestpractices.unusedprivatemethod",3,0
"net.sourceforge.pmd.lang.ecmascript.rule.errorprone",3,0
"net.sourceforge.pmd.lang.jsp.rule",3,1
"net.sourceforge.pmd.lang.jsp.rule.security",3,0
"net.sourceforge.pmd.lang.plsql.rule.errorprone",3,0
"net.sourceforge.pmd.lang.vf.rule",3,1
"net.sourceforge.pmd.lang.vm.util",3,0
"com.concurrent_ruby.ext.jsr166e.nounsafe",3,2
"net.sourceforge.pmd.lang.apex.rule.documentation",2,0
"net.sourceforge.pmd.dcd.asm",2,0
"net.sourceforge.pmd.lang.rule.stat",2,1
"net.sourceforge.pmd.rules",2,0
"net.sourceforge.pmd.lang.java.metrics.impl.internal",2,0
"net.sourceforge.pmd.lang.jsp.rule.codestyle",2,0
"org.sonar.plugins.scala.language",2,0
"net.sourceforge.pmd.lang.wsdl.rule",2,0
"net.sourceforge.pmd.lang.pom.rule.errorprone",2,0
"net.sourceforge.pmd.lang.apex.metrics.impl.visitors",1,0
"net.sourceforge.pmd.ant.internal",1,0
"net.sourceforge.pmd.cpd.internal",1,1
"net.sourceforge.pmd.cpd.renderer",1,1
"net.sourceforge.pmd.cpd.token.internal",1,1
"net.sourceforge.pmd.internal.util",1,0
"net.sourceforge.pmd.lang.antlr",1,0
"net.sourceforge.pmd.util.viewer.util",1,0
"net.sourceforge.pmd.util.viewer",1,0
"net.sourceforge.pmd.junit",1,0
"net.sourceforge.pmd.lang.cs",1,0
"net.sourceforge.pmd.lang.fortran",1,0
"net.sourceforge.pmd.lang.go",1,0
"net.sourceforge.pmd.lang.groovy",1,0
"net.sourceforge.pmd.lang.java.javadoc",1,0
"net.sourceforge.pmd.lang.java.rule.migrating",1,0
"net.sourceforge.pmd.lang.java.rule.regex",1,0
"net.sourceforge.pmd.lang.java.typeresolution.visitors",1,0
"net.sourceforge.pmd.coverage",1,0
"net.sourceforge.pmd.lang.java.metrics.xpath",1,0
"net.sourceforge.pmd.lang.java.rule.bestpractices.switchstmtsshouldhavedefault",1,0
"net.sourceforge.pmd.lang.java.rule.codestyle.commentdefaultaccessmodifier",1,0
"net.sourceforge.pmd.lang.java.rule.design.donotextendjavalangerror",1,0
"net.sourceforge.pmd.lang.java.rule.design.signaturedeclarethrowsexception",1,0
"net.sourceforge.pmd.lang.java.symboltable.testdata",1,0
"net.sourceforge.pmd.typeresolution.typedefinition",1,0
"org.example.pmd",1,0
"ant.java",1,0
"com.cb4.common.utils",1,0
"com.sample.test",1,0
"net.sourceforge.pmd.lang.java.bugs",1,0
"net.sourceforge.pmd.lang.ecmascript5",1,0
"net.sourceforge.pmd.lang.jsp.rule.errorprone",1,0
"net.sourceforge.pmd.lang.php",1,0
"net.sourceforge.pmd.lang.plsql.rule.bestpractices",1,0
"net.sourceforge.pmd.lang.ruby",1,0
"net.sourceforge.pmd.lang.scala",1,0
"org.sonar.plugins.scala.cpd",1,0
"org.sonar.plugins.scala.util",1,0
"net.sourceforge.pmd.lang.swift",1,0
"net.sourceforge.pmd.test.lang.ast",1,0
"net.sourceforge.pmd.test.lang",1,0
"net.sourceforge.pmd.lang.pom",1,0
"net.sourceforge.pmd.lang.wsdl",1,0
"net.sourceforge.pmd.lang.xsl",1,0
"net.sourceforge.pmd.lang.xml.rule.errorprone",1,0
"net.sourceforge.pmd.lang.xsl.rule.codestyle",1,0
"net.sourceforge.pmd.lang.xsl.rule.performance",1,0
"com.concurrent_ruby.ext.jsr166y",1,0
