"metric","1stQ","3rdQ","avg","median","min","max","max-min","stddev","u-fence","threshold"
"SLOC",8.0,53.0,52.106410815525514,20.0,3.0,2355.0,2352.0,112.08379916676982,120.5,500.0
"NOM",1.0,6.0,5.975141735717401,3.0,0.0,225.0,225.0,12.956527384530393,13.5,14.0
"NPM",1.0,5.0,4.9917139119058005,2.0,0.0,223.0,223.0,12.011239876409725,11.0,40.0
"WMC",1.0,10.0,10.620148277365896,3.0,1.0,833.0,832.0,30.676371217053745,23.5,100.0
"DEP",1.0,7.0,5.095508068033144,2.0,0.0,123.0,123.0,8.302713781757124,16.0,20.0
"I-DEP",0.0,3.0,2.535106846925425,1.0,0.0,101.0,101.0,5.37338597959069,7.5,15.0
"FAN-IN",0.0,2.0,3.450501526384649,1.0,0.0,419.0,419.0,14.019481055748845,5.0,10.0
"FAN-OUT",1.0,5.0,4.4880069777583955,2.0,0.0,106.0,106.0,6.411153338613904,11.0,15.0
"NOA",0.0,2.0,1.5721761883994767,0.0,0.0,57.0,57.0,3.954676985172346,5.0,8.0
"LCOM3",0.0,0.8502450980392157,0.33826740993985854,0.0,0.0,2.0,2.0,0.4916656197839239,2.125612745098039,1.0
