"type","dep","i-dep","fan-in","fan-out"
"com.concurrent_ruby.ext.jsr166e.ConcurrentHashMapV8",20,1,2,43
"com.concurrent_ruby.ext.jsr166e.nounsafe.ConcurrentHashMapV8",23,2,0,39
"net.sourceforge.pmd.typeresolution.ClassTypeResolverTest",123,98,0,104
"net.sourceforge.pmd.lang.java.typeresolution.ClassTypeResolver",93,78,3,86
"net.sourceforge.pmd.lang.plsql.rule.AbstractPLSQLRule",9,6,7,11
"net.sourceforge.pmd.util.designer.Designer",116,24,1,49
"net.sourceforge.pmd.lang.plsql.ast.PLSQLParserVisitorAdapter",0,0,7,2
"net.sourceforge.pmd.cpd.GUI",62,2,1,25
"net.sourceforge.pmd.lang.java.rule.errorprone.ConstructorCallsOverridableMethodRule",30,22,0,44
"net.sourceforge.pmd.lang.apex.ast.ApexTreeBuilder",106,2,1,9
"net.sourceforge.pmd.lang.java.ast.JavaParserDecoratedVisitor",0,0,0,2
"net.sourceforge.pmd.lang.plsql.dfa.StatementAndBraceFinder",41,14,2,19
"net.sourceforge.pmd.stat.StatisticalRuleTest",22,8,0,14
"net.sourceforge.pmd.lang.jsp.ast.JspDocStyleTest",12,1,0,5
"net.sourceforge.pmd.lang.java.rule.AbstractJavaRule",8,6,111,10
"net.sourceforge.pmd.RuleSetTest",25,8,0,11
"net.sourceforge.pmd.lang.java.ast.JavaQualifiedNameTest",13,4,0,7
"net.sourceforge.pmd.lang.java.symboltable.ClassScope",35,27,19,35
"net.sourceforge.pmd.lang.apex.rule.security.ApexCRUDViolationRule",45,25,0,33
"net.sourceforge.pmd.docs.RuleDocGenerator",37,9,2,20
"net.sourceforge.pmd.lang.apex.rule.AbstractApexRule",102,101,31,106
"net.sourceforge.pmd.lang.java.ast.JavaParserVisitorDecorator",0,0,3,1
"net.sourceforge.pmd.lang.java.ast.JavaParserVisitorAdapter",0,0,17,2
"net.sourceforge.pmd.lang.vf.ast.VfDocStyleTest",10,0,0,3
"com.cb4.common.utils.null",27,0,0,31
"net.sourceforge.pmd.lang.java.typeresolution.MethodTypeResolution",25,11,3,22
"net.sourceforge.pmd.lang.java.typeresolution.typeinference.TypeInferenceResolver",14,2,2,9
"net.sourceforge.pmd.lang.vf.rule.security.VfUnescapeElRule",21,15,0,19
"net.sourceforge.pmd.dcd.graph.UsageGraphBuilder",17,3,1,14
"net.sourceforge.pmd.RuleSetFactory",31,7,65,16
"net.sourceforge.pmd.AbstractRuleSetFactoryTest",37,6,8,16
"net.sourceforge.pmd.testframework.RuleTst",40,14,9,26
"net.sourceforge.pmd.lang.ast.AbstractNode",18,5,19,13
"net.sourceforge.pmd.cpd.CPDConfiguration",22,4,7,14
"net.sourceforge.pmd.lang.apex.ast.ApexParserVisitorAdapter",0,0,5,2
"net.sourceforge.pmd.RuleSet",23,10,22,16
"net.sourceforge.pmd.lang.java.qname.ImmutableList",13,1,0,16
"net.sourceforge.pmd.util.database.DBURITest",8,0,0,3
"net.sourceforge.pmd.lang.rule.AbstractRule",11,8,14,16
"net.sourceforge.pmd.lang.xml.XmlParserTest",19,8,0,12
"net.sourceforge.pmd.lang.java.rule.design.LawOfDemeterRule",27,21,0,28
"net.sourceforge.pmd.lang.plsql.rule.design.CyclomaticComplexityRule",28,15,0,21
"net.sourceforge.pmd.PMD",46,29,105,35
"net.sourceforge.pmd.util.StringUtil",6,0,15,10
"net.sourceforge.pmd.RuleSetWriter",31,6,4,12
"net.sourceforge.pmd.lang.java.dfa.StatementAndBraceFinder",31,28,2,31
"net.sourceforge.pmd.lang.java.symboltable.TypeSet",10,2,10,14
"net.sourceforge.pmd.lang.java.rule.performance.InsufficientStringBufferDeclarationRule",28,23,0,28
"net.sourceforge.pmd.lang.java.symboltable.ClassScopeTest",19,9,0,10
"net.sourceforge.pmd.lang.java.typeresolution.typedefinition.JavaTypeDefinitionSimple",17,0,2,8
"net.sourceforge.pmd.lang.plsql.rule.design.NPathComplexityRule",27,11,0,16
"net.sourceforge.pmd.lang.java.rule.bestpractices.ForLoopCanBeForeachRule",25,19,0,22
"net.sourceforge.pmd.lang.dfa.Linker",5,2,2,6
"net.sourceforge.pmd.lang.vm.util.VelocityCharStream",1,0,2,4
"net.sourceforge.pmd.lang.ecmascript.rule.AbstractEcmascriptRule",62,60,4,64
"net.sourceforge.pmd.lang.java.typeresolution.visitors.PMDASMVisitor",13,0,1,9
"net.sourceforge.pmd.properties.PropertyDescriptorTest",25,4,0,7
"net.sourceforge.pmd.lang.java.dfa.AcceptanceTest",7,3,0,4
"net.sourceforge.pmd.lang.java.rule.performance.ConsecutiveLiteralAppendsRule",33,27,0,31
"net.sourceforge.pmd.lang.java.rule.errorprone.CloseResourceRule",30,23,0,28
"net.sourceforge.pmd.lang.dfa.pathfinder.DAAPathFinder",3,1,3,4
"net.sourceforge.pmd.lang.rule.AbstractDelegateRule",13,9,1,10
"net.sourceforge.pmd.util.database.DBType",10,0,7,8
"net.sourceforge.pmd.Report",20,7,60,21
"net.sourceforge.pmd.typeresolution.TypeInferenceTest",27,10,0,12
"net.sourceforge.pmd.RuleSetReferenceIdTest",20,1,0,3
"net.sourceforge.pmd.util.database.DBURI",11,0,44,6
"net.sourceforge.pmd.lang.rule.RuleReference",14,6,11,9
"net.sourceforge.pmd.cache.FileAnalysisCacheTest",24,2,0,6
"net.sourceforge.pmd.dcd.asm.TypeSignatureVisitor",6,1,3,5
"net.sourceforge.pmd.util.designer.DFAPanel",22,5,1,12
"net.sourceforge.pmd.lang.apex.ast.TestAccessEvaluator",14,0,1,4
"net.sourceforge.pmd.lang.vm.rule.AbstractVmRule",51,17,8,21
"net.sourceforge.pmd.cli.PMDParameters",13,3,5,10
"net.sourceforge.pmd.rules.RuleFactory",24,5,1,13
"net.sourceforge.pmd.lang.java.ast.ParserCornersTest",19,4,0,7
"net.sourceforge.pmd.lang.java.ast.SimpleNodeTest",16,2,0,3
"com.concurrent_ruby.ext.SynchronizationLibrary",18,0,1,7
"net.sourceforge.pmd.lang.java.ast.JDKVersionTest",15,0,0,2
"net.sourceforge.pmd.lang.ast.xpath.DocumentNavigator",8,2,5,6
"net.sourceforge.pmd.cpd.CsTokenizer",7,0,2,8
"net.sourceforge.pmd.docs.DeadLinksChecker",31,0,1,19
"net.sourceforge.pmd.lang.java.rule.bestpractices.AvoidReassigningLoopVariablesRule",34,26,0,31
"net.sourceforge.pmd.util.database.DBMSMetadata",16,0,7,5
"net.sourceforge.pmd.ant.internal.PMDTaskImpl",40,24,1,29
"net.sourceforge.pmd.lang.java.rule.codestyle.UnnecessaryFullyQualifiedNameRule",18,12,0,15
"net.sourceforge.pmd.properties.AbstractPropertyDescriptorTester",14,1,7,7
"net.sourceforge.pmd.cpd.CPPTokenizerTest",12,1,0,4
"net.sourceforge.pmd.lang.java.qname.QualifiedNameResolver",26,19,2,26
"net.sourceforge.pmd.cpd.JavaTokensTokenizerTest",6,1,0,2
"net.sourceforge.pmd.lang.java.rule.bestpractices.MissingOverrideRule",22,10,0,25
"net.sourceforge.pmd.cpd.JavaTokenizer",13,6,20,15
"net.sourceforge.pmd.lang.java.metrics.SigMaskTest",16,9,0,9
"net.sourceforge.pmd.lang.java.ast.DumpFacade",5,0,1,5
"net.sourceforge.pmd.lang.apex.rule.security.ApexSOQLInjectionRule",20,13,0,17
"net.sourceforge.pmd.document.DocumentFileTest",14,0,0,4
"net.sourceforge.pmd.lang.java.rule.codestyle.UnnecessaryModifierRule",22,17,0,21
"net.sourceforge.pmd.lang.plsql.rule.codestyle.CodeFormatRule",21,8,0,11
"net.sourceforge.pmd.lang.ecmascript.ast.EcmascriptTreeBuilder",61,2,1,8
"net.sourceforge.pmd.ant.PMDTask",10,1,1,6
"net.sourceforge.pmd.lang.apex.rule.security.ApexXSSFromURLParamRule",14,11,0,15
"net.sourceforge.pmd.PMDConfiguration",15,10,31,15
"net.sourceforge.pmd.lang.java.ast.CommentUtilTest",6,0,0,4
"com.concurrent_ruby.ext.JRubyMapBackendLibrary",14,2,1,6
"net.sourceforge.pmd.lang.java.rule.documentation.CommentRequiredRule",20,13,1,18
"net.sourceforge.pmd.RuleSetReferenceId",9,1,19,7
"net.sourceforge.pmd.lang.ecmascript.ast.EcmascriptParserVisitorAdapter",0,0,0,2
"net.sourceforge.pmd.properties.PropertyBuilder",12,2,2,14
"net.sourceforge.pmd.renderers.YAHTMLRenderer",14,3,1,10
"net.sourceforge.pmd.lang.java.rule.codestyle.VariableNamingConventionsRule",17,14,0,19
"net.sourceforge.pmd.lang.java.rule.design.UselessOverridingMethodRule",26,23,0,28
"net.sourceforge.pmd.lang.java.rule.multithreading.DoubleCheckedLockingRule",25,23,0,27
"net.sourceforge.pmd.lang.java.metrics.SignatureTest",20,10,0,10
"net.sourceforge.pmd.AbstractRuleTest",17,9,0,13
"net.sourceforge.pmd.lang.java.rule.design.StdCyclomaticComplexityRule",23,20,2,25
"net.sourceforge.pmd.cpd.CPDTask",18,1,0,10
"net.sourceforge.pmd.lang.apex.rule.codestyle.VariableNamingConventionsRule",14,9,0,13
"net.sourceforge.pmd.lang.ast.xpath.saxon.AbstractNodeInfo",16,0,3,5
"net.sourceforge.pmd.lang.java.rule.errorprone.AvoidDuplicateLiteralsRule",25,10,1,17
"net.sourceforge.pmd.lang.plsql.symboltable.ScopeAndDeclarationFinder",23,13,1,18
"net.sourceforge.pmd.lang.java.rule.bestpractices.GuardLogStatementRule",21,15,0,21
"net.sourceforge.pmd.ant.Formatter",22,3,4,8
"net.sourceforge.pmd.lang.java.rule.codestyle.LinguisticNamingRule",17,9,0,14
"net.sourceforge.pmd.renderers.HTMLRenderer",11,4,3,10
"net.sourceforge.pmd.lang.java.rule.bestpractices.JUnitTestsShouldIncludeAssertRule",22,19,0,22
"net.sourceforge.pmd.lang.java.ParserTstUtil",22,7,10,17
"net.sourceforge.pmd.lang.java.metrics.impl.internal.NcssVisitor",36,33,1,34
