"method","loc","cyclo","calls","nbd","param"
"com.softwarepathfinder.visualization.prefuse.NamespaceGraphByPath.main(String[] argv)",125,10,66,6,1
"com.softwarepathfinder.visualization.prefuse.NamespaceGraph.main(String[] argv)",130,11,69,6,1
"com.softwarepathfinder.parsing.php.InvocationVisitor.identifyStaticMethodInvocation(Identifier parentReference, Identifier methodName)",13,5,9,3,2
"com.softwarepathfinder.visualization.prefuse.TypeGraph.main(String[] argv)",151,8,69,5,1
"com.softwarepathfinder.parsing.PathMaker.calcPath(Type type, Path path, int level, HashMap<String,Locus> pathLoci, EntityManager em)",26,6,19,4,5
"com.softwarepathfinder.model.Project.getTypeByName(Type typeParent, String typeName)",52,12,25,6,2
"com.softwarepathfinder.parsing.java.TypeVisitor.visit(MethodDeclaration node)",42,8,31,3,1
"com.softwarepathfinder.visualization.prefuse.PathMethodsGraph.main(String[] argv)",164,6,93,3,1
"com.softwarepathfinder.visualization.yEd.TypeGraphML.build()",69,10,28,2,0
"com.softwarepathfinder.model.Type.getConcretChildren(Type parent, List<Type> types)",16,5,10,2,2
"com.softwarepathfinder.visualization.prefuse.PathMethodLayout.run(double frac)",67,12,21,4,1
"com.softwarepathfinder.parsing.php.InvocationVisitor.visit(FunctionInvocation node)",19,4,12,3,1
"com.softwarepathfinder.parsing.java.InvocationVisitor.visit(VariableDeclarationStatement node)",14,4,10,7,1
"com.softwarepathfinder.parsing.java.InvocationVisitor.visit(ArrayInitializer node)",16,5,18,7,1
"com.softwarepathfinder.parsing.java.InvocationVisitor.visit(Assignment node)",20,4,15,7,1
"com.softwarepathfinder.visualization.yEd.GraphmlBuilder.main(String[] args)",55,4,40,2,1
"com.softwarepathfinder.model.Type.hasMethod(String methodName)",11,4,12,2,1
"com.softwarepathfinder.visualization.prefuse.MethodGraph.main(String[] argv)",122,10,61,5,1
"com.softwarepathfinder.parsing.java.InvocationVisitor.visit(MethodInvocation node)",60,13,33,7,1
"com.softwarepathfinder.visualization.jgraph.PathView.createEdges(Object pathNode, Path path)",13,4,13,3,2
"com.softwarepathfinder.parsing.java.InvocationVisitor.visit(SuperConstructorInvocation node)",15,4,5,7,1
"com.softwarepathfinder.parsing.java.InheritanceVisitor.makeInterface(TypeDeclaration node)",15,5,8,3,1
"com.softwarepathfinder.parsing.java.InheritanceVisitor.makeParent(TypeDeclaration node)",9,5,8,3,1
"com.softwarepathfinder.parsing.php.InvocationVisitor.identifyFunctionInvocation(Method method)",20,7,10,3,1
"com.softwarepathfinder.parsing.php.InvocationVisitor.identifyClassInstanceCreation(Identifier newCall)",14,6,7,3,1
"com.softwarepathfinder.parsing.java.InvocationVisitor.visit(SuperMethodInvocation node)",14,4,7,7,1
"com.softwarepathfinder.model.Locus.getTargets(Invocation invocation, Locus locus)",29,4,18,1,2
"com.softwarepathfinder.parsing.php.InvocationVisitor.doCastNodesOf(Expression identifiedExpression)",32,5,6,3,1
"com.softwarepathfinder.parsing.php.InvocationVisitor.identifyPolymorphicCall(String methodName, Type typeCaller)",12,5,4,3,2
"com.softwarepathfinder.parsing.java.InvocationVisitor.visit(CastExpression node)",22,4,14,7,1
