"metric","1stQ","3rdQ","avg","median","min","max","max-min","stddev","u-fence","threshold"
"SLOC",25.0,111.5,71.76923076923077,43.0,4.0,300.0,296.0,63.84976820168014,241.25,500.0
"NOM",2.0,8.0,6.1692307692307695,3.0,0.0,37.0,37.0,6.715239226551984,17.0,14.0
"NPM",2.0,7.0,5.292307692307692,3.0,0.0,37.0,37.0,6.2060096852178495,14.5,40.0
"WMC",3.0,12.5,10.276923076923078,7.0,1.0,51.0,50.0,11.27353291469441,26.75,100.0
"DEP",4.0,14.0,10.507692307692308,7.0,0.0,40.0,40.0,9.270504221492489,29.0,20.0
"I-DEP",1.0,4.0,2.5076923076923077,2.0,0.0,12.0,12.0,2.287915254771853,8.5,15.0
"FAN-IN",1.0,2.0,3.2,1.0,0.0,30.0,30.0,5.757136040134486,3.5,10.0
"FAN-OUT",2.0,7.5,4.969230769230769,4.0,0.0,17.0,17.0,3.762033945658122,15.75,15.0
"NOA",1.0,3.0,2.4153846153846152,1.0,0.0,13.0,13.0,2.705506110436542,6.0,8.0
"LCOM3",0.0,1.0,0.6278170761986552,0.8,0.0,1.0,1.0,0.40403356003585816,2.5,1.0
