"type","dep","i-dep","fan-in","fan-out"
"com.softwarepathfinder.parsing.java.InvocationVisitor",22,9,0,13
"com.softwarepathfinder.parsing.java.JavaParseManager",26,16,0,20
"com.softwarepathfinder.visualization.yEd.TypeGraphML",17,11,0,19
"com.softwarepathfinder.parsing.php.InvocationVisitor",19,6,0,8
"com.softwarepathfinder.parsing.php.PhpParseManager",24,18,0,20
"com.softwarepathfinder.service.TypeService",10,6,12,8
"com.softwarepathfinder.metrics.service.InheritanceMetricsService",9,6,0,7
"com.softwarepathfinder.parsing.java.TypeVisitor",23,7,0,11
"com.softwarepathfinder.model.Method",10,0,25,3
"com.softwarepathfinder.metrics.service.TypeMetricsService",11,6,0,7
"com.softwarepathfinder.model.Type",10,0,34,1
"com.softwarepathfinder.parsing.php.TypeVisitor",20,5,0,7
"com.softwarepathfinder.metrics.service.CouplingMetricsService",11,8,0,9
"com.softwarepathfinder.visualization.yEd.GraphmlBuilder",17,10,0,14
"com.softwarepathfinder.service.MethodService",8,4,16,5
"com.softwarepathfinder.parsing.PathMaker",14,11,2,13
"com.softwarepathfinder.model.Locus",5,0,4,0
"com.softwarepathfinder.model.Field",6,0,9,1
"com.softwarepathfinder.parsing.java.NamespaceParser",9,5,0,10
"com.softwarepathfinder.service.AccessService",9,6,4,7
"com.softwarepathfinder.service.LocusService",11,6,3,7
"com.softwarepathfinder.model.Invocation",4,0,10,0
"com.softwarepathfinder.visualization.blender.Geometry",1,1,1,2
"com.softwarepathfinder.parsing.php.NamespaceParser",6,3,0,6
"com.softwarepathfinder.parsing.java.TypeParser",7,4,1,9
"com.softwarepathfinder.parsing.java.InheritanceVisitor",8,3,0,5
"com.softwarepathfinder.service.FieldService",7,4,7,4
"com.softwarepathfinder.visualization.blender.Blender",10,5,0,7
"com.softwarepathfinder.utils.Log",4,0,14,4
"com.softwarepathfinder.parsing.php.InheritanceVisitor",8,3,0,5
"com.softwarepathfinder.service.InvocationService",8,5,10,6
"com.softwarepathfinder.model.Access",5,0,4,0
"com.softwarepathfinder.model.Namespace",8,0,11,0
"com.softwarepathfinder.metrics.service.CohesionMetricsService",7,5,0,6
"com.softwarepathfinder.parsing.java.AccessParser",7,4,0,9
"com.softwarepathfinder.parsing.java.InvocationParser",7,4,0,9
"com.softwarepathfinder.parsing.php.AccessParser",9,3,0,7
"com.softwarepathfinder.utils.Conf",6,1,3,2
"com.softwarepathfinder.utils.SystemUtils",6,1,6,3
"com.softwarepathfinder.parsing.php.TypeParser",12,5,0,7
"com.softwarepathfinder.model.Inheritance",4,0,1,0
"com.softwarepathfinder.persistence.jpa.PersistenceManager",4,0,13,0
"com.softwarepathfinder.service.PathService",7,4,2,4
"com.softwarepathfinder.parsing.php.AccessVisitor",10,3,0,4
"com.softwarepathfinder.model.Path",5,0,5,0
"com.softwarepathfinder.parsing.PolymorphismParser",7,5,2,6
"com.softwarepathfinder.visualization.yEd.InvocationGraphML",3,2,0,3
"com.softwarepathfinder.parsing.java.InheritanceParser",3,1,0,5
"com.softwarepathfinder.parsing.php.InvocationParser",7,2,0,2
"com.softwarepathfinder.utils.LogFormatter",5,0,1,4
"com.softwarepathfinder.service.NamespaceService",6,3,5,3
"com.softwarepathfinder.visualization.yEd.AccessGraphML",3,2,0,3
"com.softwarepathfinder.visualization.yEd.MethodGraphML",3,2,0,4
"com.softwarepathfinder.metrics.service.MethodMetricsService",7,5,0,5
"com.softwarepathfinder.model.Project",4,0,16,0
"com.softwarepathfinder.parsing.java.AccessVisitor",6,3,0,4
"com.softwarepathfinder.parsing.php.GenerateAstPhp",5,3,0,6
"com.softwarepathfinder.parsing.php.InheritanceParser",6,1,0,1
"com.softwarepathfinder.visualization.yEd.GraphML",5,2,8,3
"com.softwarepathfinder.visualization.yEd.FieldGraphML",2,1,0,3
"com.softwarepathfinder.parsing.java.GenerateJava2JPA",3,2,0,4
"com.softwarepathfinder.service.InheritanceService",4,3,2,4
"com.softwarepathfinder.visualization.yEd.ModelGraphML",2,1,0,2
"com.softwarepathfinder.injection.EntityManagerProvider",4,0,0,1
"com.softwarepathfinder.parsing.java.NamespaceVisitor",4,2,0,3
"com.softwarepathfinder.visualization.yEd.NamespaceGraphML",3,2,0,3
"com.softwarepathfinder.visualization.yEd.GroundGraphML",2,1,0,2
"com.softwarepathfinder.service.ProjectService",3,2,3,2
"com.softwarepathfinder.parsing.java.JavaCompiler",3,0,0,1
"com.softwarepathfinder.injection.InjectionModule",3,0,1,0
"com.softwarepathfinder.injection.InjectionManager",2,0,4,0
"com.softwarepathfinder.utils.exceptions.ConfException",0,0,15,1
