"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa","lcom3"
"com.softwarepathfinder.visualization.prefuse.AggregateDemo",300,14,11,13,40,5,1,17,10,0.6538461538461539
"com.softwarepathfinder.model.Type",246,37,37,51,14,2,30,4,11,0.8813131313131313
"com.softwarepathfinder.parsing.java.InvocationVisitor",220,13,11,48,17,5,1,10,3,0.9166666666666666
"com.softwarepathfinder.visualization.yEd.TypeGraphML",199,20,10,38,10,6,2,14,7,0.8421052631578947
"com.softwarepathfinder.parsing.php.InvocationVisitor",181,15,4,46,15,3,1,5,5,0.8571428571428571
"com.softwarepathfinder.model.Project",175,14,14,28,11,2,19,3,2,0.9615384615384616
"com.softwarepathfinder.parsing.php.GenerateAstPhp",170,17,1,32,17,12,0,15,2,0.96875
"com.softwarepathfinder.parsing.java.GenerateJava2JPA",154,8,1,16,16,8,0,13,3,0.9047619047619048
"com.softwarepathfinder.model.Method",146,26,26,28,14,2,22,6,13,0.796923076923077
"com.softwarepathfinder.visualization.prefuse.TypeGraph",142,2,3,8,31,5,0,8,0,0.0
"com.softwarepathfinder.visualization.prefuse.PathMethodsGraph",141,2,3,6,29,3,0,6,0,0.0
"com.softwarepathfinder.model.Path",140,16,16,18,11,1,9,2,3,0.9333333333333333
"com.softwarepathfinder.visualization.jgraph.PathView",116,6,3,13,17,5,1,12,4,0.7
"com.softwarepathfinder.visualization.prefuse.MethodGraph",115,0,1,10,31,4,0,7,0,0.0
"com.softwarepathfinder.visualization.prefuse.NamespaceGraphByPath",115,0,1,10,32,6,0,9,0,0.0
"com.softwarepathfinder.visualization.prefuse.NamespaceGraph",114,0,1,11,31,5,0,8,0,0.0
"com.softwarepathfinder.model.Locus",109,16,16,21,13,2,4,5,7,0.8
"com.softwarepathfinder.parsing.php.TypeVisitor",97,8,7,15,18,4,1,6,4,0.7857142857142857
"com.softwarepathfinder.visualization.prefuse.PathGraph",92,0,1,2,33,5,0,7,0,0.0
"com.softwarepathfinder.parsing.java.TypeVisitor",91,6,6,16,14,5,1,8,1,1.0
"com.softwarepathfinder.visualization.prefuse.Example",81,2,3,1,22,0,0,4,0,0.0
"com.softwarepathfinder.visualization.prefuse.SimpleGraph",80,1,2,2,24,0,1,2,2,0.0
"com.softwarepathfinder.model.Invocation",75,14,14,14,9,1,14,1,6,0.8076923076923077
"com.softwarepathfinder.visualization.yEd.GraphmlBuilder",71,1,1,7,11,6,0,10,2,0.0
"com.softwarepathfinder.visualization.prefuse.PathMethodLayout",69,2,2,13,8,2,0,3,1,1.0
"com.softwarepathfinder.parsing.PathMaker",59,3,2,8,10,7,2,9,1,1.0
"com.softwarepathfinder.model.Namespace",57,8,8,8,12,1,9,1,3,0.8571428571428571
"com.softwarepathfinder.model.Field",53,11,11,11,6,0,5,1,6,0.75
"com.softwarepathfinder.parsing.java.NamespaceParser",52,3,2,5,11,4,1,10,3,0.5
"com.softwarepathfinder.visualization.blender.Geometry",51,12,12,12,1,1,1,2,6,0.7727272727272727
"com.softwarepathfinder.utils.Log",45,8,8,8,4,0,12,4,2,0.9285714285714286
"com.softwarepathfinder.model.Access",43,9,9,9,5,0,2,0,4,0.8125
"com.softwarepathfinder.persistence.jpa.PersistenceManager",43,6,6,8,3,0,15,1,3,0.8
"com.softwarepathfinder.parsing.php.NamespaceParser",42,4,3,6,5,3,1,6,6,0.16666666666666666
"com.softwarepathfinder.parsing.java.TypeParser",41,3,3,3,8,3,2,8,2,0.75
"com.softwarepathfinder.utils.Conf",40,5,4,7,6,1,2,2,4,0.875
"com.softwarepathfinder.parsing.java.InheritanceVisitor",40,4,2,12,5,1,1,3,1,1.0
"com.softwarepathfinder.model.Inheritance",38,8,8,8,4,0,1,0,4,0.7857142857142857
"com.softwarepathfinder.parsing.php.InheritanceVisitor",38,5,2,9,5,1,1,3,1,1.0
"com.softwarepathfinder.parsing.java.AccessParser",38,3,2,4,7,3,1,8,1,1.0
"com.softwarepathfinder.parsing.java.InvocationParser",36,3,3,4,7,3,1,8,1,1.0
"com.softwarepathfinder.visualization.blender.Blender",32,0,1,2,8,4,0,5,0,0.0
"com.softwarepathfinder.parsing.php.AccessParser",31,3,2,4,6,2,1,6,1,1.0
"com.softwarepathfinder.parsing.php.AccessVisitor",31,3,3,5,8,2,1,3,2,0.75
"com.softwarepathfinder.visualization.yEd.InvocationGraphML",29,7,7,8,3,2,1,3,1,1.0
"com.softwarepathfinder.utils.LogFormatter",29,1,1,2,5,0,1,4,1,0.0
"com.softwarepathfinder.parsing.php.TypeParser",28,2,1,2,8,3,0,5,0,0.0
"com.softwarepathfinder.visualization.yEd.AccessGraphML",25,6,6,6,3,2,0,3,1,1.0
"com.softwarepathfinder.visualization.yEd.MethodGraphML",25,6,6,7,3,2,1,4,1,1.0
"com.softwarepathfinder.utils.SystemUtils",25,4,3,4,6,1,4,2,0,0.0
"com.softwarepathfinder.parsing.java.InheritanceParser",25,2,2,2,4,1,1,5,1,1.0
"com.softwarepathfinder.parsing.PolymorphismParser",24,2,2,5,4,3,2,4,2,0.5
"com.softwarepathfinder.visualization.yEd.GraphML",22,3,3,3,5,2,8,3,2,0.75
"com.softwarepathfinder.visualization.prefuse.InverseWheelZoomControl",22,2,2,3,4,0,2,3,0,0.0
"com.softwarepathfinder.visualization.yEd.FieldGraphML",21,5,5,5,2,1,1,3,1,1.0
"com.softwarepathfinder.parsing.php.InvocationParser",20,2,2,2,5,2,1,2,2,0.5
"com.softwarepathfinder.visualization.yEd.ModelGraphML",18,4,4,4,2,1,1,2,1,1.0
