"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"com.softwarepathfinder.visualization.prefuse.AggregateDemo",300,14,11,13,40,5,1,17,10
"com.softwarepathfinder.model.Type",246,37,37,51,14,2,30,4,11
"com.softwarepathfinder.parsing.java.InvocationVisitor",220,13,11,48,17,5,1,10,3
"com.softwarepathfinder.visualization.yEd.TypeGraphML",199,20,10,38,10,6,2,14,7
"com.softwarepathfinder.parsing.php.InvocationVisitor",181,15,4,46,15,3,1,5,5
"com.softwarepathfinder.model.Project",175,14,14,28,11,2,19,3,2
"com.softwarepathfinder.parsing.php.GenerateAstPhp",170,17,1,32,17,12,0,15,2
"com.softwarepathfinder.parsing.java.GenerateJava2JPA",154,8,1,16,16,8,0,13,3
"com.softwarepathfinder.model.Method",146,26,26,28,14,2,22,6,13
"com.softwarepathfinder.visualization.prefuse.TypeGraph",142,2,3,8,31,5,0,8,0
"com.softwarepathfinder.visualization.prefuse.PathMethodsGraph",141,2,3,6,29,3,0,6,0
"com.softwarepathfinder.model.Path",140,16,16,18,11,1,9,2,3
"com.softwarepathfinder.visualization.jgraph.PathView",116,6,3,13,17,5,1,12,4
"com.softwarepathfinder.visualization.prefuse.MethodGraph",115,0,1,10,31,4,0,7,0
"com.softwarepathfinder.visualization.prefuse.NamespaceGraphByPath",115,0,1,10,32,6,0,9,0
"com.softwarepathfinder.visualization.prefuse.NamespaceGraph",114,0,1,11,31,5,0,8,0
"com.softwarepathfinder.model.Locus",109,16,16,21,13,2,4,5,7
"com.softwarepathfinder.parsing.php.TypeVisitor",97,8,7,15,18,4,1,6,4
"com.softwarepathfinder.visualization.prefuse.PathGraph",92,0,1,2,33,5,0,7,0
"com.softwarepathfinder.parsing.java.TypeVisitor",91,6,6,16,14,5,1,8,1
"com.softwarepathfinder.visualization.prefuse.Example",81,2,3,1,22,0,0,4,0
"com.softwarepathfinder.visualization.prefuse.SimpleGraph",80,1,2,2,24,0,1,2,2
"com.softwarepathfinder.model.Invocation",75,14,14,14,9,1,14,1,6
"com.softwarepathfinder.visualization.yEd.GraphmlBuilder",71,1,1,7,11,6,0,10,2
"com.softwarepathfinder.visualization.prefuse.PathMethodLayout",69,2,2,13,8,2,0,3,1
"com.softwarepathfinder.parsing.PathMaker",59,3,2,8,10,7,2,9,1
"com.softwarepathfinder.model.Namespace",57,8,8,8,12,1,9,1,3
"com.softwarepathfinder.model.Field",53,11,11,11,6,0,5,1,6
"com.softwarepathfinder.parsing.java.NamespaceParser",52,3,2,5,11,4,1,10,3
"com.softwarepathfinder.visualization.blender.Geometry",51,12,12,12,1,1,1,2,6
