"method","loc","cyclo","calls","nbd","param"
"sneer.bricks.snapps.games.sliceWars.impl.logic.HexagonBoardFactory.internalCreateBoard()",35,15,7,3,0
"sneer.bricks.snapps.games.go.impl.gui.game.painters.StonePainter.getPieceImageToDraw(boolean black, boolean hover, boolean dead, boolean lastPlayed)",30,15,0,1,4
"sneer.bricks.hardware.ram.reflection.visitation.impl.ReflectionGuideImpl.isDeadEnd(Class<?> type)",17,13,4,1,1
"sneer.bricks.hardware.io.impl.FolderCopierToWorkaroundCommonsIoBug.doCopyDirectory(File srcDir, File destDir, FileFilter filter, boolean preserveFileDate, List exclusionList)",43,12,14,3,5
"basis.lang.Immutable.isImmutable(Class<?> type)",15,12,2,1,1
"sneer.bricks.hardware.io.impl.FolderCopierToWorkaroundCommonsIoBug.copyDirectory(File srcDir, File destDir, FileFilter filter, boolean preserveFileDate)",30,11,14,3,4
"sneer.bricks.softwaresharing.demolisher.impl.BrickHistoryImpl.calculateStatus()",15,11,7,1,0
"sneer.bricks.snapps.games.go.impl.logic.GoBoard.countTerritories()",25,10,7,3,0
"basis.lang.Pair.equals(Object obj)",20,10,4,1,1
"snype.whisper.audio.AudioCommon.fillInputDevices(Mixer mixer)",39,9,15,4,1
"snype.whisper.audio.AudioCommon.fillOutputDevices(Mixer mixer)",36,9,15,4,1
"snype.whisper.audio.AudioCommon.bestAvailableMixerForInput()",13,9,14,4,0
"snype.whisper.audio.AudioCommon.bestAvailableMixerForOutput()",13,9,14,4,0
"sneer.bricks.snapps.games.go.impl.logic.Move.equals(Object obj)",15,9,0,0,1
"sneer.bricks.snapps.games.sliceWars.impl.logic.gameStates.Attack.play(int x, int y, GameStateContext gameStateContext)",36,8,13,2,3
"dfcsantos.tracks.exchange.downloads.downloader.impl.TrackDownloaderImpl.prepareForDownload(final TrackEndorsement endorsement)",17,8,17,2,1
"sneer.bricks.softwaresharing.gui.impl.BrickHistoryTreeNode.getIcon()",26,8,11,1,0
"basis.brickness.ClassDefinition.equals(Object obj)",17,8,4,1,1
"sneer.bricks.snapps.games.go.impl.gui.game.GoBoardPanel.decideWinner()",31,7,5,3,0
"basis.testsupport.CleanTestBase.stopIfNecessary(Thread thread)",13,7,13,2,1
"sneer.bricks.snapps.games.go.impl.logic.Intersection.fillGroupWithNeighbours(GoBoard.StoneColor stoneColor, Set<Intersection> group)",10,7,6,2,2
"sneer.bricks.snapps.games.sliceWars.impl.logic.gameStates.DiceDistribution.play(final int x, final int y, final GameStateContext gameStateContext)",17,7,9,1,3
"sneer.bricks.expression.files.client.downloads.impl.AbstractDownload.equals(Object obj)",12,7,3,1,1
"sneer.bricks.expression.files.client.downloads.old.impl.AbstractDownloadOld.equals(Object obj)",12,7,3,1,1
"sneer.bricks.identity.keys.gui.impl.PublicKeyInitDialogImpl.isAlphanumeric(char c)",5,7,0,1,1
"sneer.bricks.softwaresharing.gui.impl.BrickTreeCellRenderer.getTreeCellRendererComponent(JTree tree, Object value, boolean sel, boolean expanded, boolean leaf, int row, boolean hasFocus_)",21,7,9,0,7
"sneer.bricks.hardware.io.prevalence.nature.impl.Bubble.wrapIfNecessary(Object object, ProducerX<Object,Exception> path)",12,7,7,0,2
"sneer.bricks.snapps.games.go.impl.logic.GoBoard.countDeadStones()",15,6,1,3,0
"sneer.bricks.snapps.games.go.impl.logic.IntersectionUtils.sameSituation(Intersection[][] intersectionsA, Intersection[][] intersectionsB)",12,6,0,3,2
"sneer.main.SneerVersionUpdater.copyFolder(File original, File copy, FileFilter filter)",17,6,10,2,3
"sneer.bricks.snapps.games.sliceWars.impl.logic.BoardImpl.getLinkedCellCount(BoardCell boardCell, Set<BoardCell> alreadyCounted, boolean ignoreOwner, BoardCell skipCell)",15,6,8,2,4
"sneer.main.SneerVersionUpdater.deleteFolder(File folder, FileFilter filter)",15,6,4,2,2
"sneer.bricks.network.computers.channels.impl.PriorityQueue.next()",15,6,4,2,0
"sneer.bricks.snapps.games.go.impl.logic.Intersection.killGroupIfSurrounded(GoBoard.StoneColor color)",12,6,2,2,1
"sneer.bricks.software.bricks.interception.impl.ClassEnhancer.emitMethodInterceptionFor(InterceptedMethod m, String continuationClass)",61,6,39,1,2
"sneer.bricks.software.bricks.interception.impl.ClassEnhancer.emitContinuationFor(InterceptedMethod m)",55,6,45,1,1
"sneer.bricks.expression.files.map.impl.FileMapData.getPaths(Hash hash, boolean isFolder)",14,6,5,1,2
"basis.lang.Immutable.equals(Object other)",10,6,4,1,1
"sneer.bricks.softwaresharing.gui.impl.BrickVersionTreeNode.getIcon()",15,6,8,0,0
"sneer.bricks.network.computers.addresses.contacts.tcp.impl.InternetAddressImpl.equals(Object obj)",9,6,6,0,1
"sneer.tests.adapters.impl.SneerPartyApiClassLoaderImpl.isNetworkClass(String className)",8,6,10,0,1
"sneer.snapps.games.drones.matches.impl.MatchImpl.result()",8,6,5,0,0
"sneer.bricks.network.computers.addresses.keeper.impl.InternetAddressImpl.InternetAddressImpl(Contact contact, String host, int port)",8,6,4,0,3
"sneer.bricks.skin.imgselector.impl.ImagePreviewAccessory.propertyChange(PropertyChangeEvent changeEvent)",20,5,11,4,1
