"namespace","ca","ce","instability","abstractness","distance"
"basis.lang",393,2,0.005063291139240506,0.7647058823529411,0.23023082650781834
"sneer.bricks.pulp.reactive.collections.impl",0,7,1.0,0.13333333333333333,0.1333333333333333
"sneer.bricks.skin.widgets.reactive.impl",0,13,1.0,0.2,0.19999999999999996
"sneer.bricks.snapps.games.sliceWars.impl.logic",34,0,0.0,0.26666666666666666,0.7333333333333334
"sneer.bricks.snapps.games.sliceWars.impl.logic.gameStates",14,1,0.06666666666666667,0.46153846153846156,0.4717948717948718
"sneer.bricks.pulp.reactive.collections",104,4,0.037037037037037035,1.0,0.03703703703703698
"sneer.bricks.softwaresharing.gui.impl",0,16,1.0,0.16666666666666666,0.16666666666666674
"sneer.bricks.hardware.io.prevalence.nature.impl",0,13,1.0,0.0,0.0
"sneer.bricks.snapps.games.go.impl.gui.game.painters",2,3,0.6,0.1,0.30000000000000004
"sneer.bricks.snapps.games.sliceWars.test.logic.gameStates",0,2,1.0,0.0,0.0
"basis.brickness.impl",5,4,0.4444444444444444,0.3333333333333333,0.22222222222222232
"sneer.bricks.network.computers.tcp.connections.impl",0,18,1.0,0.0,0.0
"sneer.bricks.skin.widgets.reactive",30,5,0.14285714285714285,0.8888888888888888,0.03174603174603163
"basis.environments",57,2,0.03389830508474576,0.25,0.7161016949152542
"sneer.bricks.expression.tuples.tests",1,14,0.9333333333333333,0.0,0.06666666666666665
"sneer.bricks.hardwaresharing.backup",2,8,0.8,0.5,0.30000000000000004
"sneer.bricks.snapps.games.sliceWars.impl.gui.drawers",1,2,0.6666666666666666,0.125,0.20833333333333337
"dfcsantos.music.ui.view.impl",0,18,1.0,0.0,0.0
"sneer.bricks.pulp.dyndns.updater",4,1,0.2,0.2857142857142857,0.5142857142857142
"sneer.bricks.pulp.reactive.impl",0,8,1.0,0.14285714285714285,0.1428571428571428
"sneer.bricks.snapps.chat.gui.panels.impl",0,17,1.0,0.0,0.0
"sneer.bricks.snapps.games.go.impl.logic",11,0,0.0,0.14285714285714285,0.8571428571428572
"sneer.bricks.software.code.metaclass.asm",5,0,0.0,1.0,0.0
"basis.brickness",29,3,0.09375,0.3333333333333333,0.5729166666666667
"sneer.bricks.expression.files.transfer",3,6,0.6666666666666666,0.16666666666666666,0.16666666666666674
"sneer.bricks.snapps.games.go.impl.gui.game",3,6,0.6666666666666666,0.16666666666666666,0.16666666666666674
"sneer.bricks.snapps.games.sliceWars.test.logic",0,1,1.0,0.0,0.0
"sneer.bricks.snapps.web.impl",2,11,0.8461538461538461,0.16666666666666666,0.012820512820512775
"sneer.bricks.software.bricks.interception.impl",0,3,1.0,0.0,0.0
"sneer.bricks.software.code.compilers",14,1,0.06666666666666667,0.8333333333333334,0.09999999999999998
"sneer.bricks.softwaresharing.demolisher.impl",0,15,1.0,0.0,0.0
"sneer.main",3,12,0.8,0.16666666666666666,0.033333333333333326
"snype.whisper.audio",0,3,1.0,0.16666666666666666,0.16666666666666674
"basis.brickness.testsupport",6,7,0.5384615384615384,0.2,0.2615384615384615
"basis.testsupport",14,1,0.06666666666666667,0.6,0.33333333333333337
"dfcsantos.music.impl",0,22,1.0,0.2,0.19999999999999996
"sneer.bricks.expression.files.protocol",29,5,0.14705882352941177,0.2,0.6529411764705882
"sneer.bricks.hardware.cpu.threads.impl",0,10,1.0,0.0,0.0
"sneer.bricks.hardwaresharing.dataspace.buckets",4,4,0.5,0.4,0.09999999999999998
"sneer.bricks.network.computers.udp.connections.impl",0,26,1.0,0.0,0.0
"sneer.bricks.pulp.reactive",186,4,0.021052631578947368,1.0,0.021052631578947434
"sneer.bricks.skin.menu.impl",0,4,1.0,0.2,0.19999999999999996
"sneer.bricks.software.code.metaclass.asm.impl",0,1,1.0,0.0,0.0
"sneer.bricks.software.code.metaclass.impl",0,4,1.0,0.2,0.19999999999999996
"sneer.bricks.software.timing",4,0,0.0,1.0,0.0
"snype.whisper.gui",2,3,0.6,0.4,0.0
"basis.lang.exceptions",51,0,0.0,0.0,1.0
"dfcsantos.tracks.execution.player.impl",0,8,1.0,0.0,0.0
"dfcsantos.tracks.execution.playlist.impl",0,3,1.0,0.25,0.25
"dfcsantos.tracks.tastematching.impl",0,4,1.0,0.0,0.0
"sneer.bricks.expression.files.client.downloads.impl",0,22,1.0,0.25,0.25
"sneer.bricks.expression.files.client.downloads.old.impl",0,22,1.0,0.25,0.25
"sneer.bricks.expression.files.map.impl",0,7,1.0,0.0,0.0
