"namespace","noc","nac"
"basis.lang",17,13
"sneer.bricks.pulp.reactive.collections.impl",15,2
"sneer.bricks.skin.widgets.reactive.impl",15,3
"sneer.bricks.snapps.games.sliceWars.impl.logic",15,4
"sneer.bricks.snapps.games.sliceWars.impl.logic.gameStates",13,6
"sneer.bricks.pulp.reactive.collections",12,12
"sneer.bricks.softwaresharing.gui.impl",12,2
"sneer.bricks.hardware.io.prevalence.nature.impl",10,0
"sneer.bricks.snapps.games.go.impl.gui.game.painters",10,1
"sneer.bricks.snapps.games.sliceWars.test.logic.gameStates",10,0
"basis.brickness.impl",9,3
"sneer.bricks.network.computers.tcp.connections.impl",9,0
"sneer.bricks.skin.widgets.reactive",9,8
"basis.environments",8,2
"sneer.bricks.expression.tuples.tests",8,0
"sneer.bricks.hardwaresharing.backup",8,4
"sneer.bricks.snapps.games.sliceWars.impl.gui.drawers",8,1
"dfcsantos.music.ui.view.impl",7,0
"sneer.bricks.pulp.dyndns.updater",7,2
"sneer.bricks.pulp.reactive.impl",7,1
"sneer.bricks.snapps.chat.gui.panels.impl",7,0
"sneer.bricks.snapps.games.go.impl.logic",7,1
"sneer.bricks.software.code.metaclass.asm",7,7
"basis.brickness",6,2
"sneer.bricks.expression.files.transfer",6,1
"sneer.bricks.snapps.games.go.impl.gui.game",6,1
"sneer.bricks.snapps.games.sliceWars.test.logic",6,0
"sneer.bricks.snapps.web.impl",6,1
"sneer.bricks.software.bricks.interception.impl",6,0
"sneer.bricks.software.code.compilers",6,5
"sneer.bricks.softwaresharing.demolisher.impl",6,0
"sneer.main",6,1
"snype.whisper.audio",6,1
"basis.brickness.testsupport",5,1
"basis.testsupport",5,3
"dfcsantos.music.impl",5,1
"sneer.bricks.expression.files.protocol",5,1
"sneer.bricks.hardware.cpu.threads.impl",5,0
"sneer.bricks.hardwaresharing.dataspace.buckets",5,2
"sneer.bricks.network.computers.udp.connections.impl",5,0
"sneer.bricks.pulp.reactive",5,5
"sneer.bricks.skin.menu.impl",5,1
"sneer.bricks.software.code.metaclass.asm.impl",5,0
"sneer.bricks.software.code.metaclass.impl",5,1
"sneer.bricks.software.timing",5,5
"snype.whisper.gui",5,2
"basis.lang.exceptions",4,0
"dfcsantos.tracks.execution.player.impl",4,0
"dfcsantos.tracks.execution.playlist.impl",4,1
"dfcsantos.tracks.tastematching.impl",4,0
"sneer.bricks.expression.files.client.downloads.impl",4,1
"sneer.bricks.expression.files.client.downloads.old.impl",4,1
"sneer.bricks.expression.files.map.impl",4,0
"sneer.bricks.hardware.cpu.crypto",4,3
"sneer.bricks.hardware.cpu.crypto.impl",4,0
"sneer.bricks.hardware.cpu.lang.contracts",4,4
"sneer.bricks.network.social.navigation",4,1
"sneer.bricks.pulp.blinkinglights",4,3
"sneer.bricks.pulp.probe.tests",4,1
"sneer.bricks.skin.imgselector.impl",4,0
"sneer.bricks.skin.main.dashboard.impl",4,0
"sneer.bricks.snapps.games.go.impl.network",4,0
"sneer.bricks.software.bricks.repl",4,3
"sneer.bricks.software.timing.impl",4,0
"sneer.bricks.softwaresharing",4,4
"sneer.snapps.games.drones.units",4,3
"sneer.tests.adapters",4,3
"snype.whisper.speex.impl",4,0
"basis.brickness.testsupport.tests",3,0
"basis.lang.arrays",3,0
"sneer.bricks.expression.files.client.downloads",3,2
"sneer.bricks.expression.files.client.downloads.gui.impl",3,0
"sneer.bricks.expression.files.tests",3,1
"sneer.bricks.hardware.cpu.threads.tests",3,1
"sneer.bricks.hardware.cpu.timebox.impl",3,0
"sneer.bricks.hardware.gui.trayicon",3,2
"sneer.bricks.hardware.io.log.tests",3,1
"sneer.bricks.hardware.ram.reflection.visitation",3,3
"sneer.bricks.hardwaresharing.dataspace.buckets.impl",3,0
"sneer.bricks.network.computers.addresses.keeper.impl",3,1
"sneer.bricks.network.computers.channels.guaranteed.splitter.impl",3,0
"sneer.bricks.network.computers.channels.impl",3,0
"sneer.bricks.network.computers.connections",3,3
"sneer.bricks.network.computers.tcp",3,3
"sneer.bricks.network.computers.tcp.impl",3,0
"sneer.bricks.network.computers.udp.connections.tests",3,0
"sneer.bricks.network.computers.udp.holepuncher.protocol",3,1
"sneer.bricks.network.computers.udp.server.impl",3,0
"sneer.bricks.network.social.attributes",3,2
"sneer.bricks.network.social.attributes.gui.impl",3,0
"sneer.bricks.network.social.attributes.tests.fixtures",3,3
"sneer.bricks.pulp.distribution.filtering.tests",3,0
"sneer.bricks.pulp.notifiers.impl",3,0
"sneer.bricks.pulp.notifiers",3,3
"sneer.bricks.pulp.notifiers.pulsers.impl",3,0
"sneer.bricks.pulp.notifiers.pulsers",3,3
"sneer.bricks.pulp.probe.impl",3,0
"sneer.bricks.pulp.reactive.collections.tests",3,0
"sneer.bricks.pulp.reactive.signalchooser",3,3
"sneer.bricks.pulp.retrier",3,3
"sneer.bricks.pulp.serialization.impl",3,0
"sneer.bricks.pulp.streams.sequencer.impl",3,0
"sneer.bricks.snapps.contacts.gui",3,3
"sneer.bricks.snapps.games.go.impl",3,2
"sneer.bricks.snapps.games.sliceWars.impl",3,1
"sneer.bricks.snapps.games.sliceWars.impl.sneer",3,0
"sneer.bricks.snapps.web.tests",3,0
"sneer.bricks.software.bricks.interception",3,2
"sneer.bricks.software.bricks.interception.fixtures.combinedmethods.impl",3,0
"sneer.bricks.software.bricks.repl.impl",3,0
"sneer.bricks.software.code.compilers.java.impl",3,0
"sneer.bricks.software.code.compilers.java.tests",3,0
"sneer.tests.adapters.impl.utils.network",3,0
"sneer.tests",3,3
"snype.whisper.skin.audio.loopback.impl",3,0
"snype.whisper.speex",3,3
"snype.whisper.speextuples",3,2
"basis.brickness.impl.tests",2,0
"basis.brickness.impl.tests.fixtures",2,2
"basis.testsupport.tests",2,0
"basis.util.concurrent",2,0
"dfcsantos.music.ui.presenter.impl",2,0
"dfcsantos.music.ui.view",2,2
"dfcsantos.tracks.exchange.endorsements",2,1
"dfcsantos.tracks.execution.player",2,2
"dfcsantos.tracks.execution.playlist",2,2
"dfcsantos.tracks.impl",2,0
"dfcsantos.tracks",2,2
"sneer.bricks.expression.files.map.mapper",2,1
"sneer.bricks.expression.files.map.mapper.impl",2,0
"sneer.bricks.expression.files.map.mapper.tests",2,0
