"metric","1stQ","3rdQ","avg","median","min","max","max-min","stddev","u-fence","threshold"
"SLOC",8.0,46.0,35.11869666408068,18.0,2.0,475.0,473.0,44.31296797385583,103.0,500.0
"NOM",1.0,6.5,5.0628394103956555,3.0,0.0,76.0,76.0,6.574388443346012,14.75,14.0
"NPM",1.0,4.0,3.484096198603569,2.0,0.0,49.0,49.0,4.316055504955326,8.5,40.0
"WMC",1.0,7.0,5.8944918541505045,3.0,1.0,92.0,91.0,8.405161649387752,16.0,100.0
"DEP",2.0,8.0,6.263770364623739,4.0,0.0,55.0,55.0,7.1356314840744774,17.0,20.0
"I-DEP",0.0,5.0,3.517455391776571,2.0,0.0,47.0,47.0,4.727800786241647,12.5,15.0
"FAN-IN",0.0,3.0,3.909231962761831,1.0,0.0,199.0,199.0,12.477392438459978,7.5,10.0
"FAN-OUT",1.0,7.0,5.211792086889061,3.0,0.0,56.0,56.0,5.9439573504463254,16.0,15.0
"NOA",0.0,2.0,1.6012412723041116,1.0,0.0,28.0,28.0,2.625742056105504,5.0,8.0
"LCOM3",0.0,0.9148550724637681,0.40141268668281876,0.0,0.0,2.0,2.0,0.4761520390648686,2.28713768115942,1.0
