"type","dep","i-dep","fan-in","fan-out"
"sneer.tests.adapters.impl.SneerPartyControllerImpl",55,47,0,56
"sneer.bricks.snapps.games.go.impl.gui.game.GoBoardPanel",31,13,2,20
"sneer.bricks.skin.main.dashboard.impl.DashboardPanel",48,10,1,23
"sneer.bricks.network.computers.udp.connections.tests.UdpConnectionManagerTest",52,29,0,33
"sneer.bricks.snapps.games.go.tests.logic.GoTest",5,3,0,5
"sneer.bricks.software.bricks.interception.impl.ClassEnhancer",13,3,1,11
"basis.testsupport.CleanTestBase",11,0,3,11
"sneer.bricks.snapps.games.go.impl.logic.GoBoard",5,0,5,1
"sneer.bricks.expression.files.client.downloads.impl.AbstractDownload",24,18,2,23
"sneer.bricks.expression.files.client.downloads.old.impl.AbstractDownloadOld",24,18,2,23
"sneer.bricks.skin.widgets.reactive.impl.RAbstractField",29,11,2,20
"sneer.bricks.software.bricks.interception.tests.InterceptionTest",27,18,0,20
"sneer.bricks.softwaresharing.gui.impl.BricksGuiImpl",40,15,0,23
"dfcsantos.music.tests.MusicFunctionalTest",27,17,0,21
"sneer.bricks.snapps.system.log.gui.impl.LogConsoleImpl",52,22,0,35
"sneer.bricks.expression.files.map.mapper.impl.MapperWorker",28,13,1,20
"sneer.bricks.hardware.io.impl.IOImpl",21,5,0,12
"dfcsantos.music.ui.presenter.impl.MusicPresenterImpl",23,20,0,24
"sneer.bricks.softwaresharing.stager.tests.BrickStagerTest",29,20,1,25
"sneer.bricks.snapps.owninfo.impl.OwnInfoImpl",43,20,0,30
"sneer.bricks.snapps.system.blinkinglights.gui.impl.BlinkingLightsGuiImpl",43,14,0,29
"sneer.bricks.expression.files.client.downloads.impl.FileDownload",29,16,1,19
"sneer.bricks.expression.files.client.downloads.old.impl.FileDownloadOld",29,16,2,19
"sneer.bricks.pulp.dyndns.client.impl.DynDnsClientImpl",21,18,0,25
"snype.whisper.audio.AudioCommon",14,3,0,9
"sneer.bricks.snapps.chat.gui.panels.impl.ChatPanelImpl",38,11,1,20
"sneer.bricks.hardwaresharing.backup.impl.SnackupImpl",39,33,0,38
"sneer.bricks.software.bricks.compiler.impl.Build",19,8,1,13
"sneer.bricks.pulp.reactive.collections.listsorter.tests.ListSorterTest",17,11,0,13
"sneer.bricks.skin.image.impl.ImageFactoryImpl",25,3,0,14
"sneer.bricks.expression.files.transfer.impl.FileTransferImpl",35,26,0,29
"sneer.bricks.software.bricks.compiler.tests.BuilderTest",23,17,0,20
"dfcsantos.music.impl.MusicImpl",17,15,0,17
"dfcsantos.tracks.exchange.downloads.downloader.impl.TrackDownloaderImpl",33,27,0,29
"basis.brickness.testsupport.BrickTestRunner",22,11,2,22
"sneer.bricks.snapps.games.sliceWars.impl.logic.BoardImpl",7,0,2,3
"sneer.bricks.snapps.games.go.impl.gui.game.painters.PiecePainter",10,0,1,2
"sneer.bricks.snapps.diff.text.gui.impl.TextDiffPanelsImpl",27,6,0,18
"sneer.main.SneerVersionUpdater",13,0,2,3
"sneer.bricks.hardware.io.prevalence.nature.tests.PrevalentNatureTest",11,8,0,11
"dfcsantos.music.ui.view.impl.FolderSelectionPanel",21,5,1,14
"sneer.bricks.hardware.clock.timer.impl.TimerImpl",14,11,0,18
"sneer.bricks.network.computers.udp.connections.impl.Guardian",23,12,1,14
"sneer.bricks.softwaresharing.gui.impl.FakeModel",17,12,0,16
"sneer.tests.adapters.SneerCommunity",24,15,1,22
"sneer.tests.freedom7.Freedom7Test",12,6,0,11
"sneer.bricks.expression.snoard.impl.SnoardImpl",25,14,0,18
"sneer.bricks.snapps.chat.gui.panels.impl.MessageListCellRenderer",21,3,0,7
"sneer.bricks.pulp.reactive.collections.impl.ListRegisterImpl",12,8,1,14
"sneer.bricks.skin.main.dashboard.impl.DashboardImpl",30,16,0,24
"snype.whisper.speextuples.tests.SpeexTuplesTest",24,19,0,22
"sneer.snapps.games.drones.ui.impl.DronesUIImpl",29,17,0,23
"sneer.bricks.network.computers.upnp.impl.UpnpImpl",18,10,0,15
"sneer.bricks.pulp.reactive.collections.impl.SetRegisterImpl",19,12,2,17
"sneer.bricks.softwaresharing.demolisher.tests.DemolisherTest",21,14,0,18
"sneer.bricks.pulp.dyndns.client.tests.DynDnsClientTest",25,20,0,22
"sneer.bricks.snapps.games.sliceWars.test.logic.BoardTest",9,4,0,4
"sneer.bricks.software.diff.tests.TextComparatorTest",12,2,0,5
"sneer.bricks.network.computers.udp.holepuncher.client.tests.StunClientTest",33,23,0,25
"sneer.bricks.softwaresharing.demolisher.impl.BrickVersionImpl",22,16,1,22
"sneer.bricks.softwaresharing.stager.impl.BrickStagerImpl",20,14,0,17
"sneer.bricks.pulp.blinkinglights.impl.BlinkingLightsImpl",20,12,0,14
"sneer.bricks.snapps.games.go.impl.GoMainImpl",30,26,0,28
"sneer.bricks.snapps.contacts.gui.impl.ContactsGuiImpl",30,21,0,25
"sneer.bricks.snapps.contacts.gui.info.impl.ContactInfoWindowImpl",29,16,0,20
"sneer.bricks.softwaresharing.impl.BrickSpaceImpl",32,25,0,30
"sneer.bricks.network.social.navigation.gui.impl.ContactNavigationWindowImpl",29,19,0,24
"sneer.bricks.snapps.gis.map.gui.impl.MapGuiImpl",24,11,0,17
"sneer.bricks.pulp.reactive.collections.impl.MapRegisterImpl",21,14,1,22
"sneer.bricks.snapps.games.sliceWars.test.logic.gameStates.AttackPhaseTest",8,3,0,3
"sneer.bricks.hardware.cpu.crypto.impl.CryptoImpl",27,7,0,9
"sneer.bricks.network.computers.udp.holepuncher.client.impl.StunClientImpl",28,18,0,23
"sneer.bricks.snapps.games.go.impl.gui.game.GameMenu",9,0,1,4
"dfcsantos.music.ui.view.impl.PlayerControlsPanel",16,3,1,8
"sneer.bricks.softwaresharing.demolisher.impl.BrickHistoryImpl",19,13,1,16
"snype.whisper.speextuples.impl.SpeexTuples2Impl",26,19,0,21
"sneer.bricks.network.computers.tcp.accepter.impl.SocketAccepterImpl",21,18,0,21
"sneer.bricks.snapps.games.go.impl.gui.game.GuiPlayer",16,7,2,12
"sneer.bricks.expression.files.server.impl.FileServerImpl",23,17,0,21
"sneer.bricks.hardware.cpu.lang.impl.LangImpl",14,1,0,6
"sneer.bricks.expression.files.map.impl.NormalizedFileMap",11,6,1,9
"sneer.bricks.pulp.reactive.signalchooser.tests.ListOfSignalsReceiverTest",15,12,0,18
"snype.whisper.gui.impl.SnypeGUIImpl",22,19,0,21
"sneer.bricks.skin.imgselector.impl.Keyhole",16,1,1,5
"sneer.bricks.hardware.io.log.tests.BrickTestWithLogger",15,3,1,13
"dfcsantos.music.impl.TrackSourceStrategy",18,13,2,14
"dfcsantos.music.ui.view.impl.MusicViewDemo",26,18,0,23
"sneer.bricks.snapps.games.go.impl.gui.game.painters.StonePainter",3,0,1,2
"sneer.bricks.expression.files.map.impl.FileMapData",5,1,1,5
"basis.lang.Immutable",7,1,5,9
"sneer.bricks.hardware.cpu.crypto.tests.CryptoTest",17,6,0,10
"sneer.bricks.snapps.games.sliceWars.impl.gui.GamePanel",22,13,1,17
"sneer.bricks.skin.widgets.reactive.impl.RListImpl",19,9,1,15
"sneer.bricks.hardware.io.impl.FolderCopierToWorkaroundCommonsIoBug",9,0,0,2
"sneer.bricks.hardware.gui.trayicon.impl.TrayIconImpl",22,9,1,14
"snype.whisper.speextuples.impl.SpeexTuplesImpl",25,21,0,23
"sneer.bricks.skin.imgselector.impl.ImageDialog",16,2,1,7
"sneer.bricks.snapps.games.sliceWars.impl.logic.gameStates.Attack",6,5,7,7
"sneer.bricks.software.code.compilers.tests.LanguageCompilerTestBase",15,8,2,13
"sneer.bricks.hardware.cpu.timebox.impl.TimeboxRunner",7,4,1,9
"sneer.bricks.hardware.clock.timer.tests.TimerTest",12,7,0,12
"sneer.bricks.expression.files.tests.FileCopyTestBase",16,11,2,16
"snype.whisper.skin.audio.mic.impl.MicImpl",16,15,0,18
