"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"sneer.tests.adapters.impl.SneerPartyControllerImpl",475,76,43,92,55,47,0,56,5
"sneer.bricks.snapps.games.go.impl.gui.game.GoBoardPanel",391,43,25,64,31,13,2,20,28
"sneer.bricks.skin.main.dashboard.impl.DashboardPanel",343,53,23,46,48,10,1,23,22
"sneer.bricks.network.computers.udp.connections.tests.UdpConnectionManagerTest",339,44,24,40,52,29,0,33,8
"sneer.bricks.snapps.games.go.tests.logic.GoTest",332,19,17,19,5,3,0,5,1
"sneer.bricks.software.bricks.interception.impl.ClassEnhancer",267,32,8,55,13,3,1,11,15
"basis.testsupport.CleanTestBase",252,37,10,68,11,0,3,11,10
"sneer.bricks.snapps.games.go.impl.logic.GoBoard",245,33,18,76,5,0,5,1,12
"sneer.bricks.expression.files.client.downloads.impl.AbstractDownload",216,38,16,63,24,18,2,23,19
"sneer.bricks.expression.files.client.downloads.old.impl.AbstractDownloadOld",216,38,16,63,24,18,2,23,19
"sneer.bricks.skin.widgets.reactive.impl.RAbstractField",213,34,20,34,29,11,2,20,12
"sneer.bricks.software.bricks.interception.tests.InterceptionTest",209,38,32,18,27,18,0,20,2
"sneer.bricks.softwaresharing.gui.impl.BricksGuiImpl",209,24,10,21,40,15,0,23,13
"dfcsantos.music.tests.MusicFunctionalTest",200,13,6,14,27,17,0,21,4
"sneer.bricks.snapps.system.log.gui.impl.LogConsoleImpl",198,31,15,16,52,22,0,35,14
"sneer.bricks.expression.files.map.mapper.impl.MapperWorker",196,24,4,54,28,13,1,20,6
"sneer.bricks.hardware.io.impl.IOImpl",195,57,49,9,21,5,0,12,4
"dfcsantos.music.ui.presenter.impl.MusicPresenterImpl",195,36,25,39,23,20,0,24,9
"sneer.bricks.softwaresharing.stager.tests.BrickStagerTest",195,35,9,39,29,20,1,25,1
"sneer.bricks.snapps.owninfo.impl.OwnInfoImpl",195,26,6,26,43,20,0,30,9
"sneer.bricks.snapps.system.blinkinglights.gui.impl.BlinkingLightsGuiImpl",191,24,9,23,43,14,0,29,11
"sneer.bricks.expression.files.client.downloads.impl.FileDownload",189,23,2,40,29,16,1,19,7
"sneer.bricks.expression.files.client.downloads.old.impl.FileDownloadOld",189,23,2,40,29,16,2,19,7
"sneer.bricks.pulp.dyndns.client.impl.DynDnsClientImpl",187,32,18,36,21,18,0,25,16
"snype.whisper.audio.AudioCommon",186,9,3,49,14,3,0,9,2
"sneer.bricks.snapps.chat.gui.panels.impl.ChatPanelImpl",185,22,8,31,38,11,1,20,9
"sneer.bricks.hardwaresharing.backup.impl.SnackupImpl",176,29,11,25,39,33,0,38,8
"sneer.bricks.software.bricks.compiler.impl.Build",175,28,1,37,19,8,1,13,3
"sneer.bricks.pulp.reactive.collections.listsorter.tests.ListSorterTest",168,10,7,8,17,11,0,13,12
"sneer.bricks.skin.image.impl.ImageFactoryImpl",166,17,13,23,25,3,0,14,3
"sneer.bricks.expression.files.transfer.impl.FileTransferImpl",163,25,12,24,35,26,0,29,6
"sneer.bricks.software.bricks.compiler.tests.BuilderTest",161,19,5,21,23,17,0,20,1
"dfcsantos.music.impl.MusicImpl",154,28,25,31,17,15,0,17,8
"dfcsantos.tracks.exchange.downloads.downloader.impl.TrackDownloaderImpl",154,24,5,37,33,27,0,29,5
"basis.brickness.testsupport.BrickTestRunner",154,21,6,31,22,11,2,22,2
"sneer.bricks.snapps.games.sliceWars.impl.logic.BoardImpl",151,19,14,42,7,0,2,3,1
"sneer.bricks.snapps.games.go.impl.gui.game.painters.PiecePainter",149,15,0,18,10,0,1,2,6
"sneer.bricks.snapps.diff.text.gui.impl.TextDiffPanelsImpl",147,15,10,14,27,6,0,18,11
"sneer.main.SneerVersionUpdater",142,19,3,42,13,0,2,3,3
"sneer.bricks.hardware.io.prevalence.nature.tests.PrevalentNatureTest",141,26,25,14,11,8,0,11,0
"dfcsantos.music.ui.view.impl.FolderSelectionPanel",138,18,6,15,21,5,1,14,7
"sneer.bricks.hardware.clock.timer.impl.TimerImpl",136,20,15,25,14,11,0,18,12
