"from","to","number"
"org.sonar.api.SonarRuntime","org.sonar.api.batch.sensor.SensorContext",1
"org.sonar.api.batch.fs.InputFile","org.sonar.api.batch.sensor.SensorDescriptor",1
"org.sonar.api.batch.fs.InputModule","org.sonar.api.batch.sensor.SensorContext",1
"org.sonar.api.batch.fs.internal.FileMetadata","org.sonar.api.batch.fs.internal.charhandler.LineHashComputer",1
"org.sonar.api.batch.sensor.SensorContext","org.sonar.api.scanner.fs.InputProject",1
"org.sonar.api.batch.sensor.SensorContext","org.sonar.api.scanner.sensor.ProjectSensor",1
"org.sonar.api.batch.sensor.SensorDescriptor","org.sonar.api.scanner.sensor.ProjectSensor",1
"org.sonar.api.profiles.RulesProfile","org.sonar.api.rules.ActiveRule",1
"org.sonar.api.server.rule.RulesDefinition","org.sonar.api.server.rule.internal.DefaultNewRepository",1
"org.sonar.api.server.rule.RulesDefinition","org.sonar.api.server.rule.internal.DefaultRepository",1
"org.sonar.core.issue.DefaultIssue","org.sonar.core.issue.tracking.Trackable",1
"org.sonar.db.DbTester","org.sonar.db.alm.AlmDbTester",1
"org.sonar.db.DbTester","org.sonar.db.alm.integration.pat.AlmPatsDbTester",1
"org.sonar.db.DbTester","org.sonar.db.almsettings.AlmSettingsDbTester",1
"org.sonar.db.DbTester","org.sonar.db.component.ComponentDbTester",1
"org.sonar.db.DbTester","org.sonar.db.component.ProjectLinkDbTester",1
"org.sonar.db.DbTester","org.sonar.db.event.EventDbTester",1
"org.sonar.db.DbTester","org.sonar.db.favorite.FavoriteDbTester",1
"org.sonar.db.DbTester","org.sonar.db.issue.IssueDbTester",1
"org.sonar.db.DbTester","org.sonar.db.measure.MeasureDbTester",1
"org.sonar.db.DbTester","org.sonar.db.newcodeperiod.NewCodePeriodDbTester",1
"org.sonar.db.DbTester","org.sonar.db.notification.NotificationDbTester",1
"org.sonar.db.DbTester","org.sonar.db.organization.OrganizationDbTester",1
"org.sonar.db.DbTester","org.sonar.db.permission.template.PermissionTemplateDbTester",1
"org.sonar.db.DbTester","org.sonar.db.plugin.PluginDbTester",1
"org.sonar.db.DbTester","org.sonar.db.property.InternalComponentPropertyDbTester",1
"org.sonar.db.DbTester","org.sonar.db.property.PropertyDbTester",1
"org.sonar.db.DbTester","org.sonar.db.qualitygate.QualityGateDbTester",1
"org.sonar.db.DbTester","org.sonar.db.qualityprofile.QualityProfileDbTester",1
"org.sonar.db.DbTester","org.sonar.db.rule.RuleDbTester",1
"org.sonar.db.DbTester","org.sonar.db.source.FileSourceTester",1
"org.sonar.db.DbTester","org.sonar.db.user.RootFlagAssertions",1
"org.sonar.db.DbTester","org.sonar.db.user.UserDbTester",1
"org.sonar.db.DbTester","org.sonar.db.webhook.WebhookDbTester",1
"org.sonar.db.DbTester","org.sonar.db.webhook.WebhookDeliveryDbTester",1
"org.sonar.scanner.mediumtest.AnalysisObservers","org.sonar.scanner.scan.ProjectScanContainer",1
"org.sonar.server.es.EsClient","org.sonar.server.es.request.ProxyClearCacheRequestBuilder",1
"org.sonar.server.es.EsClient","org.sonar.server.es.request.ProxyClusterHealthRequestBuilder",1
"org.sonar.server.es.EsClient","org.sonar.server.es.request.ProxyClusterStateRequestBuilder",1
"org.sonar.server.es.EsClient","org.sonar.server.es.request.ProxyClusterStatsRequestBuilder",1
"org.sonar.server.es.EsClient","org.sonar.server.es.request.ProxyCreateIndexRequestBuilder",1
"org.sonar.server.es.EsClient","org.sonar.server.es.request.ProxyDeleteRequestBuilder",1
"org.sonar.server.es.EsClient","org.sonar.server.es.request.ProxyGetRequestBuilder",1
"org.sonar.server.es.EsClient","org.sonar.server.es.request.ProxyIndexRequestBuilder",1
"org.sonar.server.es.EsClient","org.sonar.server.es.request.ProxyIndicesExistsRequestBuilder",1
"org.sonar.server.es.EsClient","org.sonar.server.es.request.ProxyIndicesStatsRequestBuilder",1
"org.sonar.server.es.EsClient","org.sonar.server.es.request.ProxyNodesStatsRequestBuilder",1
"org.sonar.server.es.EsClient","org.sonar.server.es.request.ProxyPutMappingRequestBuilder",1
"org.sonar.server.es.EsClient","org.sonar.server.es.request.ProxyRefreshRequestBuilder",1
"org.sonar.server.es.EsClient","org.sonar.server.es.request.ProxySearchRequestBuilder",1
"org.sonar.server.es.EsClient","org.sonar.server.es.request.ProxySearchScrollRequestBuilder",1
