"namespace","noc","nac"
"org.sonar.ce.task.projectanalysis.step",110,2
"org.sonar.ce.task.projectanalysis.component",95,19
"org.sonar.ce.task.projectanalysis.issue",89,6
"org.sonar.server.qualityprofile",71,9
"org.sonar.server.qualityprofile.ws",71,1
"org.sonar.server.es",65,8
"org.sonar.server.authentication",65,9
"org.sonar.db.component",59,6
"org.sonar.server.platform",52,9
"org.sonar.db",50,11
"org.sonar.db.qualityprofile",48,7
"org.sonar.server.issue",47,6
"org.sonar.server.issue.notification",46,5
"org.sonar.server.platform.ws",46,2
"org.sonar.api.utils",45,7
"org.sonar.db.user",43,7
"org.sonar.server.util",43,6
"org.sonar.server.issue.ws",43,1
"org.sonar.process",42,6
"org.sonar.core.util",41,4
"org.sonar.scanner.bootstrap",41,6
"org.sonar.xoo.rule",40,1
"org.sonar.ce.task.projectanalysis.source",39,6
"org.sonar.server.qualitygate.ws",39,1
"org.sonar.application",38,9
"org.sonar.scanner.scan",38,2
"org.sonar.db.ce",37,6
"org.sonar.server.qualitygate",37,1
"org.sonar.ce.task.projectanalysis.measure",36,5
"org.sonar.server.issue.workflow",36,2
"org.sonar.server.rule",36,5
"org.sonar.server.ce.ws",36,1
"org.sonar.server.permission.ws.template",36,1
"org.sonar.server.user.ws",36,2
"org.sonar.server.webhook",35,3
"org.sonar.server.health",35,5
"org.sonar.api.utils.log",34,5
"org.sonar.server.platform.db.migration.version.v81",33,0
"org.sonar.auth.ldap",32,0
"org.sonar.ce.taskprocessor",32,8
"org.sonar.server.organization",32,9
"org.sonar.server.platform.db.migration.step",31,14
"org.sonar.server.es.request",31,0
"org.sonar.server.user",31,5
"org.sonar.server.measure.ws",31,1
"org.sonar.scanner.scan.filesystem",31,2
"org.sonarqube.ws.client",31,12
"org.sonar.server.platform.web",30,1
"org.sonar.server.component.ws",30,1
"org.sonar.core.platform",30,5
"org.sonar.ce.task.projectanalysis.qualitygate",29,6
"org.sonar.server.rule.ws",29,1
"org.sonarqube.ws.client.qualityprofiles",29,0
"org.sonar.ce.task.projectanalysis.duplication",28,4
"org.sonar.server.issue.index",28,1
"org.sonar.server.permission",28,3
"org.sonar.server.permission.ws",28,2
"org.sonar.server.plugins.ws",28,2
"org.sonar.server.platform.db.migration.version.v82",27,0
"org.sonar.server.plugins",27,1
"org.sonar.server.organization.ws",27,1
"org.sonar.server.project.ws",27,1
"org.sonar.server.component.index",26,1
"org.sonar.server.projectanalysis.ws",26,1
"org.sonar.server.setting.ws",26,1
"org.sonar.server.ws",26,1
"org.sonar.api.batch.fs.internal.predicates",26,3
"org.sonar.ce.task.projectanalysis.filemove",25,9
"org.sonar.server.platform.monitoring",25,4
"org.sonar.server.app",25,3
"org.sonar.scanner.ci.vendors",25,0
"org.sonarqube.ws.client.permissions",25,0
"org.sonar.server.platform.db.migration.version.v84.activerules",24,0
"org.sonar.server.platform.monitoring.cluster",24,2
"org.sonar.scanner.report",24,1
"org.sonar.scanner.repository",24,4
"org.sonarqube.ws.client.views",24,0
"org.sonar.db.property",23,3
"org.sonar.server.platform.db.migration",23,4
"org.sonar.server.platform.db.migration.def",23,2
"org.sonar.server.platform.db.migration.version.v80",23,0
"org.sonar.server.usergroups.ws",23,1
"org.sonar.server.hotspot.ws",22,1
"org.sonar.db.measure",21,2
"org.sonar.server.platform.db.migration.sql",21,0
"org.sonar.server.notification",21,5
"org.sonar.server.metric.ws",21,1
"org.sonar.server.source.ws",21,1
"org.sonar.server.webhook.ws",21,1
"org.sonar.ce.task.projectanalysis.formula",20,5
"org.sonar.ce.task.projectanalysis.issue.commonrule",20,4
"org.sonar.db.rule",20,2
"org.sonar.server.es.newindex",20,3
"org.sonar.server.measure.custom.ws",20,1
"org.sonar.scanner.scan.branch",20,5
"org.sonar.auth.github",19,1
"org.sonar.server.platform.db.migration.charset",19,2
"org.sonar.application.config",19,2
"org.sonar.server.setting",19,2
"org.sonar.server.notification.ws",19,2
