"metric","1stQ","3rdQ","avg","median","min","max","max-min","stddev","u-fence","threshold"
"SLOC",21.0,93.0,79.40757623388872,44.0,1.0,1524.0,1523.0,108.97572917692501,201.0,500.0
"NOM",2.0,10.0,7.961332914177931,5.0,0.0,122.0,122.0,10.024306265811981,22.0,14.0
"NPM",2.0,8.0,6.515246777742848,3.0,0.0,120.0,120.0,8.746553828596822,17.0,40.0
"WMC",2.0,12.0,9.830713612071676,5.0,1.0,134.0,133.0,12.665978700247132,27.0,100.0
"DEP",3.0,14.0,10.67353033637221,7.0,0.0,314.0,314.0,12.65792364046618,30.5,20.0
"I-DEP",0.0,5.0,3.9786230745048727,2.0,0.0,314.0,314.0,7.642424203818937,12.5,15.0
"FAN-IN",0.0,3.0,5.169129204652625,1.0,0.0,719.0,719.0,25.81184797548264,7.5,10.0
"FAN-OUT",1.0,7.0,5.486482238289846,3.0,0.0,315.0,315.0,8.268115369442823,16.0,15.0
"NOA",1.0,5.0,3.801163156240176,2.0,0.0,237.0,237.0,5.992023821726597,11.0,8.0
"LCOM3",0.0,0.9,0.5616325012294235,0.7142857142857143,0.0,2.0,2.0,0.4288035841297696,2.25,1.0
