"type","dep","i-dep","fan-in","fan-out"
"org.sonar.db.component.ComponentDaoTest",60,10,0,13
"org.sonar.db.purge.PurgeDaoTest",84,36,0,40
"org.sonar.server.measure.index.ProjectMeasuresIndexTest",53,15,0,16
"org.sonar.server.hotspot.ws.SearchActionTest",71,24,0,26
"org.sonar.server.platform.db.migration.version.v00.CreateInitialSchema",28,11,1,13
"org.sonar.server.component.ws.SearchProjectsActionTest",85,23,0,25
"org.sonar.db.property.PropertiesDaoTest",37,9,0,13
"org.sonar.api.measures.CoreMetrics",6,1,85,2
"org.sonar.server.issue.ws.SearchActionTest",93,38,0,40
"org.sonar.server.rule.RegisterRulesTest",67,32,0,34
"org.sonar.db.organization.OrganizationDaoTest",51,14,0,20
"org.sonar.db.rule.RuleDaoTest",37,11,0,14
"org.sonar.db.permission.AuthorizationDaoTest",34,10,0,13
"org.sonar.server.issue.index.IssueIndex",169,22,23,31
"org.sonar.server.measure.ws.ComponentTreeActionTest",77,21,0,26
"org.sonar.scanner.mediumtest.fs.FileSystemMediumTest",32,13,0,14
"org.sonar.server.hotspot.ws.ShowActionTest",76,25,0,27
"org.sonar.server.rule.ws.SearchActionTest",70,35,0,36
"org.sonar.server.setting.ws.SetActionTest",53,30,0,32
"org.sonar.db.permission.GroupPermissionDaoTest",32,8,0,9
"org.sonar.server.rule.index.RuleIndexTest",67,13,0,15
"org.sonar.server.issue.ws.BulkChangeActionTest",78,31,0,36
"org.sonar.db.qualityprofile.QualityProfileDaoTest",34,10,0,13
"org.sonar.server.setting.ws.ValuesActionTest",54,24,0,25
"org.sonar.server.qualityprofile.QProfileRuleImplTest",47,21,0,25
"org.sonar.server.measure.live.IssueMetricFormulaFactoryImplTest",20,7,0,10
"org.sonar.server.issue.notification.ChangesOnMyIssuesEmailTemplateTest",54,6,0,7
"org.sonar.server.rule.RegisterRules",57,24,2,33
"org.sonar.server.issue.ws.SearchActionComponentsTest",63,27,0,29
"org.sonar.ce.task.projectanalysis.component.ComponentTreeBuilderTest",30,3,0,8
"org.sonar.server.ui.ws.ComponentActionTest",70,37,0,40
"org.sonar.server.authentication.UserRegistrarImplTest",37,21,0,22
"org.sonar.db.ce.CeActivityDaoTest",40,7,0,10
"org.sonar.ce.taskprocessor.CeWorkerImplTest",52,17,0,25
"org.sonar.api.ce.posttask.PostProjectAnalysisTaskTester",14,0,2,7
"org.sonar.ce.task.projectanalysis.notification.NotificationFactoryTest",52,16,0,18
"org.sonar.server.platform.db.migration.version.v84.DbVersion84",314,314,3,315
"org.sonar.server.project.ws.UpdateVisibilityActionTest",57,37,0,40
"org.sonar.server.projectanalysis.ws.SearchActionTest",71,21,0,24
"org.sonar.api.server.ws.WebService",29,2,521,17
"org.sonar.db.permission.UserPermissionDaoTest",37,7,0,10
"org.sonar.server.issue.index.IssueIndexFiltersTest",45,16,0,18
"org.sonar.server.component.ws.SuggestionsActionTest",60,21,0,22
"org.sonar.api.server.ws.RequestTest",33,3,0,11
"org.sonar.server.component.ws.SearchProjectsAction",78,22,1,40
"org.sonar.ce.task.projectanalysis.step.SendIssueNotificationsStepTest",87,26,0,29
"org.sonar.db.purge.PurgeCommandsTest",43,18,0,20
"org.sonar.db.user.UserDaoTest",25,9,0,12
"org.sonar.ce.task.projectanalysis.step.ReportPersistComponentsStepTest",44,20,0,24
"org.sonar.db.qualityprofile.ActiveRuleDaoTest",34,9,0,11
"org.sonar.ce.task.projectanalysis.filemove.FileMoveDetectionStepTest",40,18,0,23
"org.sonar.db.ce.CeQueueDaoTest",31,4,0,8
"org.sonar.core.util.stream.MoreCollectorsTest",32,0,0,11
"org.sonar.ce.queue.InternalCeQueueImplTest",43,21,0,25
"org.sonar.server.organization.ws.CreateActionTest",66,39,0,42
"org.sonar.server.user.UserUpdaterCreateTest",39,19,0,21
"org.apache.struts.util.RequestUtils",21,0,0,15
"org.sonar.server.issue.IssueChangeWSSupportTest",40,13,0,14
"org.sonar.db.issue.IssueDto",26,6,84,9
"org.sonar.db.measure.LiveMeasureDaoTest",28,5,0,7
"org.sonar.server.measure.ws.ComponentTreeAction",92,21,1,30
"org.sonar.server.user.ServerUserSessionTest",26,10,0,12
"org.sonar.scanner.protocol.viewer.ScannerReportViewerApp",29,2,1,29
"org.sonar.server.measure.index.ProjectMeasuresIndex",111,14,10,19
"org.sonar.server.issue.ws.SearchAction",108,19,3,27
"org.sonar.server.rule.index.RuleIndex",92,12,21,18
"org.sonar.server.ce.ws.ActivityActionTest",59,22,0,25
"org.sonar.server.issue.ws.SearchActionFacetsTest",51,23,0,24
"org.sonar.db.property.InternalPropertiesDaoTest",34,3,0,10
"org.sonar.server.user.UserUpdaterUpdateTest",36,20,0,21
"org.sonar.db.profiling.ProfiledDataSource",12,2,5,6
"org.sonar.ce.taskprocessor.CeProcessingSchedulerImplTest",43,1,0,17
"org.sonar.server.hotspot.ws.ChangeStatusActionTest",55,22,0,23
"org.sonar.core.issue.DefaultIssue",29,6,156,13
"org.sonar.api.server.rule.RulesDefinitionTest",25,5,0,7
"org.sonar.server.rule.ws.SearchAction",70,17,1,29
"org.sonar.ce.queue.CeQueueImplTest",37,17,0,18
"org.sonar.server.ce.ws.TaskActionTest",37,18,0,19
"org.sonar.server.component.ws.TreeActionTest",54,16,0,20
"org.sonar.scanner.scan.ProjectReactorBuilderTest",24,7,0,14
"org.sonar.ce.task.projectanalysis.step.BuildComponentTreeStepTest",42,15,0,17
"org.sonar.db.issue.IssueMapperTest",35,15,0,17
"org.sonar.server.issue.index.IssueQueryFactoryTest",37,12,0,12
"org.sonar.server.measure.ws.SearchHistoryActionTest",54,17,0,19
"org.sonar.server.qualityprofile.ws.SearchActionTest",51,26,0,27
"org.sonar.server.organization.ws.DeleteActionTest",67,39,0,41
"org.sonar.process.logging.Log4JPropertiesBuilderTest",22,2,0,4
"org.sonar.server.platform.db.migration.sql.CreateTableBuilderTest",27,7,0,10
"org.sonar.server.issue.IssueFieldsSetterTest",22,5,0,5
"org.sonar.core.platform.ComponentContainerTest",17,1,0,12
"org.sonar.api.config.internal.MapSettingsTest",26,4,0,6
"org.sonar.api.server.ws.WebServiceTest",17,1,0,5
"org.sonar.ce.task.projectanalysis.step.ViewsPersistComponentsStepTest",40,22,0,25
"org.sonar.server.platform.db.migration.step.DataChangeTest",17,1,0,9
"org.sonar.server.rule.RuleCreatorTest",36,19,0,20
"org.sonar.server.qualityprofile.ws.ChangelogActionTest",34,17,0,20
"org.sonar.server.rule.RuleUpdaterTest",41,23,0,24
"org.sonar.server.issue.index.IssueIndexFacetsTest",49,13,0,14
"org.sonar.db.component.SnapshotDaoTest",41,9,0,10
"org.sonar.server.issue.notification.FpOrWontFixEmailTemplateTest",38,5,0,6
"org.sonar.server.platform.platformlevel.PlatformLevel4",202,199,1,200
"org.sonar.server.hotspot.ws.SearchAction",66,20,1,30
"org.sonar.db.DBSessionsImplTest",31,2,0,7
"org.sonar.db.DbClient",69,67,646,68
"org.sonar.core.issue.tracking.TrackerTest",13,1,0,7
"org.sonar.server.rule.ws.ShowActionTest",45,19,0,19
"org.sonar.process.logging.LogbackHelperTest",43,2,0,6
"org.sonar.server.measure.custom.ws.CreateActionTest",35,18,0,18
"org.sonar.db.component.BranchDaoTest",23,5,0,8
"org.sonar.application.SchedulerImplTest",43,7,0,16
"org.sonar.server.issue.index.IssueQuery",12,1,10,5
"org.sonar.server.organization.MemberUpdaterTest",45,21,0,22
"org.sonar.scanner.mediumtest.ScannerMediumTester",57,31,22,56
"org.sonar.server.app.WebServerProcessLoggingTest",32,3,0,7
"org.sonar.server.issue.notification.FPOrWontFixNotificationHandlerTest",48,4,0,7
