"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa","lcom3"
"org.sonar.core.util.stream.MoreCollectorsTest",557,90,87,90,32,0,0,11,22,0.933605720122574
"org.sonar.core.issue.DefaultIssue",490,91,91,110,29,1,8,8,38,0.7944444444444444
"org.sonar.core.platform.ComponentContainerTest",447,51,50,55,17,0,0,11,14,0.99
"org.sonar.core.issue.tracking.TrackerTest",430,32,31,33,13,0,0,6,15,0.7806451612903226
"org.sonar.core.platform.PluginInfo",353,54,52,71,22,0,24,8,24,0.8089622641509434
"org.sonar.core.extension.CoreExtensionsInstallerTest",328,21,15,39,38,1,0,6,5,0.9
"org.sonar.core.util.logs.DefaultProfilerTest",288,23,22,23,12,0,0,3,2,1.0
"org.sonar.core.util.DefaultHttpDownloaderTest",247,25,25,21,43,0,0,5,5,0.9166666666666666
"org.sonar.core.util.logs.DefaultProfiler",246,38,24,60,7,0,1,6,8,0.9459459459459459
"org.sonar.core.platform.ComponentContainer",243,35,26,50,25,0,37,7,6,0.9411764705882353
"org.sonar.core.platform.ServerIdTest",242,22,22,22,24,0,0,3,1,1.0
"org.sonar.core.platform.PluginInfoTest",241,16,16,17,22,0,0,3,2,1.0
"org.sonar.core.util.DefaultHttpDownloader",235,29,19,42,30,0,14,14,15,0.75
"org.sonar.core.issue.FieldDiffs",227,31,22,56,12,0,3,11,10,0.87
"org.sonar.core.util.stream.MoreCollectors",217,25,21,24,21,0,1,6,3,1.027777777777778
"org.sonar.core.util.CloseableIteratorTest",200,28,20,30,9,0,0,4,6,0.9753086419753086
"org.sonar.core.util.FileUtilsTest",183,16,14,16,13,0,0,1,2,1.0
"org.sonar.core.i18n.DefaultI18n",181,20,15,30,29,2,1,10,7,0.8421052631578947
"org.sonar.core.issue.DefaultIssueTest",177,14,14,14,12,0,0,1,1,1.0769230769230769
"org.sonar.core.i18n.DefaultI18nTest",169,22,21,28,16,2,0,7,2,1.0238095238095237
"org.sonar.core.issue.tracking.AbstractTracker",165,16,13,34,9,0,2,3,15,1.0222222222222224
"org.sonar.core.util.ProtobufJsonFormatTest",158,15,15,15,20,0,0,0,1,1.0
"org.sonar.core.issue.FieldDiffsTest",149,17,17,17,2,0,0,0,3,0.9583333333333334
"org.sonar.core.config.CorePropertyDefinitions",149,2,1,2,10,0,0,2,5,0.0
"org.sonar.core.platform.StartableCloseableSafeLifecyleStrategyTest",147,23,22,17,12,0,0,4,2,1.0454545454545454
"org.sonar.core.extension.CoreExtensionsInstaller",137,17,10,25,16,1,0,9,9,0.75
"org.sonar.core.issue.tracking.BlockRecognizer",135,7,3,29,10,0,1,5,8,0.7291666666666666
"org.sonar.core.util.CloseableIterator",134,22,11,24,9,0,5,5,6,0.888888888888889
"org.sonar.core.extension.CoreExtensionRepositoryImplTest",122,17,14,15,13,0,0,1,3,1.0
"org.sonar.core.platform.ServerId",120,12,9,23,14,1,4,6,10,0.5909090909090909
