"method","loc","cyclo","calls","nbd","param"
"me.umov.analyzer.domain.core.StepFactory.get(ProcessingState status)",15,7,7,0,1
"me.umov.analyzer.domain.actions.NotificationStrategy.defineRuleState(List<ProcessRuleMessage> processMessages)",10,5,8,2,1
"me.umov.analyzer.domain.events.DomainEventRegistry.publish(T event)",7,5,3,2,1
"me.umov.analyzer.domain.model.ActionRuleModel.getDelayTimeOutInMinute()",11,5,0,0,0
"me.umov.analyzer.domain.model.Recipients.splitEmails(List<Attribute> to)",16,4,7,3,1
"me.umov.analyzer.application.observers.LogGenerator.process(RuleLogEvent event)",11,4,4,3,1
"me.umov.analyzer.domain.model.Recipients.buildListMail(List<Attribute> mailList)",8,4,5,3,1
"me.umov.analyzer.domain.actionRule.ActionRuleGenerator.getWaitTimePutQueue(ActionRuleModel actionRuleModel, Rule rule)",10,4,9,2,2
"me.umov.analyzer.domain.model.Rule.getNexStateWhenError()",9,4,2,1,0
"me.umov.analyzer.infrastructure.aws.ProducerAWSBuilder.get(Action action)",12,4,10,0,1
"me.umov.analyzer.domain.actions.RuleStrategyFactory.get(RuleType type)",12,4,4,0,1
"me.umov.analyzer.infrastructure.serialization.LocalDateSerializationAdapter.deserialize(JsonElement json, Type typeOfT, JsonDeserializationContext context)",6,4,5,0,3
"me.umov.analyzer.infrastructure.serialization.LocalTimeSerializationAdapter.deserialize(JsonElement json, Type typeOfT, JsonDeserializationContext context)",6,4,5,0,3
"me.umov.analyzer.domain.model.Recipients.getFirstTo()",4,3,3,3,0
"me.umov.analyzer.infrastructure.xstreamadapter.converters.EventSettingConverter.unmarshal(HierarchicalStreamReader stream, UnmarshallingContext context)",14,3,7,2,2
"me.umov.analyzer.application.observers.ReprocessTimeout.process(TaskDistributionCompleted event)",11,3,12,2,1
"me.umov.analyzer.application.observers.SynchronismTimeout.process(TaskDistributionCompleted distributionCompleted)",9,3,9,1,1
"me.umov.analyzer.infrastructure.services.ActionService.getActionParameter(List<Action> actions)",5,3,4,1,1
"me.umov.analyzer.application.controller.ReprocessController.verifyEntityDTO(EntityDTO entityDTO)",4,3,1,1,1
"me.umov.analyzer.domain.model.Rule.initTotalAttempts()",3,3,1,1,0
"me.umov.analyzer.infrastructure.aws.ProducerAWSBuilder.get(Rule rule)",8,3,7,0,1
"me.umov.analyzer.domain.model.SendMessage.getDelayTimeout()",5,3,2,0,0
"me.umov.analyzer.domain.model.ActionRuleModel.mustTryAgain(ProcessRuleMessage processRuleMessage)",4,3,2,0,1
"me.umov.analyzer.domain.model.Recipients.addCc(Attribute cc)",5,2,2,3,1
"me.umov.analyzer.domain.model.Recipients.addTo(Attribute to)",5,2,2,3,1
"me.umov.analyzer.domain.model.Recipients.initCc()",3,2,0,3,0
"me.umov.analyzer.domain.model.Recipients.initTo()",3,2,0,3,0
"me.umov.analyzer.domain.actions.NotificationStrategy.execute(Rule rule)",17,2,14,2,1
"me.umov.analyzer.domain.actions.NotificationStrategy.processRuleState(Rule rule, List<ProcessRuleMessage> processMessages)",6,2,3,2,2
"me.umov.analyzer.domain.actions.NotificationStrategy.verifyActionType(Action ruleAction)",3,2,3,2,1
"me.umov.analyzer.infrastructure.services.EntitySQSService.getEntity(MessageAWS message, JpaRepository<Model,Long> repository)",13,2,8,1,2
"me.umov.analyzer.infrastructure.services.ActionService.retrieveNotificationActions(Rule rule)",9,2,8,1,1
"me.umov.analyzer.domain.actions.SynchronismTimeoutActionStrategy.execute(Rule rule)",9,2,5,1,1
"me.umov.analyzer.infrastructure.xstreamadapter.converters.IgnoreTaskTypeConverter.buildList(HierarchicalStreamReader reader)",8,2,5,1,1
"me.umov.analyzer.domain.model.Rule.setRuleType(RuleType actionType)",8,2,2,1,1
"me.umov.analyzer.application.controller.ReprocessController.getActionRule(EntityDTO entityDTO)",6,2,5,1,1
"me.umov.analyzer.domain.model.Rule.finishedReprocessingTime(Long reprocessingTimeout)",6,2,4,1,1
"me.umov.analyzer.domain.actionRule.ActionRuleAnalyzer.getState(ProcessRuleMessage processRuleMessage, ActionRuleModel actionRuleModel)",6,2,3,1,2
"me.umov.analyzer.infrastructure.xstreamadapter.converters.IgnoreTaskTypeConverter.unmarshal(HierarchicalStreamReader reader, UnmarshallingContext context)",6,2,3,1,2
"me.umov.analyzer.domain.actions.SynchronismTimeoutActionStrategy.sendMail(Rule rule)",6,2,3,1,1
"me.umov.analyzer.application.observers.SynchronismTimeout.getEvent(TaskDistributionCompleted distributionCompleted)",5,2,6,1,1
"me.umov.analyzer.domain.core.Process.nextState(Rule rule)",5,2,4,1,1
"me.umov.analyzer.domain.validators.BusinessValidator.validate(T entity)",4,2,2,1,1
"me.umov.analyzer.domain.model.Rule.addLog(String log)",4,2,1,1,1
"me.umov.analyzer.domain.actions.DistributionTaskStrategy.validate(Rule rule)",3,2,3,1,1
"me.umov.analyzer.infrastructure.aws.ProducerService.setDelay(SendMessage message)",3,2,3,1,1
"me.umov.analyzer.infrastructure.services.ActionService.hasAction(List<Action> actions)",3,2,1,1,1
"me.umov.analyzer.domain.model.Rule.setStatus(ProcessingState state)",2,2,1,1,1
"me.umov.analyzer.fixture.ProcessHasBeenExecutedFixture.get(Long clientId, Long entityId, String message)",7,2,5,0,3
"me.umov.analyzer.domain.validators.rules.TimeOnQueueRuleValidation.validate(Rule entity)",6,2,5,0,1
"me.umov.analyzer.domain.core.Error.run(Rule rule)",6,2,3,0,1
"me.umov.analyzer.domain.model.History.havePendingPhotos()",6,2,2,0,0
"me.umov.analyzer.infrastructure.serialization.LocalDateSerializationAdapter.serialize(LocalDate src, Type typeOfSrc, JsonSerializationContext context)",6,2,1,0,3
"me.umov.analyzer.infrastructure.serialization.LocalTimeSerializationAdapter.serialize(LocalTime src, Type typeOfSrc, JsonSerializationContext context)",6,2,1,0,3
"me.umov.analyzer.domain.core.Step.getLog(Rule rule, String messageDefault)",5,2,3,0,2
"me.umov.analyzer.domain.model.Task.getEmailServiceLocal()",5,2,3,0,0
"me.umov.analyzer.domain.model.Task.getEmailAgent()",5,2,2,0,0
"me.umov.analyzer.domain.model.History.getWaitTimePutQueue()",5,2,1,0,0
"me.umov.analyzer.domain.model.ProcessRuleMessage.getStatus()",5,2,1,0,0
"me.umov.analyzer.domain.model.ActionRuleModel.incrementAttempts()",5,2,0,0,0
"me.umov.analyzer.domain.model.History.getTotalPhotos()",5,2,0,0,0
"me.umov.analyzer.domain.model.History.getTotalPhotosReceived()",5,2,0,0,0
"me.umov.analyzer.domain.model.ActionRuleModel.getRuleId()",4,2,3,0,0
"me.umov.analyzer.domain.model.Task.getAgentId()",4,2,3,0,0
"me.umov.analyzer.domain.model.Task.getServiceLocalId()",4,2,3,0,0
"me.umov.analyzer.domain.model.Task.getWorkspace()",4,2,3,0,0
"me.umov.analyzer.infrastructure.xstreamadapter.service.XStreamService.createXstream()",4,2,3,0,0
"me.umov.analyzer.domain.model.Attribute.setEntity(String entity)",4,2,1,0,1
"me.umov.analyzer.infrastructure.converters.LocalDateTimeAttributeConverter.convertToDatabaseColumn(LocalDateTime localDateTime)",3,2,1,0,1
"me.umov.analyzer.infrastructure.converters.LocalDateTimeAttributeConverter.convertToEntityAttribute(Timestamp timestamp)",3,2,1,0,1
"me.umov.analyzer.domain.model.Action.setType(ActionType type)",2,2,1,0,1
"me.umov.analyzer.domain.model.ActionRuleModel.setActionType(ActionType type)",2,2,1,0,1
"me.umov.analyzer.domain.model.ActionRuleModel.setStatus(ProcessingState state)",2,2,1,0,1
"me.umov.analyzer.infrastructure.configurations.RestConfiguration.getConnectTimeout()",2,2,0,0,0
"me.umov.analyzer.infrastructure.configurations.RestConfiguration.getReadTimeout()",2,2,0,0,0
"me.umov.analyzer.application.observers.LogGenerator.createLog(RuleLogEvent event)",7,1,8,3,1
"me.umov.analyzer.application.observers.LogGenerator.shouldProcess(Class clazz)",6,1,4,3,1
"me.umov.analyzer.domain.model.Recipients.hasNoRecipients()",4,1,6,3,0
"me.umov.analyzer.domain.model.Recipients.single(String address)",4,1,2,3,1
"me.umov.analyzer.domain.model.Recipients.getCc()",3,1,2,3,0
"me.umov.analyzer.domain.model.Recipients.getTo()",3,1,2,3,0
"me.umov.analyzer.domain.model.Recipients.getCcMailList()",2,1,2,3,0
"me.umov.analyzer.domain.model.Recipients.getToMailList()",2,1,2,3,0
"me.umov.analyzer.domain.model.Recipients.isBlank(String value)",2,1,1,3,1
"me.umov.analyzer.domain.model.Recipients.isEmpty(Object[] array)",2,1,0,3,1
"me.umov.analyzer.domain.model.Recipients.setCc(List<Attribute> cc)",2,1,0,3,1
"me.umov.analyzer.domain.model.Recipients.setTo(List<Attribute> to)",2,1,0,3,1
"me.umov.analyzer.domain.actionRule.ActionRuleGenerator.createActionRuleModel(Rule rule, Action action)",12,1,12,2,2
"me.umov.analyzer.domain.actionRule.ActionRuleGenerator.generate(Rule rule, Action action)",5,1,4,2,2
"me.umov.analyzer.application.observers.ReprocessTimeout.update(Rule rule)",4,1,3,2,1
"me.umov.analyzer.application.observers.ReprocessTimeout.updateStatus(Rule rule)",3,1,2,2,1
"me.umov.analyzer.application.observers.ReprocessTimeout.shouldProcess(Class clazz)",3,1,1,2,1
"me.umov.analyzer.infrastructure.xstreamadapter.converters.EventSettingConverter.canConvert(Class type)",3,1,1,2,1
"me.umov.analyzer.infrastructure.xstreamadapter.converters.EventSettingConverter.isNotBlank(String attribute)",2,1,1,2,1
"me.umov.analyzer.infrastructure.xstreamadapter.converters.EventSettingConverter.marshal(Object source, HierarchicalStreamWriter writer, MarshallingContext context)",2,1,0,2,3
"me.umov.analyzer.domain.actions.DistributionTaskStrategy.execute(Rule rule)",14,1,10,1,1
"me.umov.analyzer.application.worker.DistributionWorker.process(MessageAWS message)",12,1,11,1,1
"me.umov.analyzer.application.worker.NotificationWorker.process(MessageAWS messageAws)",11,1,12,1,1
"me.umov.analyzer.application.controller.ReprocessController.reprocessActionRule(@RequestBody EntityDTO entityDTO)",11,1,8,1,1
"me.umov.analyzer.application.observers.SynchronismTimeout.create(TaskDistributionCompleted distributionCompleted, Event event)",10,1,12,1,2
"me.umov.analyzer.domain.validators.rules.TimeOnQueueValidationTest.shouldThrowBusinessExceptionWhenLimitTimeExceeded()",9,1,9,1,0
"me.umov.analyzer.infrastructure.services.BusinessRestService.get(HttpEntity<RuleRequest> request)",9,1,6,1,1
"me.umov.analyzer.infrastructure.aws.NotificationAWSScheduler.schedule(ActionRuleModel actionRuleModel)",8,1,11,1,1
"me.umov.analyzer.domain.validators.rules.TimeOnQueueValidationTest.shouldNotThrowBusinessExceptionWhenItsWithinTheTimeLimit()",8,1,7,1,0
"me.umov.analyzer.infrastructure.aws.ProducerService.send(SendMessage message)",8,1,5,1,1
"me.umov.analyzer.infrastructure.services.JwtService.genarateTokenJwt(Long clientId, String token)",7,1,4,1,2
"me.umov.analyzer.domain.core.Reprocess.sendMessage(Rule rule)",7,1,4,1,1
"me.umov.analyzer.infrastructure.services.ActionService.getAction(Rule rule, List<ActionType> actionTypes)",6,1,9,1,2
"me.umov.analyzer.domain.actions.SynchronismTimeoutActionStrategy.produceEmailNotification(Rule rule)",5,1,5,1,1
"me.umov.analyzer.domain.core.Reprocess.run(Rule rule)",5,1,5,1,1
"me.umov.analyzer.infrastructure.services.BusinessRestService.addJwtToken(Long clientId)",5,1,3,1,1
"me.umov.analyzer.application.observers.SynchronismTimeout.createSendMessage(Rule rule, ActionRule actionRule)",4,1,3,1,2
"me.umov.analyzer.domain.actionRule.ActionRuleAnalyzer.analyzer(ActionRuleModel actionRuleModel, ProcessRuleMessage processRuleMessage)",4,1,3,1,2
"me.umov.analyzer.infrastructure.services.BusinessRestService.redistributeTasks(Long clientId, RuleRequest ruleRequest)",4,1,3,1,2
"me.umov.analyzer.application.controller.ReprocessController.incrementAndUpdateState(ActionRuleModel actionRule)",4,1,3,1,1
"me.umov.analyzer.application.worker.DistributionWorker.getRule(MessageAWS message)",4,1,3,1,1
"me.umov.analyzer.domain.actions.SynchronismTimeoutActionStrategy.update(Rule rule)",4,1,3,1,1
"me.umov.analyzer.infrastructure.aws.NotificationAWSScheduler.createSendMessage(ActionRuleModel actionRuleModel)",4,1,3,1,1
"me.umov.analyzer.infrastructure.services.JwtService.buildClaims(Long clientId, String token)",4,1,2,1,2
"me.umov.analyzer.domain.core.Process.run(Rule rule)",4,1,2,1,1
"me.umov.analyzer.domain.validators.rules.TimeOnQueueValidationTest.setUp()",4,1,2,1,0
"me.umov.analyzer.infrastructure.aws.ProducerService.ProducerService(AmazonSQS amazonSQS, SendMessageRequest sendMessageRequest)",4,1,0,1,2
"me.umov.analyzer.domain.model.Rule.notReprocess()",4,1,0,1,0
"me.umov.analyzer.application.controller.ReprocessController.addQueueSQS(ActionRuleModel actionRule)",3,1,4,1,1
"me.umov.analyzer.infrastructure.services.ActionService.getActionRule(Rule rule, ActionType actionType)",3,1,3,1,2
"me.umov.analyzer.application.worker.DistributionWorker.runCurrentStep(Rule rule)",3,1,3,1,1
"me.umov.analyzer.application.observers.SynchronismTimeout.createMessage(TaskDistributionCompleted distributionCompleted, ActionRule actionRule, Event event)",3,1,2,1,3
"me.umov.analyzer.domain.core.Reprocess.updateRule(Rule rule)",3,1,2,1,1
"me.umov.analyzer.infrastructure.services.ActionService.decode(List<Action> actions)",3,1,2,1,1
"me.umov.analyzer.application.observers.SynchronismTimeout.shouldProcess(Class clazz)",3,1,1,1,1
"me.umov.analyzer.domain.core.Process.getClassToLogger()",3,1,1,1,0
"me.umov.analyzer.domain.core.Reprocess.getClassToLogger()",3,1,1,1,0
"me.umov.analyzer.infrastructure.services.BusinessRestService.getUrlDistributionTask()",3,1,1,1,0
"me.umov.analyzer.infrastructure.xstreamadapter.converters.IgnoreTaskTypeConverter.marshal(Object list, HierarchicalStreamWriter writer, MarshallingContext context)",3,1,0,1,3
"me.umov.analyzer.infrastructure.xstreamadapter.converters.IgnoreTaskTypeConverter.canConvert(Class type)",3,1,0,1,1
"me.umov.analyzer.domain.actions.SynchronismTimeoutActionStrategy.isProcess(Rule rule, ActionRule actionRule)",2,1,3,1,2
"me.umov.analyzer.domain.actions.SynchronismTimeoutActionStrategy.isSendMail(Rule rule)",2,1,3,1,1
"me.umov.analyzer.domain.core.Process.executeRule(Rule rule)",2,1,3,1,1
"me.umov.analyzer.domain.model.Rule.getEventId()",2,1,2,1,0
"me.umov.analyzer.domain.model.Rule.getMessageSqs()",2,1,2,1,0
"me.umov.analyzer.domain.model.Rule.hasReprocessing()",2,1,2,1,0
"me.umov.analyzer.domain.model.Rule.isDistributionTask()",2,1,2,1,0
"me.umov.analyzer.domain.model.Rule.isNotUnprocessed()",2,1,2,1,0
"me.umov.analyzer.domain.model.Rule.isReprocess()",2,1,2,1,0
"me.umov.analyzer.domain.model.Rule.isSuccess()",2,1,2,1,0
"me.umov.analyzer.application.observers.SynchronismTimeout.hasEvent(Event event)",2,1,1,1,1
"me.umov.analyzer.domain.actions.DistributionTaskStrategy.getActionRule(Rule rule)",2,1,1,1,1
"me.umov.analyzer.domain.model.Rule.setMessageLog(String messageLog)",2,1,1,1,1
"me.umov.analyzer.infrastructure.services.EntitySQSService.decodeRuleId(String message)",2,1,1,1,1
"me.umov.analyzer.infrastructure.services.JwtService.getToken(Long clientId)",2,1,1,1,1
"me.umov.analyzer.application.worker.DistributionWorker.incrementRunningMetric()",2,1,1,1,0
"me.umov.analyzer.domain.model.Rule.getRuleType()",2,1,1,1,0
"me.umov.analyzer.domain.model.Rule.getStatus()",2,1,1,1,0
"me.umov.analyzer.domain.model.Rule.isLog()",2,1,1,1,0
"me.umov.analyzer.domain.model.Rule.setActionRuleIdForLog(Long actionRuleIdForLog)",2,1,0,1,1
"me.umov.analyzer.domain.model.Rule.setClientId(Long clientId)",2,1,0,1,1
"me.umov.analyzer.domain.model.Rule.setDateHourScheduling(LocalDateTime dateHourScheduling)",2,1,0,1,1
"me.umov.analyzer.domain.model.Rule.setDateProcessed(LocalDateTime dateProcessed)",2,1,0,1,1
"me.umov.analyzer.domain.model.Rule.setEvent(Event event)",2,1,0,1,1
"me.umov.analyzer.domain.model.Rule.setGroup(String group)",2,1,0,1,1
"me.umov.analyzer.domain.model.Rule.setHistoryId(Long historyId)",2,1,0,1,1
"me.umov.analyzer.domain.model.Rule.setId(Long id)",2,1,0,1,1
"me.umov.analyzer.domain.model.Rule.setLogs(List<String> logs)",2,1,0,1,1
"me.umov.analyzer.domain.model.Rule.setMaxAttempts(Long maxAttempts)",2,1,0,1,1
"me.umov.analyzer.domain.model.Rule.setScheduleId(Long scheduleId)",2,1,0,1,1
"me.umov.analyzer.domain.model.Rule.setTotalAttempts(Long totalAttempts)",2,1,0,1,1
"me.umov.analyzer.infrastructure.services.BusinessRestService.setUrlBusiness(String urlBusiness)",2,1,0,1,1
"me.umov.analyzer.infrastructure.services.JwtService.setJwtBuilder(Builder jwtBuilder)",2,1,0,1,1
"me.umov.analyzer.infrastructure.services.JwtService.setSecret(String secret)",2,1,0,1,1
"me.umov.analyzer.domain.model.Rule.getActionRuleIdForLog()",2,1,0,1,0
"me.umov.analyzer.domain.model.Rule.getClientId()",2,1,0,1,0
"me.umov.analyzer.domain.model.Rule.getDateHourScheduling()",2,1,0,1,0
"me.umov.analyzer.domain.model.Rule.getDateProcessed()",2,1,0,1,0
"me.umov.analyzer.domain.model.Rule.getEvent()",2,1,0,1,0
"me.umov.analyzer.domain.model.Rule.getGroup()",2,1,0,1,0
"me.umov.analyzer.domain.model.Rule.getHistoryId()",2,1,0,1,0
"me.umov.analyzer.domain.model.Rule.getId()",2,1,0,1,0
