"namespace","ca","ce","instability","abstractness","distance"
"me.umov.analyzer.domain.model",111,2,0.017699115044247787,0.0,0.9823008849557522
"me.umov.analyzer.fixture",19,2,0.09523809523809523,0.0,0.9047619047619048
"me.umov.analyzer.domain.core",3,8,0.7272727272727273,0.06666666666666667,0.20606060606060606
"me.umov.analyzer.infrastructure.configurations",0,1,1.0,0.0,0.0
"me.umov.analyzer.infrastructure.services",11,7,0.3888888888888889,0.0,0.6111111111111112
"me.umov.analyzer.domain.repository",26,1,0.037037037037037035,1.0,0.03703703703703698
"me.umov.analyzer.domain.actions",7,10,0.5882352941176471,0.2222222222222222,0.1895424836601307
"me.umov.analyzer.domain.ports",21,2,0.08695652173913043,1.0,0.08695652173913038
"me.umov.analyzer.domain.excptions",24,0,0.0,0.0,1.0
"me.umov.analyzer.infrastructure.serialization",1,1,0.5,0.0,0.5
"me.umov.analyzer.infrastructure.aws",7,3,0.3,0.0,0.7
"me.umov.analyzer.domain.validators",5,2,0.2857142857142857,0.3333333333333333,0.38095238095238093
"me.umov.analyzer.application.observers",1,8,0.8888888888888888,0.0,0.11111111111111116
"me.umov.analyzer.domain.events",17,2,0.10526315789473684,0.16666666666666666,0.7280701754385965
"me.umov.analyzer.architecture",0,2,1.0,0.0,0.0
"me.umov.analyzer.application.worker",3,9,0.75,0.2,0.050000000000000044
"me.umov.analyzer.domain.model.types",0,0,0.0,0.0,1.0
"me.umov.analyzer.domain.actionRule",2,3,0.6,0.0,0.4
"me.umov.analyzer.application.controller",0,5,1.0,0.0,0.0
"me.umov.analyzer.infrastructure.converters",3,0,0.0,0.0,1.0
"me.umov.analyzer.infrastructure.xstreamadapter",0,4,1.0,0.0,0.0
"me.umov.analyzer.infrastructure.xstreamadapter.service",4,2,0.3333333333333333,0.0,0.6666666666666667
"me.umov.analyzer.domain.validators.rules",2,4,0.6666666666666666,0.0,0.33333333333333337
"me.umov.analyzer.application",0,2,1.0,0.0,0.0
"me.umov.analyzer.actions",0,10,1.0,0.0,0.0
"me.umov.analyzer.infrastructure.xstreamadapter.converters",1,1,0.5,0.0,0.5
"me.umov.analyzer.application.dto",1,0,0.0,0.0,1.0
"me.umov.analyzer",0,0,0.0,0.0,1.0
