"namespace","noc","nac"
"me.umov.analyzer.domain.model",31,0
"me.umov.analyzer.fixture",26,0
"me.umov.analyzer.domain.core",15,1
"me.umov.analyzer.infrastructure.configurations",10,0
"me.umov.analyzer.infrastructure.services",10,0
"me.umov.analyzer.domain.repository",10,10
"me.umov.analyzer.domain.actions",9,2
"me.umov.analyzer.domain.ports",9,9
"me.umov.analyzer.domain.excptions",8,0
"me.umov.analyzer.infrastructure.serialization",7,0
"me.umov.analyzer.infrastructure.aws",7,0
"me.umov.analyzer.domain.validators",6,2
"me.umov.analyzer.application.observers",6,0
"me.umov.analyzer.domain.events",6,1
"me.umov.analyzer.architecture",5,0
"me.umov.analyzer.application.worker",5,1
"me.umov.analyzer.domain.model.types",5,0
"me.umov.analyzer.domain.actionRule",4,0
"me.umov.analyzer.application.controller",3,0
"me.umov.analyzer.infrastructure.converters",2,0
"me.umov.analyzer.infrastructure.xstreamadapter",2,0
"me.umov.analyzer.infrastructure.xstreamadapter.service",2,0
"me.umov.analyzer.domain.validators.rules",2,0
"me.umov.analyzer.application",2,0
"me.umov.analyzer.actions",2,0
"me.umov.analyzer.infrastructure.xstreamadapter.converters",2,0
"me.umov.analyzer.application.dto",2,0
"me.umov.analyzer",1,0
