"type","dep","i-dep","fan-in","fan-out"
"me.umov.analyzer.domain.model.Rule",16,1,53,4
"me.umov.analyzer.actions.DistributionTaskTest",39,23,0,23
"me.umov.analyzer.domain.model.ActionRuleModel",14,1,10,3
"me.umov.analyzer.application.observers.SynchronismTimeoutTest",30,14,0,14
"me.umov.analyzer.domain.model.Task",6,0,3,1
"me.umov.analyzer.domain.model.Recipients",3,0,3,2
"me.umov.analyzer.domain.actions.NotificationStrategyTest",27,10,0,10
"me.umov.analyzer.infrastructure.services.ActionServiceTest",22,10,0,10
"me.umov.analyzer.domain.model.ActionRuleModelTest",9,1,0,1
"me.umov.analyzer.infrastructure.aws.ProducerAWSBuilderTest",14,3,0,3
"me.umov.analyzer.domain.actions.SynchronismTimeoutActionStrategyTest",25,12,0,12
"me.umov.analyzer.domain.model.DefaultSystemSettings",3,0,1,1
"me.umov.analyzer.application.observers.SynchronismTimeout",18,10,0,14
"me.umov.analyzer.domain.model.History",3,0,7,1
"me.umov.analyzer.application.observers.ReprocessTimeoutTest",24,11,0,11
"me.umov.analyzer.fixture.RuleFixture",6,2,16,2
"me.umov.analyzer.application.observers.LogGeneratorTest",21,8,0,8
"me.umov.analyzer.infrastructure.services.BusinessRestServiceTest",21,5,0,6
"me.umov.analyzer.domain.core.ErrorTest",13,3,0,3
"me.umov.analyzer.domain.actions.NotificationStrategy",20,7,4,11
"me.umov.analyzer.application.AwsConsumerTest",15,3,0,4
"me.umov.analyzer.domain.model.RuleLog",8,1,3,1
"me.umov.analyzer.infrastructure.aws.ProducerServiceTest",15,2,0,2
"me.umov.analyzer.domain.actions.SynchronismTimeoutActionStrategy",12,8,1,10
"me.umov.analyzer.domain.model.Attribute",0,0,5,2
"me.umov.analyzer.infrastructure.xstreamadapter.service.XStreamServiceTest",10,2,0,3
"me.umov.analyzer.infrastructure.configurations.AmazonSQSConfiguration",14,0,0,1
"me.umov.analyzer.infrastructure.services.BusinessRestService",15,4,1,8
"me.umov.analyzer.domain.actionRule.ActionRuleGenerator",14,11,2,12
"me.umov.analyzer.infrastructure.services.ActionService",13,7,7,10
"me.umov.analyzer.domain.model.HistoryItem",3,0,1,0
"me.umov.analyzer.domain.model.SMS",3,0,2,0
"me.umov.analyzer.domain.core.StepFactoryTest",8,1,0,1
"me.umov.analyzer.application.controller.ReprocessController",14,7,0,10
"me.umov.analyzer.domain.core.ReprocessTest",20,8,0,8
"me.umov.analyzer.domain.actionRule.ActionRuleGeneratorTest",22,10,0,10
"me.umov.analyzer.application.worker.NotificationWorkerTest",17,8,0,8
"me.umov.analyzer.domain.model.RuleRequest",2,0,8,1
"me.umov.analyzer.application.worker.DistributionWorker",12,6,3,10
"me.umov.analyzer.domain.model.Action",4,0,17,0
"me.umov.analyzer.domain.core.Step",12,5,9,6
"me.umov.analyzer.infrastructure.services.EntitySQSServiceTest",12,4,0,4
"me.umov.analyzer.application.observers.ReprocessTimeout",12,8,1,11
"me.umov.analyzer.infrastructure.aws.NotificationAWSSenderTest",16,5,0,5
"me.umov.analyzer.domain.events.TaskDistributionCompleted",2,1,8,3
"me.umov.analyzer.domain.actions.DistributionTaskStrategy",13,8,1,11
"me.umov.analyzer.domain.actionRule.ActionRuleAnalyzerTest",13,3,0,3
"me.umov.analyzer.application.observers.LogGenerator",11,8,0,11
"me.umov.analyzer.infrastructure.serialization.AnnotationExcludeSerializationStrategyTest",11,2,0,2
"me.umov.analyzer.actions.ActionStrategyFactoryTest",12,5,0,5
"me.umov.analyzer.application.worker.DistributionWorkerTest",17,7,0,7
"me.umov.analyzer.infrastructure.aws.SendMessageRequestService",3,0,0,0
"me.umov.analyzer.domain.model.Event",3,0,7,0
"me.umov.analyzer.domain.model.CustomFieldValue",3,0,2,0
"me.umov.analyzer.infrastructure.services.JwtService",7,1,0,3
"me.umov.analyzer.infrastructure.aws.ProducerAWSBuilder",10,5,5,8
"me.umov.analyzer.domain.validators.rules.TimeOnQueueValidationTest",11,3,0,3
"me.umov.analyzer.domain.model.ActionRule",3,0,15,0
"me.umov.analyzer.infrastructure.xstreamadapter.EventSettingTranslatorTest",16,9,0,9
"me.umov.analyzer.domain.core.ProcessTest",13,4,0,4
"me.umov.analyzer.infrastructure.configurations.AmazonSQSConfigurationTest",10,0,0,0
"me.umov.analyzer.application.AwsConsumer",9,3,0,4
"me.umov.analyzer.domain.model.CallbackParameters",0,0,1,0
"me.umov.analyzer.domain.model.ResultProcessRule",3,0,9,2
"me.umov.analyzer.fixture.TaskFixture",3,3,1,3
"me.umov.analyzer.domain.core.Reprocess",8,5,0,10
"me.umov.analyzer.domain.core.StepFactory",5,2,1,4
"me.umov.analyzer.domain.model.SystemParameter",6,0,2,0
